group,key_word,count,cum_count,segment
25,電動床,333,7097941,5
25,得意的一天,624,5613594,4
25,summer寶石,5,15124241,9
25,switch 遊戲,10098,694622,1
25,桌上櫃,280,7494229,5
25,挖礦主機板,80,10309647,6
25,vg32vq1b,274,7539175,5
25,長版四角褲,87,10130770,6
25,鞋櫃,17943,316770,1
25,漱口杯,941,4672055,3
25,黑米,548,5920519,4
25,tory burch,467,6283043,4
25,haglofs,253,7804929,5
25,zo tech,51,11152917,7
25,打蠟機,1548,3592490,3
25,xrm-55a90j,31,12064881,7
25,dyah5e-a900aerwj,262,7674031,5
25,mk包,872,4846588,3
25,bnn,182,8569825,5
25,拿鐵,301,7330262,5
25,髕骨加壓帶,89,10079335,6
25,ar-75,19,12903663,8
25,摩戴舒口罩,1887,3167775,2
25,燙衣板,1218,4098137,3
25,平板跑步機,247,7870974,5
25,石墨烯 被,63,10774889,7
25,insta360 one x2,1620,3484766,2
25,infiniti 車用手機夾,4,15544247,9
25,後車箱置物,35,11837183,7
25,biore 蜜妮 深層卸粧棉,1,16977505,10
25,wahoo kickr,13,13569375,8
25,小蘇打,265,7635638,5
25,polartec,774,5081532,3
25,米屋,24,12543578,8
25,電動刮鬍刀,1752,3324378,2
25,酒精濕紙巾,1304,3949257,3
25,三星a52s手機,135,9211979,6
25,胡桃木椅,4,15547991,9
25,棒球外套,1714,3374634,2
25,世紀帝國,859,4879462,3
25,象印兒童保溫瓶,15,13305785,8
25,眼影棒,53,11100919,7
25,側背包 男,1211,4112708,3
25,妮維雅,728,5228579,3
25,和美浴簾,108,9691130,6
25,車充type c,19,12957851,8
25,鱈魚香絲,794,5027424,3
25,aoc 2k 144hz,10,13916448,8
25,vp228he,167,8758013,6
25,sf-m128t,18,13000226,8
25,3m 四季被 雙人加大,11,13857306,8
25,gt2,121,9440654,6
25,自行車防風背心,4,15685383,9
25,手機腳架,1941,3106565,2
25,磁吸式收納置物架,1,16955742,10
25,烤肉醬,88,10108350,6
25,日象,116,9539500,6
25,懶人沙發,586,5764012,4
25,google tv,1149,4248249,3
25,刷毛梳,3,15869939,10
25,8g 3200 筆記,2,16773061,10
25,carbon heater,8,14327671,9
25,蘭蔻,960,4630319,3
25,行旅 超大傘面抗風自動開收傘 (灰色),2,16413765,10
25,澳洲 stm saga 超輕量15吋後背包 - 黑,7,14628238,9
25,嬰兒防水保潔墊,3,15817103,10
25,bref 馬桶芳香清潔球,57,10954001,7
25,酷碼,126,9355884,6
25,塑膠袋,488,6190900,4
25,razer電競椅,67,10647724,7
25,狗窩,848,4907632,3
25,iphone13 128,68,10624406,7
25,青軸,931,4690760,3
25,奶粉,1562,3566054,3
25,相框,1007,4520557,3
25,拖把,5758,1338433,1
25,手機袋,971,4595537,3
25,有機 麵,8,14362671,9
25,馬桶蓋,1659,3443762,2
25,無框畫,260,7691247,5
25,calvin klein 男 三角褲,5,15139121,9
25,三陽 全新迪爵125後靠背,1,17244041,10
25,hero 四顆單元喇叭 重低音砲10w,4,15425595,9
25,murano,129,9318636,6
25,計時器,1116,4301462,3
25,hyperdrive gen2,41,11557303,7
