group,key_word,count,cum_count,segment
1,分類垃圾桶,513,6072467,4
1,地毯,3108,2253407,2
1,a52s 手機殼,1479,3693899,3
1,5000行動電源,18,12991658,8
1,sony wf-1000xm4,2154,2893350,2
1,雙人床單,64,10741869,7
1,除塵紙,900,4774885,3
1,目立康,245,7890899,5
1,3.5mm麥克風線,44,11416466,7
1,usb聯機對拷線,21,12782320,8
1,小米聲波電動牙刷,5,15083241,9
1,床罩組,584,5772206,4
1,poco m3,1153,4241350,3
1,黑肥皂,133,9246133,6
1,手腕帶 相機,31,12088689,7
1,無修正,204,8319728,5
1,電競手機,743,5178551,3
1,懶人毯,907,4754094,3
1,雪平鍋,1272,4002130,3
1,samsung galaxy a8+,4,15288763,9
1,犀牛皮保護膜,65,10701884,7
1,實木家具,244,7900680,5
1,sabon,1539,3611001,3
1,潤濕液,30,12136262,7
1,眼鏡,345,7020758,5
1,外貿桌曆,28,12230313,7
1,伸縮撐衣架,24,12528050,8
1,牙粉,56,10973450,7
1,嬰兒泡泡浴露,30,12134432,7
1,噴油罐,849,4905087,3
1,calvin klein 卡文克萊》ck one 200,1,16996525,10
1,天禾玉,68,10629166,7
1,巫師3 ps4,14,13482475,8
1,bigboi,880,4822061,3
1,mdb 6d,5,15048626,9
1,六協,183,8550299,5
1,螢幕布幕,4,15463323,9
1,小白兔,665,5452606,4
1,亞麻仁油,985,4559353,3
1,voluspa,188,8487633,5
1,卡巴斯基,1106,4314787,3
1,臘肉,362,6889595,4
1,泡腳機,12170,485009,1
1,插座防水蓋,31,12058030,7
1,aveda『復原配方修護精華』,5,15167831,9
1,【osaki】baby清淨棉(40包入)x2,4,15687011,9
1,3060,3440,2074703,2
1,骨傳導耳機,740,5188930,3
1,turtle beach,657,5486940,4
1,防蚊門簾,1027,4468739,3
1,泰山純水,743,5179294,3
1,電子琴,1892,3158333,2
1,刀具架,793,5029011,3
1,抽屜,426,6492194,4
1,pa32ucg-k,42,11517317,7
1,快拆板,212,8218529,5
1,philips s9000 prestige,1,17403554,10
1,詹粉,386,6733724,4
1,森呼吸矽藻土,176,8637821,5
1,仙貝,780,5065207,3
1,帳篷,2471,2667907,2
1,鏈條油,615,5646414,4
1,防曬乳,206,8288178,5
1,立燈 落地燈,197,8388972,5
1,小米濾芯,188,8487821,5
1,中衛醫療口罩,4454,1688985,1
1,棉被,4108,1838300,2
1,ipad mini,3267,2148570,2
1,at2020,349,6990564,4
1,ro膜,114,9575707,6
1,錢包男,56,10984370,7
1,jbl bar studio,15,13375850,8
1,真空管音響,236,7974388,5
1,macbook air 保護殼,329,7126074,5
1,亞培安素,2600,2576625,2
1,無線打氣,10,13963098,8
1,迪士尼項鍊,9,14254944,9
1,組合櫃,608,5670854,4
1,肌內效貼布,83,10214751,6
1,層櫃,451,6365682,4
1,網路線15米,10,14079698,9
1,logitech 滑鼠墊,58,10916529,7
1,珠寶鑒定高倍放大鏡,30,12096272,7
1,化妝台,2006,3045427,2
1,防潮箱,5676,1361260,1
1,鋼彈,756,5135849,3
1,保冷袋,2961,2335410,2
1,jvc ha-f19m,1,17380278,10
1,鳥羽徹,10,14056258,9
1,鬼股子%28吳德洋%29著,2,16082973,10
1,遠距教學攝影機,8,14270399,9
1,日立10公升1級能效除濕機%28rd-200hh1%29,1,17443627,10
1,悶燒罐,806,5001016,3
1,4120,5,15165351,9
1,香草奶嘴,295,7383582,5
1,【thule 都樂】covert dslr 32l 相機後背包,1,17229467,10
1,creative sb blaster,11,13782913,8
1,白金對戒,22,12651833,8
1,泡腳桶,3126,2237839,2
1,兩用 露營燈,4,15634967,9
1,adisi】男防風透氣保暖背心,4,15510583,9
1,tudor,206,8296624,5
1,chenson,303,7316669,5
1,304不鏽鋼大容量吸管杯,10,13947518,8
1,吧檯椅,303,7320305,5
1,wii轉hdmi轉換器,1,17278566,10
1,led 吸頂燈 浴室,8,14263959,9
1,chromecast,7364,1024662,1
1,連發手把,236,7972264,5
1,年菜預購,4145,1825924,2
1,氣泡水機,1113,4307032,3
1,iwalk行動電源,183,8550848,5
1,貓抱枕,75,10419350,6
1,電木吉他baby桶,8,14378247,9
1,三軸 相機 雲台,1,17243840,10
1,羅技滑鼠,2531,2630524,2
1,平板,3236,2168071,2
1,雷蛇滑鼠,770,5097726,3
1,犀牛盾 壯壯貼,24,12491426,8
1,伊萊克斯a4,40,11593333,7
1,2.1聲道,782,5062083,3
1,大正泳裝,15,13319030,8
1,rx1r,16,13213051,8
1,z590 gaming force,58,10907771,7
1,會議麥克風,1336,3901815,3
1,防風掃把,15,13352810,8
1,螢幕置物架,711,5288962,4
1,運動內衣,869,4851814,3
1,jetdrive lite,29,12153809,7
1,5.1聲道喇叭,573,5821413,4
1,nh-d15,35,11853353,7
1,vr-3000,2,16759713,10
1,aviot真無線藍牙耳機te-d01q,176,8647501,5
1,電動磨指甲,97,9912374,6
1,機車手套,1764,3308562,2
1,ugt-ah710u3-bk,1,17155214,10
1,塵蟎機,165,8782751,6
1,環型燈,340,7050526,5
1,洗衣球,5081,1489668,1
1,卡式爐便攜式瓦斯爐,169,8728965,5
1,plantur,143,9099245,6
1,虎年黃金紅包袋,4,15273227,9
1,轉接頭,1185,4161814,3
1,w28110,27,12293534,8
1,羽絨被,2144,2904094,2
1,kvm,1587,3539273,3
1,dyaz6d-a900bx45l,265,7624243,5
1,掃地機器人 小米,284,7466895,5
1,iphone4,16,13181339,8
1,皮夾,2954,2344276,2
1,垃圾桶,7028,1082180,1
1,立燈,1957,3092945,2
1,apex保溫瓶,5,15077416,9
1,正官庄人參粉,2,16230185,10
1,sak00005d0,10,14086978,9
1,頭戴式放大鏡,199,8368408,5
1,茶樹精油洗髮精,10,13968528,8
1,女雪靴,36,11786713,7
1,電競鍵盤,1503,3658111,3
1,蘿蔔泥,17,13061240,8
1,星巴克,835,4933726,3
1,ddr4 3600,104,9762876,6
1,norton 360,58,10925635,7
1,小米 耳機,154,8928224,6
1,cheetos 辣,15,13367510,8
1,iphone充電座,247,7868504,5
1,攪拌機,2104,2950817,2
1,storage boxes,10,13975068,8
1,iphone背貼,95,9958027,6
1,雷蛇鍵盤,2309,2768776,2
1,口交,281,7488625,5
1,紅石榴,69,10593936,7
1,旺旺,1861,3199681,2
1,奶茶系列 成人醫療用口罩,3,15728585,9
1,止滑墊,1584,3545611,3
1,熱水器,4043,1862807,2
1,公仔展示架,193,8425629,5
1,12-35 f2.8,2,16752783,10
1,porter包,42,11502365,7
1,踏步機,1047,4417999,3
1,豆腐頭,922,4710215,3
1,牙線,2567,2605039,2
1,飛彈系列 優纖淨休閒鞋,1,16885623,10
1,懸掛式烘碗機,508,6090849,4
1,海尼根,324,7161026,5
1,熱水壺,2118,2938157,2
1,epson l14150 a3,9,14143839,9
1,假透膚絲襪,13,13608921,8
1,transcend 創見 8gb tsram ddr4 2400 桌上型記憶體(ts1glh64v4b),1,17121385,10
1,安美諾,87,10122505,6
1,ax-as6t-r,37,11746210,7
1,ora2 極緻淨白牙膏,6,14708246,9
1,桌機 視訊,1,17332413,10
1,dyson 空氣清淨機,965,4617806,3
1,手沖壺,1295,3967461,3
1,加熱杯墊,4313,1732698,1
1,祥業工業,51,11151336,7
1,18禁,420,6530727,4
1,usb眼罩,196,8398978,5
1,6600xt,477,6238650,4
1,銀離子口罩,99,9873206,6
1,烘碗機,14499,380199,1
1,穿鞋椅鞋櫃,376,6804655,4
1,綜合堅果,788,5045608,3
1,露營裝飾燈,211,8228476,5
1,sf-m128t,18,13000226,8
1,chefrun,13,13574718,8
1,萊威,12,13652666,8
1,n95醫療口罩,5315,1427425,1
1,arpha,269,7596213,5
1,apple watch無線充電,4,15354807,9
1,soft99 3000,8,14314383,9
1,涼被抱枕,1,17370876,10
1,fsp hydro ptm pro,1,16951837,10
1,地產大亨,1394,3814548,3
1,大通行車導航,3,15699887,9
1,canon+16-35+f2.8,15,13272200,8
1,洗衣精,4879,1544255,1
1,ringke iphone 13 mini,26,12388956,8
1,後背包,5252,1448481,1
1,幼幼平面口罩 環保,1,17187423,10
1,記憶卡,4656,1625238,1
1,手機外接鏡頭,297,7360783,5
1,辛拉麵,1469,3707148,3
1,生活紅茶,18,13051040,8
1,胎壓偵測器,1993,3057421,2
1,gogoro,1340,3897806,3
1,電子秤,4709,1615893,1
1,春風衛生紙,2054,2998746,2
1,時鐘掛鐘,320,7185511,5
1,chico成長型安全座椅,4,15438647,9
1,realme,3439,2078142,2
1,calvin klein 男內褲,95,9951092,6
1,asen usb,10,14035378,9
1,頂天立地,1919,3137409,2
1,大容量水壺,193,8432577,5
1,iphone 13 pro,9870,724411,1
1,華碩 鍵盤,19,12938186,8
1,重複飛機杯,12,13729742,8
1,小米 usb type-c,37,11756459,7
1,ipad9 保護殼,225,8091041,5
1,掛畫,521,6036826,4
1,車用平板架,214,8201488,5
1,萬年曆掛鐘,12,13653290,8
1,肉乾 真空,7,14658247,9
1,巧克力,4584,1652899,1
1,鬆餅、三明治機,168,8741435,6
1,anycast,886,4806155,3
1,b450,69,10589037,7
1,雷蛇,1691,3400166,2
