group,key_word,count,cum_count,segment
6,手機掛繩,2044,3011032,2
6,小米6,728,5230035,3
6,升降椅,503,6117616,4
6,樹枝剪,118,9496494,6
6,ps5 主機,772,5084621,3
6,電動噴漆,26,12390776,8
6,密錄器,4042,1866849,2
6,odlo,1814,3256681,2
6,日本 tenga‧真實體液,12,13659326,8
6,單車太陽眼鏡,1,17153782,10
6,【tp-link】tl-sg1016d 16埠,1,17214869,10
6,置物箱,586,5766356,4
6,衣領,17,13125976,8
6,羽絨背心,3815,1933754,2
6,拇指外翻鞋墊,12,13634822,8
6,nokia手機,1657,3447077,2
6,護膝,2657,2529419,2
6,usb 電源檢測,1,17162449,10
6,羅技 mk470 超薄無線鍵鼠組 - 珍珠白,5,14984201,9
6,ipad觸控筆,1185,4162999,3
6,湯圓,222,8118523,5
6,strix z690-f gaming wifi,26,12348396,8
6,硬碟transcend,6,14729018,9
6,samsung 智慧型手機 a22,2,16483221,10
6,鼻墊,179,8607130,5
6,ipad pro 11 2020,14,13421169,8
6,延長線網路一分二,1,17181556,10
6,日本iris 角落造型吊掛衣桿 pi-c150,1,17478710,10
6,優蕾帝,15,13361060,8
6,牛排鍋,494,6161947,4
6,logitech mx,113,9600531,6
6,mizuno j1gc207601,1,17325118,10
6,apple watch 錶帶,3188,2196925,2
6,苦瓜胜+,9,14141490,9
6,橘子工坊,1118,4298112,3
6,小心地滑,121,9445494,6
6,旅行茶具,1429,3767979,3
6,▼每日強檔‧瘋殺特賣▼綠苑春濃 dvd,1,17291006,10
6,魔界戰記,11,13874565,8
6,三星觸控筆,425,6504111,4
6,日本仙貝,73,10478675,6
6,b群,2195,2862962,2
6,lux 麗仕香皂,98,9885045,6
6,拾貳食品,79,10327963,6
6,米沃奇,150,8986742,6
6,枕頭,3975,1894780,2
6,口紅收納,148,9024306,6
6,甲珍電熱毯 雙人,144,9080465,6
6,【komperdell】鈦合金雙長握把避震登山杖,43,11487970,7
6,19 again,82,10251448,6
6,平躺 機殼,5,15094691,9
6,旅充,36,11775229,7
6,honda cap,2,16659549,10
6,雷蛇 腰靠,2,16137879,10
6,32吋智慧聯網螢幕m7,2,16843269,10
6,flutter,20,12858546,8
6,大同電鍋,5781,1315378,1
6,tcl c725,32,12032216,7
6,八三夭,1265,4017345,3
6,增大,33,11962782,7
6,1000ml chute mag,4,15415307,9
6,【嘻嘻哈哈】push pop bubble紓壓玩具,7,14514166,9
6,7305,4,15503279,9
6,手機頸掛,29,12194583,7
6,呼拉圈,756,5134337,3
6,skii化妝水,18,12962948,8
6,紙包咖啡攪拌,1,16858979,10
6,便當盒,2154,2891196,2
6,aux音源線,515,6061169,4
6,洞洞板,3293,2138730,2
6,sony sel24f14gm 大光圈廣角定焦鏡,3,15776831,10
6,17吋筆電包,999,4530588,3
6,火鍋湯底,1104,4318101,3
6,nh-70g-l,160,8846017,6
6,line friends,156,8908381,6
6,加熱壺,108,9695342,6
6,手機轉電視,1343,3889761,3
6,運動口罩,5223,1453704,1
6,魚型口罩,766,5107702,3
6,蒸煮鍋,942,4668289,3
6,hdmi轉vga,3482,2053971,2
6,折疊床,2633,2545270,2
6,掛燙機,2466,2672844,2
6,米字 起子,1,16951548,10
6,sony bravia 43吋 4k google tv 顯示器 km-43x80j%28,2,16563341,10
6,【mendoza】mz-60太空艙系列20吋登機箱-黑系md29000-bk,4,15644827,9
6,micron crucial mx500 1tb sataⅢ,12,13652570,8
6,吊燈,1769,3301495,2
6,酒精機,359,6909799,4
6,巧控鍵盤,400,6651550,4
6,低卡零食,271,7578407,5
6,洗手慕斯,917,4723994,3
6,防燙玻璃碗,2,16352325,10
6,電動飛機杯,749,5156922,3
6,汽車手機架,1769,3305033,2
6,like,31,12075793,7
6,音樂書,34,11873850,7
6,絲襪,1739,3347048,2
6,小磨坊,126,9355758,6
6,22吋螢幕,383,6759116,4
6,kinyo 延長,23,12583278,8
6,益固康,30,12096932,7
6,證件零錢包,89,10096067,6
6,排風機,1094,4333467,3
6,旋轉電視掛架,369,6845333,4
6,幼幼認知有聲書,2,16342811,10
6,usb-a to ethernet,4,15310279,9
6,白蘭洗衣精,753,5146408,3
6,hp筆電,1560,3569175,3
6,cordzero,57,10948073,7
6,硯台,87,10125550,6
6,廚餘桶,933,4687965,3
6,闕蘭絹42針,42,11525255,7
6,手錶 大字,3,15722429,9
6,濾水壺,947,4651279,3
6,魔法縮陰球陰道啞鈴,48,11263872,7
6,neu 抽水馬達,1,17455209,10
6,new star bl158,6,14839208,9
6,焊錫,250,7840178,5
