group,key_word,count,cum_count,segment
26,puma deva suede wns 女 休閒鞋 黑,1,17393947,10
26,孔雀 懷爐,38,11678721,7
26,蘋果汁,1049,4414856,3
26,搖搖杯,748,5162161,3
26,筆袋,977,4582886,3
26,瑜珈墊 15mm,19,12931916,8
26,ad-51p,13,13534015,8
26,pc controller,7,14598509,9
26,健身環,2866,2408331,2
26,娘家益生菌,380,6783500,4
26,kirkland+signature,1,17373976,10
26,汽車杯架,557,5881294,4
26,億長御坊,5021,1499752,1
26,野餐袋,45,11376653,7
26,性感內衣,1643,3461936,2
26,無線充電盤,3108,2256515,2
26,mj-e120an-tw,32,11994264,7
26,短夾,1860,3203401,2
26,無痕壁貼,206,8288384,5
26,nike 板鞋女,2,16661115,10
26,書法鋼筆,316,7217322,5
26,啞鈴,3321,2125515,2
26,望遠鏡,2027,3023231,2
26,不鏽鋼便當盒,696,5340383,4
26,支撐桿,89,10080937,6
26,工作桌,3384,2108863,2
26,南六口罩,356,6938397,4
26,鐵鍋,634,5569560,4
26,熊抱安睡褲,95,9958787,6
26,羅技g pro,45,11395283,7
26,長夾 女,411,6581854,4
26,碳纖維登山杖,79,10321564,6
26,曬衣桿,1869,3194086,2
26,紅色,104,9770780,6
26,網路switch,21,12752479,8
26,新年口罩,1415,3789301,3
26,■9999純 心,16,13256507,8
26,萬歲牌】無調味綜合果,9,14095932,9
26,asus zenfone,142,9104371,6
26,農心,412,6574853,4
26,威力導演20 旗艦版,34,11910060,7
26,虎年口罩,2434,2699755,2
26,intel nuc 64g,4,15610915,9
26,煤油暖爐,2815,2425343,2
26,masters登山杖,25,12462322,8
26,yamazaki plate 折疊,1,17265956,10
26,電蚊燈 小夜燈,1,17053818,10
26,new balance fuelcore nergize,8,14319063,9
26,方巾,4322,1728385,1
26,一口烏魚子,2618,2558386,2
26,brita濾水壺,718,5257508,4
26,收納袋,689,5368753,4
26,寶可夢傳說 阿爾宙斯,3945,1906648,2
26,24吋螢幕飛利浦,4,15308423,9
26,豆乾,763,5118396,3
26,bakkarat 迷你深層按摩槍 bk-316,4,15379179,9
26,rtx3050,878,4828214,3
26,拉門衣櫃,57,10935020,7
26,童鞋,1922,3129729,2
26,彌月禮,2273,2789380,2
26,自拍腳架,815,4980770,3
26,巧克力幣,434,6444414,4
26,布朗尼,174,8666021,5
26,【converse】 chuck 70 低筒   奶茶色 卡其,2,16821771,10
26,morakniv,392,6701012,4
26,dyson吸塵器,2095,2967606,2
26,媽媽樂洗衣機,3288,2142018,2
26,dyson 戴森 v11,2,16721535,10
26,herman miller,2753,2475430,2
26,食在好味道,22,12635289,8
26,無線鍵盤,6568,1197396,1
26,dyah8u-a900bzas2,257,7743478,5
26,萬國電鍋,59,10890152,7
26,運動長褲 男,368,6855281,4
26,南非國寶茶,761,5121442,3
26,讀卡機,7006,1089186,1
26,電子口罩,357,6924848,4
26,尚朋堂,167,8755675,6
26,太空帳,14,13420217,8
26,扭蛋機,532,5981565,4
