group,key_word,count,cum_count,segment
35,分類垃圾桶,513,6072467,4
35,地毯,3108,2253407,2
35,a52s 手機殼,1479,3693899,3
35,5000行動電源,18,12991658,8
35,sony wf-1000xm4,2154,2893350,2
35,雙人床單,64,10741869,7
35,除塵紙,900,4774885,3
35,目立康,245,7890899,5
35,3.5mm麥克風線,44,11416466,7
35,usb聯機對拷線,21,12782320,8
35,小米聲波電動牙刷,5,15083241,9
35,床罩組,584,5772206,4
35,poco m3,1153,4241350,3
35,黑肥皂,133,9246133,6
35,手腕帶 相機,31,12088689,7
35,無修正,204,8319728,5
35,電競手機,743,5178551,3
35,懶人毯,907,4754094,3
35,雪平鍋,1272,4002130,3
35,samsung galaxy a8+,4,15288763,9
35,939910,4,15629679,9
35,平面螢幕,9,14227314,9
35,rog鍵盤,411,6582676,4
35,我的健康日記,74,10460814,6
35,登山健走鞋,4,15441055,9
35,nvidia,361,6899717,4
35,面膜,1445,3740662,3
35,寵物推車,1130,4277877,3
35,ipevo 實物攝影機,7,14493733,9
35,dmade2-a900b6wel,1,16865067,10
35,f5350,2,16699891,10
35,理查德,78,10351919,6
35,美亞電磁爐平底鍋,2,16307783,10
35,藍芽 體脂,8,14473767,9
35,彈性褲 男,18,13027658,8
35,fujifilm x-t30 ii,176,8639581,5
35,紗窗清潔,227,8071148,5
35,麥當勞 即享券,979,4577022,3
35,三星行動電源,316,7219534,5
35,車靴,181,8577446,5
35,運動止汗頭帶,2,16333175,10
35,sm-se48,95,9954607,6
35,檀香,116,9546228,6
35,行動冰箱,1607,3508924,3
35,乳液旅行瓶,4,15382183,9
35,電動代步車,1126,4285769,3
35,石壁貼,14,13481971,8
35,暖包,159,8861331,6
35,m720,840,4923676,3
35,皮革保養油,1013,4503383,3
35,adata 威剛 ultimate su650 480g 2.5吋 sata ssd固態硬碟,2,16816653,10
35,iphone se2 犀牛盾,50,11194540,7
35,tp-link ue300c usb 3.0 type-c轉rj45 gigabit 外接網路線轉接頭網路卡,3,15731885,9
35,tenga,2245,2814201,2
35,optoma,171,8705002,5
35,方向盤,1695,3396784,2
35,木椅坐墊,1258,4026176,3
35,新年佈置圖貼,2,16384429,10
35,lisalisa羊毛料斗篷外套,4,15613875,9
35,口罩 中衛,4328,1724063,1
35,三菱除濕,23,12571226,8
35,壓力鍋,1687,3408609,2
35,m3700wuat,13,13542816,8
35,dell,2471,2670378,2
35,中衛醫療口罩csd,1539,3607923,3
35,raspberry pi 4 model b,55,11013832,7
35,鉤錶,194,8417689,5
35,pentel筆芯 b,4,15415263,9
35,soft99 3000,8,14314383,9
35,烏魚子禮盒,1518,3636978,3
35,菜瓜布 百利,229,8054293,5
35,mypure r10 pf-cb,1,17456938,10
35,護貝膠膜,318,7201148,5
35,梯子,1778,3294404,2
35,asus 19型寬螢幕 vs197de,2,16524339,10
35,縫隙刷,132,9259233,6
35,復古+機械鍵盤,653,5500040,4
35,perixx 滑鼠,14,13447475,8
35,拭銀布,207,8282812,5
35,櫻花濾水器,25,12471572,8
35,友情 捕蚊燈,3,16050992,10
35,手帕,4432,1697857,1
35,l型書桌,230,8043749,5
35,單人床,689,5370820,4
35,k9 pro plus,75,10439975,6
35,筆電記憶體 ddr3 8g,2,16275101,10
35,asus 商業用主機,12,13737650,8
35,潔瓷,15,13367180,8
35,廁所 led,2,16345993,10
35,藍芽鍵盤,2921,2373621,2
35,dyson無線吸塵機v8dyson sv10 v8 fluffy + 無線吸塵器,5,15004241,9
35,xbox 無線控制器(衝擊藍,5,15147566,9
35,ddr3,776,5078432,3
35,威德,326,7149655,5
35,屏風櫃,423,6514283,4
35,紙杯蓋,4,15450547,9
35,小巳 48v高壓清洗機 600w洗車機 高壓洗車槍 大功率水泵清洗神器,4,15689767,9
35,oled 電視,168,8738747,5
35,螢幕架,8564,898194,1
35,sony wh1000xm4,32,12006392,7
35,太陽能,450,6366583,4
35,method 浴,4,15304979,9
35,皮帶,2496,2645595,2
35,護手霜,2957,2338367,2
35,車用12v,19,12916507,8
35,sandisk ixpand,54,11050806,7
35,tzumii雙門十層鞋櫃,22,12653571,8
35,夢想盒子,983,4565255,3
35,日立冰箱,1681,3422080,2
35,電池,3160,2209598,2
35,美食鍋,907,4756815,3
