group,key_word,count,cum_count,segment
11,切片機,1282,3989369,3
11,拉桿旅行袋,122,9425406,6
11,年節 禮盒,126,9368358,6
11,電源線 hp,6,14908376,9
11,枸杞,763,5117633,3
11,dyson v8 電池,200,8354652,5
11,鋰鐵電池,552,5902365,4
11,nike童鞋,1229,4082215,3
11,jlab,1920,3135490,2
11,竹襪子,1,16941396,10
11,apple watch無線充電,4,15354807,9
11,天下一穴,861,4875162,3
11,montblanc explorer,14,13437577,8
11,鬆餅機,2013,3041411,2
11,雷射筆,3119,2240958,2
11,vlog 保護貼,5,15173451,9
11,雷謝印表機,1,17112728,10
11,probox 三洋電芯,4,15429283,9
11,dior香水禮盒,107,9708097,6
11,鐵三角耳機,1653,3453697,2
11,m331,1142,4261986,3
11,typec dp,9,14190585,9
11,醫療口罩,6796,1130419,1
11,鋪棉兩用被,354,6952943,4
11,奈米悠浮泡泡,144,9081185,6
11,illy衣索比亞,4,15666503,9
11,卡片夾,1723,3360885,2
11,磁磚縫,770,5094646,3
11,c公a母,4,15342727,9
11,浴室鏡49,6,14764490,9
11,黑色內衣,40,11586653,7
11,qeab7w-a90068y5u,1,17398080,10
11,福義,11,13812294,8
11,獨立筒床墊,398,6661917,4
11,英式茶具,36,11790601,7
11,遊戲機,384,6753750,4
11,冬天帽子,21,12717724,8
11,拍立得,3246,2161591,2
11,按摩枕,967,4609111,3
11,圓桌巾,838,4927033,3
11,手套登山,2,16425471,10
11,鋁合金輪椅,36,11792221,7
11,delux m618,35,11869243,7
11,時鐘,3182,2200107,2
11,galaxy z fold3,195,8410690,5
11,高壓清洗機,3188,2193737,2
11,科學麵,1740,3345309,2
11,手足健身車,229,8049026,5
11,行李箱 28 tsa,4,15443867,9
11,stormtech,175,8652053,5
11,n50-620,137,9178781,6
11,空氣清新劑,29,12190407,7
11,月曆,1892,3160225,2
11,月曆2022,576,5811076,4
11,the north face,3481,2057452,2
11,記憶卡,4656,1625238,1
11,樂扣鍋,18,13040834,8
11,g733qsa-0041a5900h,23,12559358,8
11,液晶電視,494,6160465,4
11,可樂,2371,2745516,2
11,櫃子,1303,3954469,3
11,samsung tab,174,8663759,5
11,過年抱枕,12,13734986,8
11,razer viper,83,10225209,6
11,噴水槍,367,6862254,4
11,龍口粉絲,88,10116094,6
11,hyperx,2037,3015109,2
11,紅帽子,1159,4228638,3
11,midi線,177,8627399,5
11,dyagje-a900bnt23,258,7729573,5
11,威猛,185,8534274,5
11,nike運動內衣,42,11527985,7
11,畫本,156,8899333,6
11,極舒感,1651,3455348,2
11,白色褲襪 兒童,3,16009331,10
11,瓦斯爐,2745,2478175,2
