group,key_word,count,cum_count,segment
33,gs1900,30,12107132,7
33,水果禮盒,779,5067546,3
33,同軸線,67,10648662,7
33,掛鉤 門,9,14209422,9
33,uniqman 淨能膠原錠,4,15535063,9
33,ingeni徹底防禦 samsung a8 鋼化玻璃貼,6,14832158,9
33,水桶售水機接水桶,1,17303995,10
33,moxbii,89,10097936,6
33,巧虎安睡褲,189,8483477,5
33,wds500g2b0b,6,14846324,9
33,海拿滋,29,12198324,7
33,充電頭,1033,4450197,3
33,g512,436,6437018,4
33,asus vg27aq,125,9376641,6
33,usb3.0 to type-c 公 轉接頭,2,16827985,10
33,白板筆,1024,4473866,3
33,浴室排風扇,1713,3376347,2
33,vz279heg1r,111,9626380,6
33,未來實驗室,1656,3450389,2
33,沙發坐墊三人,15,13317440,8
33,洗手乳,3169,2203276,2
33,大托特包,235,7985233,5
33,ux425ea,291,7412591,5
33,led 日光燈,11,13894134,8
33,濾水器,1409,3794946,3
33,遙控飛機,971,4598450,3
33,鏤空錶,256,7756058,5
33,hdmi分離器,1314,3934873,3
33,ahoye,475,6251971,4
33,bhks,101,9823538,6
33,牧田 吸塵器,89,10085565,6
33,充氣床圍,1,17212059,10
33,汽車收納箱,416,6555800,4
33,fx-506,23,12584543,8
33,s235hl,1,17423311,10
33,casio 簡約腕錶,7,14542978,9
33,工程筆,751,5153923,3
33,老虎貼紙,11,13847714,8
33,gore-tex,547,5922708,4
33,rx6600,673,5423838,4
33,牧場物語,234,7993441,5
33,鎂棒打火,9,14254962,9
33,dcacz9-a900bra0n,2,16515745,10
33,林銀杏,283,7473688,5
33,咖啡即溶,6,14842034,9
33,除濕機 三菱,426,6497306,4
33,防摔靴,7,14671876,9
33,百優,313,7244693,5
33,沾膠棉紗手套,4,15681239,9
33,生命中不能承受,2,16255127,10
33,理膚寶水 理必佳,39,11666186,7
33,d-link wi-fi 6,90,10065958,6
33,雙人椅,170,8721694,5
33,sony nw-a106hn,5,15086036,9
33,電熱鍋,74,10449270,6
33,汽車椅套,1224,4093256,3
33,旺旺禮盒,49,11225172,7
33,低溫蠟燭,296,7369983,5
33,baseus,659,5473785,4
33,床頭櫃,2205,2851966,2
33,星空投影燈,874,4839603,3
33,sena 5s,21,12777070,8
33,mk10,43,11490163,7
33,大藝術家玩色漸層腮紅刷 #f04,4,15670811,9
33,桌上化妝鏡,81,10281653,6
33,保暖polo衫,18,12984638,8
33,322qk,10,13950638,8
33,運動手套,115,9549579,6
33,紅包,2253,2805210,2
33,aptx 無線耳機,4,15328991,9
33,85吋 sony,6,14950250,9
33,mp4播放器,241,7931955,5
33,烘衣機,2437,2694886,2
33,13 pro 皮革保護殼,15,13333685,8
33,ipad pro 12.9,862,4870855,3
33,外接顯卡,770,5096956,3
33,耳罩式耳機,1213,4110285,3
33,水晶頭,531,5986352,4
33,無線充電,1133,4271085,3
33,鈦,314,7238116,5
33,熱敷眼罩,6161,1267618,1
33,防靜電手環,1883,3177195,2
33,衣架 紅,2,16409283,10
33,淺口襪,4,15593323,9
33,豹紋圍巾,101,9835557,6
33,烤麵包機,1743,3340087,2
33,電動自行車,6076,1285908,1
33,懷爐 火口,12,13702058,8
33,pureyu,2,16507165,10
33,國際牌8l空氣清淨除濕機,1,17144781,10
33,藍色工程安全帽,1,17117233,10
33,單人沙發,2094,2969700,2
33,水彩組,21,12745003,8
33,apple iphone 13 mini,52,11140361,7
33,[每月下殺]+羅技g27力回饋賽車方向盤,43,11483197,7
33,pixel 6 保護殼,946,4656957,3
33,kobo,1682,3418718,2
33,ag493ucx,27,12284732,8
33,lindy 林帝 cromo 3.5mm 公對公,10,14021618,9
33,divx,5,15045216,9
33,airpods pro,23827,177009,1
33,ro濾心,324,7164590,5
33,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
33,眼睛按摩器,181,8583781,5
33,文具用品,201,8344214,5
33,倍麗森,404,6621426,4
33,led+t10,10,14007798,9
33,瑞士軍刀男背包,67,10663067,7
33,伊萊克斯well q7無線吸塵器,19,12881509,8
33,鐵夾子,12,13753814,8
33,12v轉110v,1336,3900479,3
33,乾燥劑,1263,4021138,3
33,小米掃拖機器人2,102,9818273,6
33,藥盒,2212,2838713,2
33,耳塞睡眠,82,10239722,6
33,有機糙米,153,8956311,6
33,砂漿,47,11315232,7
33,矽利康,1710,3379769,2
33,得意衛生紙,580,5792581,4
33,視訊門鈴對講機,226,8085641,5
33,八角筷,26,12354246,8
33,矽膠膠帶,9,14142462,9
33,電鋸,790,5036930,3
33,g402,942,4669231,3
33,ariel洗衣精,240,7944207,5
33,sim 路由器,13,13585950,8
33,3m百利家用除菌清潔濕巾,38,11704029,7
33,實況野球,513,6067337,4
33,平板筆電,63,10770038,7
33,手電,15,13315190,8
33,ipad+pro保護套,35,11862488,7
33,銀欣,242,7920128,5
33,卡巴萊恩,4,15449619,9
33,3090,2411,2723976,2
33,dewalt,383,6759882,4
33,nike 氣墊跑鞋,12,13665902,8
33,三菱除濕機,1214,4105431,3
33,電腦包,2317,2754900,2
33,spigen,265,7633518,5
33,小米電動牙刷t,1,17173354,10
33,switch賽車遊戲,9,14102772,9
33,le labo 13,31,12066586,7
33,泡棉敷料,83,10230355,6
33,牛奶鍋,1814,3258495,2
33,【創意達人】台北101分類垃圾桶-40l,33,11943147,7
33,成人用品,725,5238024,3
33,馬克杯架,176,8645741,5
33,按摩棒,5138,1479466,1
33,家電,197,8390154,5
33,曼黛瑪璉 內衣,806,5001822,3
33,柑仔店零食,346,7015583,5
33,史雲雞湯,1,17273591,10
33,窄邊櫃,16,13255771,8
33,義美 巧克力酥片,33,11967765,7
33,頭枕,195,8413615,5
33,禮券,591,5744015,4
33,筆電 保護套 15.6,4,15624899,9
33,sandisk,2230,2827618,2
33,酒吧桌,2,16339671,10
33,溯溪鞋,1471,3702738,3
33,棒棒糖,552,5900157,4
33,寶可夢,5762,1332675,1
33,方格筆記,90,10059298,6
33,寵物毛毯,102,9806339,6
33,【嘉懋】義大利醬 280g(純素),1,17212636,10
33,asus wifi6,181,8574731,5
33,corpo x,967,4610078,3
33,跳床,528,6003289,4
33,巧克力,4584,1652899,1
33,頭戴式顯示器,772,5087709,3
33,安佳全脂牛奶,5,15126156,9
33,pixel 6 pro,1947,3098797,2
33,asus zenfone 8(16g/256g),1,17029288,10
33,摩戴舒,2137,2908370,2
33,大同電鍋11人份全不鏽鋼,36,11814181,7
33,衛生棉,3428,2091864,2
33,溫控快煮壺,166,8766010,6
