group,key_word,count,cum_count,segment
21,鑰匙圈,1725,3357438,2
21,dvd明道,14,13379337,8
21,縫紉機,2203,2854169,2
21,4d醫療口罩,4356,1715380,1
21,老林記,951,4645588,3
21,立頓奶茶,481,6220444,4
21,高爾夫揮桿練習器,168,8744123,6
21,smart5000 3d智能藍芽電動牙刷,10,13955898,8
21,油炸鍋,1638,3466855,2
21,瑪利歐賽車8,2099,2961317,2
21,移位搬運,3,15738647,10
21,koizumi櫃,2,16604259,10
21,頭帶,354,6947987,4
21,螢幕支架,4963,1519691,1
21,philips hx9924,2,16487351,10
21,水管快速接頭,36,11782357,7
21,ts-2300,3,15691943,9
21,鈦鍺手環,32,11981848,7
21,燈泡,2124,2931801,2
21,床頭片,1683,3417036,2
21,crocs,836,4932891,3
21,收藏家防潮箱,217,8166391,5
21,加溫器,56,10973786,7
21,暖爐,2294,2777968,2
21,男 白鞋,12,13631870,8
21,濃韻 烏龍茶,1,17389595,10
21,switch  oled收納,10,13993908,9
21,asus vivobook x513ep,112,9605487,6
21,asus b9,95,9956507,6
21,告示牌,85,10170214,6
21,桌上架,789,5040878,3
21,mf642cdw,32,11999032,7
21,恆溫濕熱電毯,6,14779778,9
21,瑪莉歐,221,8127173,5
21,救車行動電源,888,4799943,3
21,益節,186,8514984,5
21,x513ep-0471k1135g7,166,8769164,6
21,日本多功能嬰兒防側翻枕,1,17470688,10
21,方巾-衛浴,2086,2980145,2
21,生活,35,11844673,7
21,充氣沙發,848,4906784,3
21,靜音無線滑鼠,132,9255669,6
21,嘿囉貓飼料,2,16109487,10
21,招財貓,2091,2973885,2
21,ax6600,102,9799709,6
21,來自深淵%2810%29,3,15978995,10
21,mary meyer,16,13254603,8
21,vapormax,660,5469169,4
21,3c包+收納,61,10819811,7
21,洗衣,170,8715574,5
21,中衛3d醫療口罩,8,14382159,9
21,蘋果充電線,354,6950465,4
21,矽膠床墊,48,11280720,7
21,燜燒罐,625,5610472,4
21,skechers 女,832,4942056,3
21,筆芯 三菱,1,16935978,10
21,macbook,1612,3492836,2
21,gmp製藥舒緩貼布,1,16963157,10
21,不鏽鋼浴室置物架,2296,2775674,2
21,泡茶杯,979,4574085,3
21,牙線機,224,8098000,5
21,魚飼料,270,7589756,5
21,關門器,445,6388521,4
21,拼圖1000片拼圖,190,8471378,5
21,有線麥克風,398,6661519,4
21,三國無雙,507,6097956,4
21,護目鏡,1532,3620216,3
21,髮片,726,5235849,3
21,高腳椅,1119,4296994,3
21,遊戲網路直播專用hdmi 4k影音擷取卡-輸出1080p@60hz,3,15844793,10
21,洗車精,381,6772096,4
21,s20 fe 鏡頭,8,14430839,9
21,菲仕德 可升降可擱腳電腦椅 鋁合金腳架 靠背扶手辦公椅 老闆椅 電競椅,1,17059062,10
21,日本時鐘,8,14412391,9
21,圓桶型保溫袋,1,17146368,10
21,google pixel 6,1737,3350523,2
21,棘輪扳手套筒,103,9781998,6
21,防霧劑,2152,2897655,2
21,hp 印表機,676,5411696,4
21,嚐嚐九九年菜,15,13331345,8
21,ipad mini 保護貼,37,11766523,7
21,bosch+4吋變速砂輪機+gws720et,4,15428627,9
21,mp3隨身聽,1008,4519550,3
21,勵志書,4,15255359,9
21,muji 無印良品女,33,11940408,7
21,sym,567,5844229,4
21,帽t,1156,4235581,3
21,小米延長線,1195,4142790,3
21,1tb+256gb,1,16941820,10
21,投射燈,808,4995364,3
21,樂高 人物,4,15347459,9
21,pelican 1400,11,13898501,8
21,8g 512g,1,17095639,10
21,wifi放大器,1034,4446063,3
21,登月表,4,15483835,9
21,日清,950,4647488,3
21,馬桶清潔劑,1089,4336738,3
21,染髮劑,815,4981585,3
21,出風口手機支架,83,10228695,6
21,福義軒,2568,2602472,2
21,gucci包,297,7367911,5
21,amrf17a,15,13371350,8
21,電熱水壺,1569,3561361,3
21,【ista 伊士達】沉水式單顯內置控溫器,3,15962972,10
21,wacom+intuos+basic,7,14655636,9
21,車用平板架,214,8201488,5
21,百工,34,11912916,7
21,華碩 strix z690,1,17056767,10
21,活頁筆記本a5,39,11671646,7
21,長袖polo衫,1128,4280134,3
21,洗車機,1884,3175312,2
21,benten t20,12,13625798,8
21,紓壓小物,69,10579722,7
21,森林家族,1689,3403545,2
21,dyahdb-a900bojl9,252,7826130,5
21,type-c to hdmi,1365,3855909,3
21,cd播放器,1444,3746439,3
21,麥茶,792,5032974,3
21,chromebook,2311,2764156,2
21,信用卡夾,883,4816774,3
21,f-y20jh,995,4539554,3
21,魯班尺 群加,1,16953393,10
21,百優精純乳霜75ml,40,11598413,7
21,儲值金 1212,430,6472070,4
21,giordano 女裝印花長袖t恤,5,15222991,9
21,幫寶適 nb,85,10185089,6
21,台達電,269,7592716,5
21,螢幕,8840,854601,1
21,air max pre-day,82,10245052,6
21,早餐機,391,6709234,4
21,車中床,596,5723258,4
21,鐵衣帽架,42,11525675,7
21,小怪獸 按摩棒,2,16372587,10
21,bmb,50,11207940,7
