group,key_word,count,cum_count,segment
16,小空間電腦桌,246,7885262,5
16,電玩賽車,110,9653249,6
16,鬆餅粉,1757,3317363,2
16,小烤箱,782,5060519,3
16,天梭tissot seastar 1000,28,12228941,7
16,14tb,706,5308094,4
16,蘭蔻+超水妍,18,13019180,8
16,微軟觸控筆,43,11470211,7
16,貓籠,819,4974239,3
16,dvi轉hdmi,1258,4027434,3
16,運動墊,82,10261042,6
16,sony xperia 10,1058,4398008,3
16,自然光,144,9074129,6
16,洋芋片,3101,2259616,2
16,philips pd,13,13509289,8
16,鑰匙櫃,15,13293185,8
16,車用排風扇,21,12723457,8
16,雪靴,987,4555411,3
16,b12維他命,43,11474855,7
16,小型保險箱,930,4694481,3
16,elecom borsa收納包系列 bma-gp01黑,1,16884471,10
16,eneloop 2入,4,15532907,9
16,網路轉ＵＳＢ,1,16894223,10
16,series s/x 手把電池,1,17184986,10
16,儲值金,9290,791528,1
16,插電式門鈴,69,10580619,7
16,ejzz,45,11395688,7
16,安全帽,5009,1504761,1
16,mr600,89,10091439,6
16,d500,30,12112292,7
16,陀飛輪,895,4789238,3
16,除毛球機,1214,4106645,3
16,家樂福即享券,1276,3995760,3
16,良將,122,9439070,6
16,bissell,188,8492709,5
16,犀牛盾 solidsuit,5,15221941,9
16,高筋麵粉,440,6419954,4
16,置物架+衛浴,30,12151442,7
16,farcent香水洗沐超值組,2,16698939,10
16,東方錶,277,7525386,5
16,掛衣架,2703,2499910,2
16,intel evo,121,9450213,6
16,elis衛生棉,60,10868945,7
16,penoval,810,4988894,3
16,三層置物推車,13,13580607,8
16,生日氣球,778,5072216,3
16,馬鞭草洗髮精,6,14903414,9
16,電腦,1170,4199543,3
16,便盆椅,1157,4234425,3
16,超級巨星,544,5936894,4
16,小米 門鈴,18,12971282,8
16,ora2牙膏,93,10000047,6
16,羊毛撢,41,11546643,7
16,鎖牙式錶冠,6,14957126,9
16,加濕機,349,6988121,4
16,兒童保溫,29,12202355,7
16,電源延長線,904,4765868,3
16,開飲機,2650,2534725,2
16,床墊 單人,670,5435923,4
16,atr2500-usb,93,10007952,6
16,羊脂膏,483,6211766,4
16,i6plus手機殼,6,14822762,9
16,無毒黏土,129,9319668,6
16,羅技無線鍵盤,1248,4051218,3
16,皮皮淘植物貓砂,4,15410007,9
16,眼鏡盒,724,5243818,3
16,sps4imw00x,34,11885920,7
16,濃湯,389,6720932,4
16,遮光窗簾,1370,3850439,3
16,國際牌洗衣機,646,5528608,4
