group,key_word,count,cum_count,segment
17,嘉德鳳梨酥,19,12959143,8
17,感熱傳真機,36,11822713,7
17,升降茶几,1029,4465656,3
17,micro sd card,91,10050093,6
17,3m大樓玻璃隔熱紙,196,8400154,5
17,自拍,278,7506520,5
17,王子麵,1073,4371355,3
17,iphone 11 手機殼,736,5204425,3
17,frost冰點冷氣遙控器,5,15215701,9
17,視訊轉換線,6,14911862,9
17,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
17,聲寶四層光觸媒紫外線烘碗機%28gh85u%29,4,15526647,9
17,galaxy一a30s 手機套,1,16941001,10
17,養生禮盒,382,6762176,4
17,【pp波瑟楓妮】無痕美體雕塑衣,4,15538079,9
17,老人機,1635,3471766,2
17,歐式石英鐘靜音掛鐘,3,15943493,10
17,犀牛盾 iphone 13,957,4633194,3
17,通用防風聚火瓦斯節能罩,1,17027388,10
17,samsung galaxy s21,806,5002628,3
17,手機麥克風,849,4904238,3
17,螢幕增高架,1738,3348786,2
17,iphone充電線,3078,2275045,2
17,泡麵,5506,1394944,1
17,adidas,3429,2085008,2
17,samsung galaxy tab,873,4844843,3
17,麻將,867,4857890,3
17,airpods 3,2952,2347228,2
17,聖誕樹 180cm,293,7395934,5
17,電子後視鏡,1854,3216391,2
17,扶手餐椅,46,11357549,7
17,sim路由器,6,14857748,9
17,i13手機,2,16642275,10
17,男友,4,15241831,9
17,gigabit 網路卡,15,13289390,8
17,曬衣夾,769,5100803,3
17,nintendo,97,9905196,6
17,asus rog zephyrus s17,4,15263247,9
17,13 pro max 128,213,8208323,5
17,佐丹奴,512,6075028,4
17,t4500dw,11,13799820,8
17,fenix 6x pro,10,14064688,9
17,eye mask,14,13431935,8
17,just dance 舞力全開,9,14152470,9
17,iphone 13保護貼,109,9662463,6
17,小米手錶 運動版 錶帶,19,12884929,8
17,3尺餐櫃,192,8445262,5
17,aurai,276,7533398,5
17,書櫃,8885,845761,1
17,水波爐,7707,994910,1
17,工作褲,1790,3280132,2
17,三洋冰箱,558,5879065,4
17,開運手鍊,94,9975152,6
17,導遊領隊,15,13288925,8
17,植物燈,1812,3260307,2
17,活性碳口罩 50入,4,15555235,9
17,rebecca wmf 壓力鍋,2,16467391,10
17,活力堅果,4,15552251,9
17,休閒椅,564,5852713,4
17,dyah5e-a900arlkp,263,7654886,5
17,lightning 2m,29,12206125,7
17,聖誕樹 布,10,13923368,8
17,跳跳球,177,8627753,5
17,tommy hilfiger 皮夾,102,9815723,6
17,creative sb blaster play%21 3%28usb%29,13,13612977,8
17,dji,1631,3475028,2
17,a7m4,487,6195772,4
17,usb 暖暖包,47,11300004,7
17,碗盤瀝水籃,353,6958606,4
17,蕾黛絲-邱比特v真水 b-d罩杯內衣,2,16214789,10
17,天文望遠鏡,1007,4521564,3
17,海盜船,502,6118621,4
17,cfexpress 128gb,11,13816342,8
17,藥膳排骨,7,14578307,9
17,電蚊香,912,4741361,3
17,舒潔萬用輕巧包,18,13013150,8
17,avita v14,9,14104347,9
17,xbox series x,2687,2516063,2
17,幫寶適拉拉褲,1096,4327996,3
17,車用整理箱,10,13950348,8
17,諳木藏庫,102,9807359,6
17,櫻花牌淋浴專用大廈型熱水器(sh-8901),64,10740461,7
17,tyc-hb006,2,16553811,10
17,貝雷帽,932,4689829,3
17,emount sony,3,15910538,10
17,24mq,14,13453439,8
17,二合一傳輸線,118,9511598,6
17,水龍頭延伸器,1554,3584733,3
17,工作梯,368,6853809,4
17,微軟耳機,19,12889717,8
17,asus m700ta,91,10047272,6
17,屏風鞋櫃,13,13582882,8
17,開檔褲,245,7887714,5
17,3d泡沫染,2,16830159,10
17,"日本lion獅王-aroma rich長效型消臭除皺衣物香氛噴霧280ml/瓶%28布織品,窗簾,寢具,沙發,地毯皆適用%29",5,15162976,9
17,哈利波特,806,5003434,3
17,粉紅 招財貓,1,16944442,10
17,可攜式鋼筆型針孔錄影筆-內鍵4gb,30,12100292,7
17,e27燈座,482,6217075,4
17,庭園造景燈,25,12427947,8
17,台南關廟麵,19,12941587,8
17,睡袋內袋,84,10200054,6
17,petopia,5,15147136,9
17,kitty 春聯,22,12632429,8
