group,key_word,count,cum_count,segment
27,檯燈,11551,544609,1
27,捷安特,395,6684889,4
27,無線鍵鼠組,359,6913389,4
27,新年壁貼,1850,3218241,2
27,溫控壺,139,9150335,6
27,ipad air,3528,2033013,2
27,嬰兒床,1979,3073307,2
27,相模,375,6812171,4
27,望遠鏡 10倍,5,14995666,9
27,didv3y-a900cawyx,5,15037896,9
27,紅包袋,12378,460532,1
27,百吉衛生紙,180,8589184,5
27,浴室拖鞋,1668,3433780,2
27,點鈔機,1616,3486382,2
27,群加,908,4751372,3
27,s21+,1306,3944041,3
27,法蘭絨床包組 加大,11,13891263,8
27,"milwaukee fuel 2804-20 18v 1/2""",4,15360219,9
27,邊桌,3615,2008016,2
27,矽膠真人娃,397,6663904,4
27,滅火器,1222,4094478,3
27,rog筆電,644,5533769,4
27,iphone 13 pro max,2223,2832068,2
27,水,1597,3528132,3
27,小老板,39,11668214,7
27,血壓計,734,5208101,3
27,micro+usb延長線,16,13212987,8
27,beats solo,101,9824548,6
27,軍刀鋸,493,6164910,4
27,android電視盒,1217,4099354,3
27,哈利波特 繁體中文版20週年紀念,25,12451597,8
27,zowie xl2411k 24吋專業電競螢幕,5,15153521,9
27,卡鞋,442,6408490,4
27,紅米redmi note 7,19,12891256,8
27,充氣床墊,926,4701906,3
27,緊急/照明設備,4,15602851,9
27,雙電壓吹風機,441,6415554,4
27,保溫壺,3446,2067818,2
27,好奇,899,4779382,3
27,人體工學鍵盤,671,5433242,4
27,吸水浴巾,2183,2869527,2
27,花灑沐浴龍頭,73,10477434,6
27,夏威夷豆,473,6257183,4
27,le labo,555,5889078,4
27,休閒運動鞋,46,11357273,7
27,小美人魚 音樂珠寶盒,2,16328143,10
27,過濾器,146,9052221,6
27,aoyoshi,94,9968760,6
27,手動碎紙機,263,7652782,5
27,alisa愛莎移動式抽屜櫃,16,13241947,8
27,【ihouse】杜甫 滾輪式插座小邊几/床頭櫃/收納櫃,1,17285611,10
27,ssd seagate,2,16584061,10
27,野餐墊,2262,2798445,2
27,料理機,373,6827883,4
27,peakdesign,163,8811296,6
27,finish line,29,12182664,7
27,sata/ide轉usb2.0,6,14821652,9
27,cpu散熱器,888,4804383,3
27,名片架,170,8717274,5
27,水解雞精,4,15641839,9
27,濕度計,749,5157671,3
27,黑棗汁,424,6506232,4
27,乳油木之家,89,10088413,6
27,pegasus,412,6576089,4
27,鍵盤貼,60,10867685,7
27,原子筆,1150,4244802,3
27,a3彩色雷射複合機,4,15507231,9
27,奇美電茶壺,3,15722351,9
27,adidas短袖,45,11381333,7
27,osmo 收納包,12,13660118,8
27,電陶爐,1201,4134406,3
27,車用 啟動,2,16422023,10
27,future lab. 未來實驗室,642,5544052,4
27,csd,714,5277568,4
27,ducky,3285,2145303,2
27,ssd 480gb,6,14739908,9
27,dyah5e-a900a8mpo,263,7650415,5
27,alice情趣睡衣,18,12988868,8
27,50l垃圾桶,34,11876230,7
27,過年禮盒,1795,3278342,2
27,6600,198,8377330,5
27,眼霜,821,4970141,3
27,體溫酒精機,92,10030614,6
27,iphone 13,10475,633336,1
27,ft飛碟,20,12809486,8
27,mycard 點數卡,1621,3479905,2
27,現代地毯,35,11838408,7
27,pcie4.0,39,11651561,7
27,背心外套,743,5175579,3
27,surface go 3,1255,4031201,3
27,雙桌,5,15109296,9
27,eizo,935,4684232,3
27,禮盒 年節,1464,3717411,3
27,綁腿沙包,61,10820543,7
27,林內牌大廈專用強制排氣熱水器(ru-1227fe),11,13781780,8
27,5尺收納櫃,50,11192990,7
27,seiko機械錶調酒師,831,4946211,3
27,10w有線充電器,2,16843361,10
27,電器架,895,4786553,3
27,保溫飯盒,219,8146982,5
27,beats耳機,1114,4304806,3
27,爭鮮,813,4984025,3
27,防寒衣,96,9923406,6
27,2002r,987,4554424,3
27,衣架收納架,372,6835703,4
27,tp-link c200,12,13706282,8
27,panasonic國際牌eneloop高容量充電電池組%28內附3號8入%29,4,15363219,9
27,密保諾,133,9240946,6
27,摺疊床,373,6825272,4
27,登山鞋,1658,3445420,2
27,床頭燈小夜燈,68,10622026,7
27,長湯匙,48,11274432,7
27,switch,33012,126567,1
27,鮑魚罐頭,662,5463221,4
27,真空袋,1715,3372920,2
27,搬家神器,254,7794804,5
27,迷你冰箱,631,5586010,4
27,鈦餐具,413,6573202,4
27,義大利麵,855,4889748,3
27,充電,388,6724817,4
27,【i58】玻璃靜電貼 無膠無痕 隱密防窺 防曬隔熱 環保可重複黏貼,2,16843939,10
27,投影機支架,180,8587204,5
27,無線鍵盤滑鼠組,1899,3150752,2
27,switch oled,9196,800724,1
27,打氣筒,794,5025042,3
27,竹筴魚,34,11904042,7
27,鐘,204,8315240,5
27,紅燈籠,317,7206551,5
27,gshock,1024,4476938,3
27,philips奶嘴,6,14753588,9
27,驗電筆,1747,3329621,2
27,晾衣繩,57,10966826,7
27,wd black,100,9859618,6
27,對子哈特,816,4977507,3
27,綠咖哩,101,9827477,6
27,面罩,1668,3432112,2
27,瑪卡,862,4871717,3
27,中衛口罩,18216,298827,1
27,22b2hn,100,9852118,6
27,熱風槍,1178,4184277,3
27,陶瓷電暖器,1775,3297955,2
27,%288g記憶體%29 + msi infinite 11si-1299tw%28i5-11400f/8g/1t+256g ssd/gtx1660-6g super/w10%29,4,15568223,9
27,電子暖暖包雙面發熱暖手寶,19,12916944,8
27,u11,44,11432570,7
27,m15w,534,5973033,4
27,雙孔急速快充充電器,8,14308583,9
27,《德奧》亮明葉黃素90粒/德奧生技,1,17298736,10
27,小潘鳳凰酥,509,6088306,4
27,漁夫帽,883,4815891,3
27,marsace c25tr,12,13689866,8
27,球池,171,8709277,5
27,洗鼻器,1941,3108506,2
27,a4影印紙,2723,2486363,2
27,隔熱板,59,10885373,7
27,衣架,5279,1432704,1
27,萬年曆電子鐘,497,6145593,4
27,kvr16e11/8,4,15516567,9
27,k780,1316,3933559,3
27,黃金糖,95,9957457,6
27,21:9,436,6434402,4
27,吉列 x bape,126,9366594,6
27,cat,186,8521680,5
27,烘培烤箱,12,13682882,8
27,benq 螢幕燈,22,12656629,8
27,【yamazaki】tower加高型層板置物架%28白%29,17,13152547,8
27,liberty air 2 pro 真無線耳機,2,16621983,10
27,terra 2448w,31,12090549,7
27,求婚戒,675,5417775,4
27,烙鐵,1013,4502370,3
27,三花,1161,4222838,3
27,溫濕度計鬧鐘時鐘,73,10470061,6
27,置物架,3669,1986187,2
27,asus 螢幕 24,15,13357055,8
27,peak design 卡片,1,17466114,10
27,推車,3981,1882846,2
27,330dn,1,16873065,10
27,hp m27,17,13148892,8
27,定時插座,408,6603566,4
27,卡蘭帝尼,8,14304823,9
27,edifier,1763,3310325,2
27,rkd-190,57,10948985,7
27,爵士鼓踏板,5,15003201,9
27,3m無痕膠,1555,3581625,3
27,u2419hc,4,15568839,9
27,纖維被,47,11310532,7
27,4k螢幕,433,6452647,4
27,來復易,2297,2773378,2
27,金牌大師,102,9817355,6
27,3080,1884,3173428,2
27,moshi,3325,2122194,2
27,行車紀錄器記憶卡,73,10484880,6
27,滿意寶寶 輕巧褲,805,5004239,3
27,le creuset  烤盤,1,17376899,10
27,ecco soft x m,40,11587373,7
27,百利,169,8725754,5
27,chromecast 4代,1612,3491224,2
27,cfexpress type b,82,10255056,6
27,幼幼醫療口罩,71,10522538,7
27,滑鼠,10280,654076,1
27,acer sb271,23,12558530,8
2,sm-se48,95,9954607,6
2,》巴布超大容量腳踏式垃圾桶80l,1,17296485,10
2,【 aiwa 日本愛華 】真無線藍牙耳機 at-x80j,2,16764373,10
2,吹塵球,342,7038596,5
2,鞋把,149,9002913,6
2,瓦斯罐,1400,3804776,3
2,summer寶石,5,15124241,9
2,康乃馨 衛生棉,40,11612133,7
2,10t pro,57,10943285,7
2,mx808,2,16672159,10
2,al.bear lightning充電線輸線3m,1,17018550,10
2,兒童 手錶,59,10896642,7
2,馬克杯架,176,8645741,5
2,3d醫療口罩,575,5812226,4
2,木地板拖把,81,10266101,6
2,lg吸塵器配件,44,11452194,7
2,bmw 2at 中央扶手,3,16023869,10
2,投影燈,186,8518890,5
2,samsung galaxy s20+,58,10929173,7
2,米字 起子,1,16951548,10
2,防水後背包,1189,4149938,3
2,前級擴大+dac,35,11838688,7
2,dyah93-a900a8ng7,254,7783882,5
2,子母扣,400,6646750,4
2,emount sony,3,15910538,10
2,電茶壺,689,5371509,4
2,under armour,2053,3000799,2
2,iphone 13保護貼,109,9662463,6
2,詹粉,386,6733724,4
2,"手機包,斜背包",384,6752982,4
2,口水巾,6427,1236178,1
2,寵物衣服,738,5196319,3
2,cheetos 辣,15,13367510,8
2,第一石鹼 馬桶清潔劑 500mlx2入,1,16935262,10
2,casio dw,29,12154795,7
2,寵物床,855,4888893,3
2,plantur,143,9099245,6
2,dyah2n-a900awxsn,262,7668529,5
2,咖啡即溶,6,14842034,9
2,和美浴簾,108,9691130,6
2,掛衣架,2703,2499910,2
2,dyson,5419,1411314,1
2,ups,3784,1952752,2
2,層架,2607,2563601,2
2,燈泡,2124,2931801,2
2,外接式軟碟機,5,15120356,9
2,soundbar,4296,1741305,1
2,美國預付卡,407,6606420,4
2,wds500g2b0b,6,14846324,9
2,氣墊床,282,7483003,5
