group,key_word,count,cum_count,segment
22,浴室面紙盒,24,12507026,8
22,rua-c1620wf,122,9421136,6
22,裁紙機,819,4973420,3
22,衛生紙盒,904,4764964,3
22,巧虎版幫寶適,5,15075131,9
22,降噪耳塞,508,6093897,4
22,廚房紙巾 得意,30,12114242,7
22,精油 now,1,16943999,10
22,led燈泡,3306,2132136,2
22,1more,244,7904340,5
22,肛門塞,390,6717038,4
22,釘書機 大,33,11972748,7
22,[馬玉山] 紫山藥黑米仁 (30g*12入/袋),3,15724370,9
22,電磁爐專用砂鍋,248,7859836,5
22,令和,876,4835228,3
22,m32,1433,3762257,3
22,美津濃男慢跑鞋,558,5874043,4
22,dyah69-a900a8jbr,260,7693067,5
22,電子字典,314,7236232,5
22,烘培噴槍,3,15887033,10
22,bruno,1488,3685013,3
22,磨咖啡,23,12565476,8
22,greenon,34,11902036,7
22,椰棗,1047,4419046,3
22,無水擴香儀,32,12025528,7
22,dyah5d-a900aerpq,256,7752986,5
22,wq71-2bswf,32,11999352,7
22,凡士林,1686,3413668,2
22,xbox game pass ultimate,15,13290230,8
22,羅技 master 3,14,13486829,8
22,3070ti,858,4883755,3
22,中華民國物流協會,1,17244718,10
22,入耳式耳機,423,6515975,4
22,電競桌,2656,2532075,2
22,panasonic 國際牌6公升除濕機 f-y12eb,46,11345359,7
22,兩件式雨衣鞋套,15,13346705,8
22,downshifter 11 女 運動休閒跑鞋,2,16668173,10
22,ihouse 貓抓皮沙發,35,11837148,7
22,線材固定,90,10075678,6
22,安全瓦斯爐,100,9848818,6
22,德國手錶,122,9436630,6
22,外接硬碟,3071,2284265,2
22,fin,633,5579691,4
22,素食,1102,4319203,3
22,快眠枕,8,14299519,9
22,xf18-55mm,123,9414743,6
22,jvc 投影機,14,13377643,8
22,oppo find x3 pro,75,10425050,6
22,高爾夫球袋,382,6763704,4
22,美祿,1288,3980372,3
22,花瓶,757,5131310,3
22,隔音,598,5716693,4
22,阿爾宙斯,12307,472839,1
22,電瓶充電器,667,5445946,4
22,雷射印表機,1364,3858638,3
22,samsung 5g,39,11666030,7
22,switch 良值,20,12830326,8
22,128gb 隨身碟,300,7335971,5
22,brooks,865,4861353,3
22,【快車肉乾】虎年賀春禮盒%28,2,16769909,10
22,白醋,498,6141614,4
22,漢正軒,92,10027762,6
22,北海道干貝,483,6214664,4
22,層架,2607,2563601,2
22,拍立得底片,1348,3881689,3
22,書桌,7037,1075152,1
22,國際牌冰箱,1432,3763689,3
22,安全座椅,1424,3773683,3
22,採血筆,83,10228529,6
22,nike 上衣 男,13,13585872,8
22,pixel 6,3560,2025953,2
22,壓力褲,633,5573361,4
22,type c hub,2607,2568815,2
22,嬰兒浴巾,4290,1749886,1
22,進口午餐肉罐頭,176,8637997,5
22,高爾夫球鞋 男,30,12141272,7
22,淡斑霜,79,10327094,6
22,印花樂,45,11377058,7
22,電動鎚,330,7122121,5
22,瑞士蓮巧克力球,175,8654678,5
22,rtx3070,1039,4431562,3
22,兒童手錶,4102,1842402,2
22,烙鐵焊接工具,39,11643488,7
22,多功能鍋,2157,2889042,2
22,3人座木沙發,4,15394135,9
22,桿麵棍,351,6979374,4
22,電源插座網路傳輸,4,15281103,9
22,潔霜,411,6583087,4
22,sd記憶卡,2026,3025257,2
22,透氣寬褲,1,17028535,10
22,潮與虎,350,6986374,4
