group,key_word,count,cum_count,segment
7,手機 鏡頭組,2,16422915,10
7,浴室暖風機,775,5079983,3
7,switch寶可夢璀璨珍珠,4,15525739,9
7,水果刀,750,5154673,3
7,牙線棒,1101,4321405,3
7,iphone 13 128,1527,3626331,3
7,手機外接鏡頭,297,7360783,5
7,uno,552,5902917,4
7,vivobook,1128,4281262,3
7,zink相紙,102,9804197,6
7,營養獅維他命,1,17349417,10
7,汽車蠟,556,5885745,4
7,星巴克咖啡豆,280,7497589,5
7,m1 耳機,4,15685987,9
7,r20,2795,2439365,2
7,元山,153,8956923,6
7,new balance 327,2045,3008988,2
7,buds live,80,10310207,6
7,et322qk,619,5631601,4
7,名坂奇,270,7582736,5
7,環形燈,94,9985398,6
7,bulkhomme,117,9519087,6
7,雨傘,2180,2871707,2
7,液晶 游標卡尺,4,15525463,9
7,apple watch s7,960,4629359,3
7,samsung m,11,13817706,8
7,嬰兒 推車,9,14119503,9
7,apple type-c to lightning 原廠,2,16550955,10
7,開瓶器,595,5727425,4
7,jo malone,1943,3102683,2
7,e bike scooter,3,15968519,10
7,【richome】弗雷德桌上螢幕架-原木色(台灣製),1,17232425,10
7,電暖氣,1391,3821512,3
7,手提音響,597,5718486,4
7,imac 24,284,7460647,5
7,hopma 工業風雙層工作桌/書桌 e-d600,1,16902453,10
7,成人牛奶加熱器,1002,4527589,3
7,威剛照明殺菌盒,1,17137640,10
7,茶几,6428,1229751,1
7,冥想正念手冊,4,15678267,9
7,水龍 過濾,50,11192940,7
7,iris 除蟎吸塵器,428,6481081,4
7,ps 點數,30,12137642,7
7,威扣魔鬼氈,17,13130243,8
7,z mc 105mm,20,12861306,8
7,防滑地墊,152,8964830,6
7,情趣內褲,854,4892312,3
7,麗嬰房,287,7439771,5
7,女有機棉混縱橫彈性綾織舒適%28共5色%29,10,13977108,8
7,原木鍋鏟,106,9731599,6
7,台灣製造3m吸濕排汗暖冬被%28雙人款/棉被/保暖被%29,1,17259299,10
7,長大人 男,7,14616548,9
7,女皮夾,170,8720334,5
7,矽利康刮刀,735,5206632,3
7,夜用衛生棉42,8,14289423,9
7,瑜珈墊,6483,1210412,1
7,儲值,11481,556090,1
7,sandisk extreme,209,8253894,5
7,戶外趣,584,5775710,4
7,打蛋器,1866,3197820,2
7,臭氧機,2198,2860767,2
7,snug除臭襪,25,12432122,8
7,宏瑋口罩,637,5559387,4
7,z27,5,15164611,9
7,k70,2291,2780259,2
7,【skins+ry400】+專業運動恢復緊身衣,1,17229195,10
7,proart display pa329cv,3,15743903,10
7,a11uek-088tw,17,13100476,8
7,洋芋片 小包,6,14732912,9
7,wt-sd139,2,16804735,10
7,antenna cable,1,17023758,10
7,紅色短褲,5,15234451,9
7,ras-36jk,2,16464267,10
7,anello,987,4552450,3
7,好硬杯,12,13745738,8
7,隨身碟 128g,680,5397466,4
7,ps5銀河紫,10,14086868,9
7,apple home,13,13588030,8
7,天使紅蝦,188,8499665,5
7,打卡鐘,1068,4384193,3
7,a52s,6948,1096134,1
7,豬肋排,385,6748373,4
7,xv272u kv,1044,4424271,3
7,散熱器,452,6358910,4
7,暖風扇,2106,2946607,2
7,烤箱,8110,939733,1
7,samsung galaxy a52s,1663,3440441,2
7,台灣咖啡豆,70,10557041,7
7,聲寶電視32吋,13,13566008,8
7,咖啡包 二合一,4,15481675,9
7,tp-link a6,31,12063052,7
7,莫蘭迪口罩,455,6344849,4
7,鈦鍋,866,4858756,3
7,27吋螢幕,1681,3420399,2
7,xperia 10 iii,920,4712977,3
7,oppo find x5,1,17480850,10
7,智慧手錶,3448,2064372,2
7,dyahcp-a900avyzf,255,7766296,5
7,壁貼,2673,2524099,2
7,微波 蔬菜,1,17423583,10
7,伊萊克斯 烤箱,48,11264736,7
