group,key_word,count,cum_count,segment
8,郵差包,2127,2923300,2
8,abc-mart,66,10668360,7
8,伴手禮,439,6422151,4
8,迷彩口罩,354,6948341,4
8,玻璃清潔器,84,10197534,6
8,rog strix b550-e,3,15802529,10
8,大同電鍋10人份,2462,2677771,2
8,aukey 行動電源,357,6931274,4
8,充電電池,3656,1989843,2
8,造型泳帽,6,14903912,9
8,葵花油 得意的一天,54,11066520,7
8,dvd播放器,1576,3551929,3
8,日清杯麵,470,6271794,4
8,手板,6,14836040,9
8,除濕機 日立,857,4885470,3
8,小米手環6,6533,1203929,1
8,kingston,265,7626363,5
8,攪拌棒,772,5086937,3
8,office365,287,7446085,5
8,保鮮盒,1556,3576960,3
8,貓跳台,1106,4313681,3
8,tescom吹風機,525,6015387,4
8,乳清,855,4891458,3
8,5700g,480,6224291,4
8,真無限,10,14049998,9
8,黑色洋裝,17,13145849,8
8,氣動噴霧罐,17,13070386,8
8,wera,1037,4435712,3
8,樂高超級英雄,456,6337561,4
8,麥芽糖,441,6412908,4
8,馬克杯,2791,2444951,2
8,防寒手套,739,5191889,3
8,骨傳導+耳機,1,16947864,10
8,急救箱,308,7276353,5
8,掃把,2242,2816443,2
8,情趣按摩棒,2557,2610157,2
8,城市旅者 union系列,11,13883772,8
8,小茶几,1094,4330185,3
8,保暖口罩,53,11082422,7
8,佛跳牆,5419,1416733,1
8,licca,85,10192059,6
8,露營用具,37,11767152,7
8,補體素 80,5,15163826,9
8,三洋直立式冷凍櫃,110,9649069,6
8,無線麥克風,2139,2906233,2
8,wh-1000xm4,1184,4167738,3
8,寵物,823,4964388,3
8,舒潔平版衛生紙,447,6380935,4
8,3m濾心,1608,3502495,3
8,砧板,2477,2658013,2
8,空之軌跡,75,10418900,6
8,小風扇,239,7948037,5
8,omory 吸管,2,16693083,10
8,茶几巾,175,8653803,5
8,繪圖筆電,195,8401720,5
8,機上盒,1909,3141231,2
8,致冷片,1,17081131,10
8,摩洛哥優油,1069,4379921,3
8,smeg,332,7101601,5
8,接點清潔劑,862,4872579,3
8,scosche,214,8197208,5
8,飛利浦 電動牙刷,357,6924491,4
8,raid卡,306,7295364,5
8,電競螢幕,1030,4461540,3
8,my color,357,6929489,4
8,betrise多功能暖被,406,6613735,4
8,15筆電包,6,14960354,9
8,m.2ssd外接盒,749,5159169,3
8,琺瑯杯,364,6878335,4
8,鳳梨酥模,6,14982452,9
8,海帶芽,675,5417100,4
8,英展電子秤,187,8510704,5
8,panasonic 洗衣機,585,5768113,4
8,池上米,543,5940155,4
8,零食,3162,2206438,2
8,滿意寶寶 極上呵護輕巧褲,8,14371079,9
8,分解茶,359,6913748,4
8,qdar8o-a900a5y1p,1,17398017,10
8,p102s,27,12288674,8
8,三得利 芝麻明ex 90顆,9,14113968,9
8,bp-224熱感式條碼標籤機,54,11061066,7
8,馬丁靴男,271,7571361,5
8,12mini 透明,2,16760841,10
8,kioxia,103,9796418,6
8,文具,1904,3146949,2
8,小米平板5,1843,3223782,2
8,收音機,3497,2040016,2
8,galaxy watch4 classic,84,10205682,6
8,brita,3343,2112206,2
8,椅子 電腦,81,10282139,6
8,保溫瓶 象印,414,6569069,4
8,earplugs,15,13331915,8
8,戶外休閒用三腳小摺疊椅(1098),3,15728375,9
8,遠紅外線 手套,11,13826715,8
8,25 mm 長尾夾,2,16773871,10
8,gs308,80,10302047,6
8,dymo,41,11559312,7
8,濾水架,11,13844227,8
8,hi-hat架,10,14049258,9
8,老虎,464,6302602,4
8,衣櫃,8075,955916,1
8,usb擴充槽,12,13702358,8
8,防水膠帶,1927,3122040,2
8,小米耳機,2773,2458855,2
8,米森,737,5202215,3
8,天德牌雨衣,1132,4275616,3
8,43jx750w,85,10171829,6
8,肉骨茶,241,7932678,5
8,音響,1884,3171544,2
