group,key_word,count,cum_count,segment
9,2.5吋 硬碟外接盒,421,6529044,4
9,耳塞,2545,2627993,2
9,好自在純肌絲薄極長夜用,2,16349239,10
9,rog,2633,2542637,2
9,鐵三角 ath-ckr30,32,12019704,7
9,2020 apple ipad air,38,11691109,7
9,防潮,231,8031314,5
9,毛呢大衣 女,16,13237451,8
9,bpi倍特力enelong,32,12016984,7
9,吹風機,11481,567571,1
9,雙門小冰箱,1805,3267536,2
9,夏普空氣清淨除濕機,13,13523017,8
9,垃圾桶 腳踏,193,8433156,5
9,腰果,1017,4491208,3
9,盛香珍禮盒,183,8556338,5
9,電子筆記本,991,4549486,3
9,桂格養氣人蔘,1053,4407500,3
9,小米行動電源,6700,1164212,1
9,fujixerox p115b/m115b/m115fs/p115w/m115w/m115z 副廠相容碳粉匣,5,15235171,9
9,bosch獨立式洗碗機sms25ai00x,13,13503686,8
9,陳皮梅,108,9696206,6
9,tumi,1580,3548774,3
9,haylou solar,477,6241035,4
9,傳統肚兜,1,17213095,10
9,1.52,1,16928280,10
9,體脂計,1537,3614076,3
9,ux363ea-0402g1165g7,79,10330965,6
9,鍵盤架,1697,3393393,2
9,毛拖鞋,687,5374947,4
9,電話機,1642,3463578,2
9,三層櫃木,447,6379594,4
9,麥克風,6452,1223323,1
9,木製玩具,258,7730089,5
9,4g分享器,571,5829997,4
9,王樣の夢枕,5,15217161,9
9,a22,1052,4408552,3
9,王品嚴選,177,8631293,5
9,門鈴對講機,663,5459246,4
9,magsafe 粉橘色,1,17339135,10
9,魔肥,33,11934534,7
9,小米米家手持無線擦地機,1,17173515,10
9,洗脫烘,1383,3828443,3
9,mk手拿包,21,12710416,8
9,億長御坊年菜,143,9092238,6
9,type c 母,69,10587795,7
9,味噌湯,592,5738693,4
9,belkin,1268,4007210,3
9,動圈式麥克風,445,6391636,4
9,森永製菓  最高品味可可粉%28110g%29,1,17325060,10
9,steam 控制器,4,15670187,9
9,xv272u v,1015,4496287,3
9,米家,1465,3715947,3
9,s7 fe,260,7692807,5
9,switch pro,804,5005043,3
9,象外套,4,15428271,9
9,衛生紙 舒潔,1769,3303264,2
9,拌麵醬,725,5237299,3
9,jet sl,1033,4452263,3
9,【鋼甲武士】多功能鏈條鎖(80cm),1,17254706,10
9,車 火箭筒,6,14886134,9
9,摺疊收納籃 大尺寸,1,17406206,10
9,ringke iphone 13 mini,26,12388956,8
9,英國cheeky chompers咬咬兜,3,15955499,10
9,poe+nvr,12,13627634,8
9,全漢550,1,17222698,10
9,台灣製睡袋,24,12519074,8
9,marymeyer,32,11984312,7
9,asus vivobook pro 14x oled,6,14903330,9
9,wd 黑標 ssd,5,15169596,9
9,ferrinolightec1100sq超輕透氣化纖睡袋,36,11815729,7
9,debva3-a90065289,1,17078591,10
9,bosch洗碗機 45,9,14192178,9
9,奇亞籽,374,6821162,4
9,甩棍,88,10108790,6
9,主管桌,74,10446902,6
9,台灣三洋洗衣機,22,12663823,8
9,a4紙,710,5295356,4
9,彈性勾繩,10,14057668,9
9,茄汁鯖魚,8,14398215,9
9,fitbit,1032,4453295,3
9,suitu,2,16587157,10
9,panasonic,665,5451941,4
9,coosur,39,11650469,7
9,三星平板a7,43,11456236,7
9,酒精噴霧槍,909,4748646,3
9,青汁,374,6819292,4
9,sonax 光澤棕櫚蠟500ml,1,17172338,10
9,airpods pro 保護套,2426,2709470,2
9,vr眼鏡,1743,3338344,2
9,apple pencil 2,1510,3646061,3
9,elecom fittio,31,12074460,7
9,xbox 無線控制器,2697,2505305,2
9,肉乾,2101,2952918,2
9,日本星硝 4l,2,16408281,10
9,寵物電熱毯,87,10131988,6
9,fenix手電筒,772,5083849,3
9,麥茶包,113,9594203,6
9,鬧鐘,3445,2071263,2
9,護墊,1185,4166554,3
9,醫用口罩成人韓版魚型4d立體,36,11812201,7
9,e3000,229,8048568,5
9,冰箱收納盒,1143,4260844,3
9,qialino,36,11777281,7
9,鴛鴦鍋不鏽鋼,588,5757557,4
9,電子爐,213,8214713,5
9,anycast,886,4806155,3
9,groot,12,13640210,8
9,轉接插頭,224,8095088,5
9,浴巾,16836,333606,1
9,包大人,759,5128281,3
9,二進一出,27,12312866,8
