group,key_word,count,cum_count,segment
34,韓國泡麵鍋,246,7884770,5
34,rhythm 機械錶,1,17435391,10
34,耳環,913,4734059,3
34,arpha,269,7596213,5
34,微星,520,6038387,4
34,白蘭氏,1011,4508444,3
34,延長線,14110,394309,1
34,雙人掀床,214,8193784,5
34,太陽能路燈ll-62t型,1,17123874,10
34,澳洲 ezydog】,10,13932518,8
34,lubegard,12,13685114,8
34,富貴雙方,1761,3313849,2
34,noctua,252,7824870,5
34,dbaeem-a900a08qd,1,17059409,10
34,克林clean歐風雅典彩色描圖紙,4,15523859,9
34,stan smith,766,5108468,3
34,deby4s-a900biaej,16,13161803,8
34,髮套,4210,1805107,2
34,茶葉蛋,89,10088146,6
34,五月花衛生紙 捲筒,1,17239221,10
34,大川椅,385,6747603,4
34,角落生物,2247,2811956,2
34,黑色外套,120,9470916,6
34,5g無線路由器,1542,3603303,3
34,工業用吸塵器,1313,3936186,3
34,en-el15,92,10025554,6
34,xperia xz2 premium,17,13116031,8
34,鐵櫃,837,4931219,3
34,三星tab,1,17234019,10
34,toshiba 冰箱,178,8616399,5
34,sandal,2,16471233,10
34,mini 筋膜槍,14,13435729,8
34,brother hl-l2370dw,2,16567615,10
34,廚房濕巾,739,5193367,3
34,按摩臉,5,15185436,9
34,希爾思 小型及迷你成犬 成犬1-6歲%28雞肉與米%29,6,14811770,9
34,喜年來,754,5141131,3
34,禾聯免治馬桶,33,11978292,7
34,草本沐浴,1,17048373,10
34,logitech 無線滑鼠,1230,4079756,3
34,鏡頭保護貼 11pro,1,17021175,10
34,養豬趣,2,16171677,10
34,迷你電暖器,4990,1509751,1
34,六分轉四分,34,11927332,7
34,peter側背包,1,17406040,10
34,3d列印機,1290,3976506,3
34,露營行動電源,64,10741229,7
34,水盤,76,10402654,6
34,消毒牙刷架,336,7076892,5
34,t970,91,10032166,6
34,超音波眼鏡清洗機,11,13907532,8
34,n95 醫用口罩,23,12561428,8
34,紅棗核桃,186,8522796,5
34,kzm黑皮,1,17377413,10
34,f-y12eb,630,5589793,4
34,n95,6773,1150744,1
34,thunderbolt 4 hub 3.2,1,17141489,10
34,true religion 男,170,8711664,5
34,太鼓之達人,130,9302506,6
34,anker,3887,1918392,2
34,airpods pro 3,54,11037684,7
34,三國演義,71,10542063,7
34,iphone 13 128g,936,4679556,3
34,米家空氣淨化器pro,5,15198911,9
34,襪子,1379,3831204,3
34,氣壓 升降桌,23,12563774,8
34,法蘭絨 防滑,16,13179739,8
34,功能型沙發,68,10607882,7
34,繪圖板,1587,3537686,3
34,apple原廠線,107,9709702,6
34,小米a1保護套,18,12968798,8
34,衝鋒褲,896,4784762,3
34,17-70mm,378,6794480,4
34,雙層玻璃杯,731,5220553,3
34,樂歌,91,10048273,6
34,佳兒護,357,6931631,4
34,苦瓜,37,11738625,7
34,奶油千層派楓糖,1,17140815,10
34,輕鋼架燈管,216,8179588,5
34,benq 43吋4kuhd hdr android 9.0液晶顯示器e43-720,13,13503959,8
34,雷朋rb3025,134,9222220,6
34,輕量輪椅,3,15707054,9
34,韓國零食,484,6209833,4
34,bose藍牙耳機,18,13041734,8
34,壓著鉗,73,10473273,6
34,smart-life相片紙,2,16558961,10
34,折疊床墊,2110,2944501,2
34,新迪爵 手機架,1,17463845,10
34,ups,3784,1952752,2
34,you can buy 防水床包,2,16779487,10
34,凳,91,10048091,6
34,護貝機 a3,38,11698253,7
34,oris aquis date calibre 400,4,15475703,9
34,外套 男,1398,3806174,3
34,微波爐層架,12,13735838,8
34,iphone 13 mini 康寧,2,16626479,10
34,貼紙,459,6322911,4
34,medical立體口罩,1,17337040,10
34,鍵帽,655,5491532,4
34,dyahdb-a900bamxs,253,7796580,5
34,封口機,2520,2635572,2
34,碗盤瀝水架,764,5113055,3
34,宜而爽,755,5138869,3
34,滾筒洗衣精,199,8366418,5
34,霜山收納,79,10331597,6
34,餅乾,5271,1437975,1
34,kswiss懶人鞋,6,14749538,9
34,發熱背心,667,5447280,4
34,免綁鞋帶,894,4794602,3
34,美妝蛋,222,8117857,5
34,象印電子鍋,2030,3019176,2
34,壁燈,1424,3775107,3
34,波力,419,6537022,4
34,熱敷護腕,112,9605935,6
34,scholl爽健,40,11619653,7
34,登山褲,1051,4412757,3
34,凱蒂貓保溫杯,109,9674998,6
34,機械鍵盤,2135,2912642,2
34,iphone7plus皮套,94,9982296,6
34,史努比口罩,369,6846440,4
34,幫寶適,4456,1684531,1
34,胡鬧搬家,287,7443215,5
34,奶瓶刷,700,5333404,4
34,dwa-x1850,50,11194090,7
34,戰鬥陀螺,1841,3225623,2
34,台灣國旗,22,12673437,8
34,壽桃,54,11038818,7
34,防盜背包,167,8761520,6
34,電腦喇叭,4398,1706668,1
34,usb光碟機,129,9313992,6
34,spirimic,11,13822326,8
34,割草 面罩,4,15360827,9
34,雷射水平儀,1164,4213539,3
34,經典滋潤護唇膏-男士5g,1,16852847,10
34,dolce gusto,291,7412882,5
34,紅包袋創意,941,4671114,3
34,python最強入門邁向頂尖高手之路,8,14400679,9
34,bosch 鍍鈦,10,13997648,9
34,zoyu原創 ipad air 4 四角加厚保護殼,1,17293197,10
34,samsung note 20,123,9416342,6
34,dcbah6-a900bux7t,1,17060957,10
34,理膚寶水,1707,3381476,2
34,fsp hydro ptm pro,1,16951837,10
34,iphone 6 plus保護貼,22,12702719,8
34,28cm深炒鍋,30,12146972,7
34,過年,466,6288644,4
34,dhc,1951,3096850,2
34,三星 samsung samsung galaxy a42,2,16842577,10
34,看護鈴,300,7334471,5
34,公佈欄,96,9933198,6
34,防水鞋,1414,3790715,3
34,菜籃,94,9977690,6
34,ipad 保護貼,116,9539384,6
34,後庭清洗器,787,5047182,3
34,電源轉接頭 中國,15,13329395,8
34,露營 月亮椅,5,15194926,9
34,totolink,996,4534576,3
34,toma-pro 優格-成犬 雞肉+米,3,15723344,9
34,波瑟楓妮,88,10110902,6
34,方桌巾,123,9411053,6
34,dcabiz-a9007zv4y,2,16515279,10
34,apple pencil 磁吸筆套,2,16551287,10
34,辦公收納,125,9376391,6
34,wii,118,9501922,6
34,消毒鍋,399,6657536,4
34,跳繩,2025,3027282,2
