group,key_word,count,cum_count,segment
31,tanita】輕巧電子體重計,4,15565967,9
31,自強,11,13889800,8
31,置衣籃,16,13164571,8
31,年節禮盒,3049,2293446,2
31,銀康,113,9599401,6
31,c310,358,6918766,4
31,卡啦姆久,31,12077250,7
31,防曬袖套 uv,23,12563567,8
31,鋼筆,2409,2726385,2
31,mk包 托特,21,12713167,8
31,鍵盤,8998,818909,1
31,全身鏡,2088,2975973,2
31,地墊,3407,2095271,2
31,益富,220,8141286,5
31,華米,892,4795494,3
31,lg+55型120hz+full+hd+led液晶電視%2855lv5500%29,12,13695434,8
31,排油煙機,529,5994305,4
31,pu輪組,3,15721814,9
31,usb micro type c,4,15639899,9
31,chefrun,13,13574718,8
31,penaten,126,9371382,6
31,電流表,59,10889267,7
31,jabra藍芽耳機,237,7967056,5
31,chic choc,56,10990586,7
31,native 鞋,4,15266187,9
31,三點一刻,523,6026386,4
31,x2hr,577,5808195,4
31,襪子 男 除臭,4,15467179,9
31,玉米鬚茶,487,6194798,4
31,學步車,1393,3818729,3
31,六入御燕禮盒,4,15646347,9
31,隨身聽,718,5263970,4
31,掛式砧板收納架,5,15141931,9
31,皮爾卡登外套,209,8249087,5
31,koolaburra孫芸芸,430,6471210,4
31,雙人床墊,2413,2721565,2
31,伸縮充電線,60,10852685,7
31,燕麥 床包,1,17349744,10
31,孕 dha,12,13746014,8
31,義式咖啡壺,9,14159328,9
31,bagrun,245,7894819,5
31,yamaha hs5,42,11527733,7
31,燈架,390,6714308,4
31,oppo,2010,3043421,2
31,通管,31,12055767,7
31,露營燈,2019,3033351,2
31,洗澡蠟筆,5,15039586,9
31,冷凍櫃直立式,1460,3720333,3
31,contigo,93,10003302,6
31,加濕器,3588,2018810,2
31,primaloft,807,5000210,3
31,哈瑞寶,249,7851397,5
31,磁吸延長線,23,12590822,8
31,斜背包,1649,3456997,2
31,sunlux洗衣機,2,16588731,10
31,牙刷,1854,3214537,2
31,玻璃靜電貼,514,6064255,4
31,車用遮陽簾,31,12053721,7
31,980 pro 1tb,37,11732631,7
31,防疫護目鏡,65,10694539,7
31,始祖鳥男,45,11374493,7
31,膠帶切割台,30,12140822,7
31,dyah5d-a900bvi3b,262,7662765,5
31,ipx7,28,12234737,7
31,乾麵,242,7920612,5
31,喬亞無糖黑咖啡,113,9596689,6
31,rode 麥克風,290,7421883,5
31,philips 電視遙控器,8,14357015,9
31,貓門,79,10324803,6
31,panasonic吹風機,5612,1389438,1
31,船井 按摩,11,13865699,8
31,吸塵器架,497,6143605,4
31,健身車,562,5860038,4
31,筆電電池,163,8805102,6
31,冰糖醬鴨,25,12445997,8
31,手足肌力訓練機,12,13764218,8
31,甜椒粉,5,15238371,9
31,精工人動錶,3,15714275,9
31,大號工兵鏟,70,10555151,7
31,lapo充電器,30,12126182,7
31,花生醬,1164,4215867,3
31,自行車,621,5622928,4
31,case-mate iphone 13,13,13596558,8
31,洗車海綿,376,6803527,4
31,膠帶,1493,3671598,3
31,免洗內褲,817,4976691,3
31,hdmi讀卡機,2,16651911,10
31,舒肥機,399,6653546,4
31,競電筆電,12,13624706,8
31,靜電濾網,690,5362549,4
31,雄獅水彩,15,13344545,8
31,直流風扇,33,11962914,7
31,osim,1372,3843584,3
31,nike大童鞋,165,8789186,6
31,vivo v23,109,9678595,6
31,奧利多,180,8584684,5
31,arc 滑鼠,21,12761299,8
31,義美小泡芙,961,4626478,3
31,卡通床包,19,12953519,8
31,遮陽帽,212,8216197,5
31,三層櫃,2931,2364851,2
31,舒潔衛生紙,4097,1846499,2
31,xm4,1056,4401177,3
31,rimowa,528,5999065,4
31,美樂蒂 口罩,31,12084163,7
31,遠東發熱衣女,37,11738329,7
31,4d口罩,1835,3232966,2
31,韓版口罩,407,6609269,4
31,ddr4 3200 16g 筆記型記憶體,11,13879097,8
31,鞋墊,2005,3047432,2
31,擦手紙,3950,1902703,2
31,餐吊燈,1017,4492225,3
31,無洗米,124,9390260,6
31,airpods 3 保護套,440,6419514,4
31,yamazaki,1187,4160629,3
31,64耳機,1,17114890,10
31,akitio  u31c,1,17021515,10
31,韓國甲珍 變頻式恆溫電熱毯,17,13150592,8
31,餐桌,1921,3131650,2
31,毛髮疏通棒.,1,17311233,10
31,透氣三折式收納床墊,2,16335913,10
31,雪q餅,694,5347328,4
31,dhabb4-a900cnu6t,4,15528667,9
31,耐熱玻璃,40,11585893,7
31,sun star,26,12352790,8
31,a,242,7922548,5
31,bmw 2at 中央扶手,3,16023869,10
31,莊頭北熱水器,869,4850945,3
31,air jordan,751,5152421,3
31,dyah8u-a900abtdh,252,7825374,5
31,白米,570,5835134,4
31,tommy外套,16,13222731,8
31,櫥櫃貼,24,12498650,8
31,synology,2850,2411181,2
31,氣炸烤箱,2942,2353120,2
31,led 15w 燈泡,4,15545027,9
31,肌研,372,6836447,4
31,小章魚,966,4612011,3
31,sharp sense4,1,17168981,10
31,武術鞋,15,13371815,8
31,unilove,51,11161332,7
31,安卓手機隨身碟,5,15127261,9
31,sfx 電源供應器,39,11654525,7
31,錶扣,14,13411103,8
31,tenga svs,9,14121114,9
31,鞋架,4228,1796677,2
31,黑師傅,489,6185039,4
31,衛生棉 靠得住,320,7188391,5
31,葉黃素魚油,14,13429625,8
31,吸鼻器,1442,3750766,3
31,210,3,15953336,10
31,宿命戀人,4,15526795,9
31,power+adapter,15,13291955,8
31,乳清蛋白,1787,3281919,2
31,胡鬧廚房,274,7546025,5
31,電腦桌,18664,280611,1
31,紓壓玩具,357,6926276,4
31,虎年,855,4890603,3
31,記者包,19,12889147,8
31,手錶,3852,1926120,2
31,帆布包 側背包,14,13488215,8
31,in+win+迎廣-mg134-機殼,2,16638683,10
31,葡勝納,743,5177065,3
31,空氣品質偵測器,180,8587384,5
31,電暖爐,1610,3497669,2
31,玻璃清潔刀,5,15204701,9
31,悠遊卡套,485,6202085,4
31,除臭噴霧 日本,10,13973758,8
31,團購 禮盒,4,15325375,9
31,收線,75,10428125,6
31,迷你夾燈,11,13903517,8
31,hdmi switch,72,10503322,7
31,fila男鞋,13,13615694,8
31,瑪利歐賽車,302,7324234,5
31,桌巾,2317,2759534,2
31,餐桌布防水防油,172,8697816,5
31,vans 福,8,14375983,9
31,[touchcool] 60色專業軟頭麥克筆,3,15745349,10
31,綠聯 cat6 3米,6,14903852,9
31,qnap,1227,4088355,3
31,levis男長袖,8,14291911,9
31,閱讀壁燈,13,13622246,8
31,wifi分享器,2018,3035369,2
31,手機直播支架,219,8150267,5
31,g502,3083,2271967,2
31,trail broken,3,15695759,9
31,洛神花,277,7520954,5
31,黑橋牌,245,7889674,5
31,43吋顯示器,747,5165897,3
31,磁吸式無線攝影機,4,15621983,9
31,tp-link,2590,2589604,2
31,杜仲茶,254,7783628,5
31,防蟻碗,105,9742236,6
31,體重,154,8935462,6
31,廚房地墊,1067,4385260,3
31,磨缽,145,9067622,6
31,m.2 ssd散熱,4,15677419,9
31,雲騰999,9,14181873,9
31,鱈魚,108,9689186,6
31,內衣,1443,3747882,3
1,銀離子口罩,99,9873206,6
1,烘碗機,14499,380199,1
1,穿鞋椅鞋櫃,376,6804655,4
1,綜合堅果,788,5045608,3
1,露營裝飾燈,211,8228476,5
1,sf-m128t,18,13000226,8
1,chefrun,13,13574718,8
1,萊威,12,13652666,8
1,n95醫療口罩,5315,1427425,1
1,arpha,269,7596213,5
1,apple watch無線充電,4,15354807,9
1,soft99 3000,8,14314383,9
1,涼被抱枕,1,17370876,10
1,fsp hydro ptm pro,1,16951837,10
1,地產大亨,1394,3814548,3
1,大通行車導航,3,15699887,9
1,canon+16-35+f2.8,15,13272200,8
1,洗衣精,4879,1544255,1
1,ringke iphone 13 mini,26,12388956,8
1,後背包,5252,1448481,1
1,幼幼平面口罩 環保,1,17187423,10
1,記憶卡,4656,1625238,1
1,手機外接鏡頭,297,7360783,5
1,辛拉麵,1469,3707148,3
1,生活紅茶,18,13051040,8
1,胎壓偵測器,1993,3057421,2
1,gogoro,1340,3897806,3
1,電子秤,4709,1615893,1
1,春風衛生紙,2054,2998746,2
1,時鐘掛鐘,320,7185511,5
1,chico成長型安全座椅,4,15438647,9
1,realme,3439,2078142,2
1,calvin klein 男內褲,95,9951092,6
1,asen usb,10,14035378,9
1,頂天立地,1919,3137409,2
1,大容量水壺,193,8432577,5
1,iphone 13 pro,9870,724411,1
1,華碩 鍵盤,19,12938186,8
1,重複飛機杯,12,13729742,8
1,小米 usb type-c,37,11756459,7
1,ipad9 保護殼,225,8091041,5
1,掛畫,521,6036826,4
1,車用平板架,214,8201488,5
1,萬年曆掛鐘,12,13653290,8
1,肉乾 真空,7,14658247,9
1,巧克力,4584,1652899,1
1,鬆餅、三明治機,168,8741435,6
1,anycast,886,4806155,3
1,b450,69,10589037,7
1,雷蛇,1691,3400166,2
