group,key_word,count,cum_count,segment
32,levis男長袖,8,14291911,9
32,閱讀壁燈,13,13622246,8
32,wifi分享器,2018,3035369,2
32,手機直播支架,219,8150267,5
32,g502,3083,2271967,2
32,trail broken,3,15695759,9
32,洛神花,277,7520954,5
32,黑橋牌,245,7889674,5
32,43吋顯示器,747,5165897,3
32,磁吸式無線攝影機,4,15621983,9
32,tp-link,2590,2589604,2
32,杜仲茶,254,7783628,5
32,防蟻碗,105,9742236,6
32,體重,154,8935462,6
32,廚房地墊,1067,4385260,3
32,磨缽,145,9067622,6
32,m.2 ssd散熱,4,15677419,9
32,雲騰999,9,14181873,9
32,鱈魚,108,9689186,6
32,內衣,1443,3747882,3
32,lady 內衣,90,10059658,6
32,工作鞋,1280,3990649,3
32,百點0.5筆芯,5,15201761,9
32,【ezlife】eva回彈減震舒壓鞋墊,1,17288009,10
32,on乳清,68,10615294,7
32,x515ep-0171g1165g7,165,8789351,6
32,口交套,218,8154640,5
32,三花1/4毛巾底運動襪,38,11703649,7
32,多特瑞,4,15563683,9
32,crosshair,17,13141242,8
32,黃金,804,5006651,3
32,px大通 g3e,2,16507557,10
32,s604pro折疊無人機【6k雙攝像頭+2100萬像素+3000米飛行】空拍機 無人飛機,1,17423381,10
32,戰術背包,555,5889633,4
32,magsafe,5657,1366917,1
32,dike  ds604,6,14978864,9
32,kanoodles,11,13844854,8
32,即期品,728,5230763,3
32,瑪利歐派對 超級巨星,1747,3327874,2
32,led 照明 薄,2,16595821,10
32,桌燈,1168,4203050,3
32,vaio,1505,3655104,3
32,穩壓器,2465,2675309,2
32,日本進口鬼滅之刃,30,12099692,7
32,保護貼,466,6287712,4
32,hx6063,185,8533349,5
32,修正帶,462,6310008,4
32,貓罐頭,1139,4265408,3
32,椅墊,1656,3448733,2
32,烘罩吹風機,19,12931707,8
32,大潤發,2625,2550527,2
32,benq 護眼螢幕ex3203r,1,16972293,10
32,鈴鼓,76,10405086,6
32,xperia pro-i 保護貼,1,17257265,10
32,十格間隙櫃,13,13569778,8
32,不鏽鋼桿,11,13796487,8
32,65x80,30,12112322,7
32,摺疊水壺,114,9577303,6
32,cb6000s,49,11236736,7
32,nobby,107,9712484,6
32,水龍頭,1922,3125885,2
32,lion 牙膏,34,11876162,7
32,李施德霖,440,6420834,4
32,ad威剛hc660 1tbusb3.1 2.5吋行動硬碟,4,15507335,9
32,solac,191,8449085,5
32,露營餐具,826,4956148,3
32,綠軸,100,9859818,6
32,samsung galaxy a52s 5g,192,8444110,5
32,濾掛咖啡,1208,4119965,3
32,寬楦,847,4909326,3
32,免治馬桶,1552,3590942,3
32,奇美檯燈,34,11892856,7
32,果汁機,2440,2690009,2
32,毯子,1149,4245951,3
32,小夜燈,2473,2662963,2
32,acer aspire 14,3,15812234,10
