group,key_word,count,cum_count,segment
23,nike waffle one,346,7014199,5
23,手機指環扣,115,9557169,6
23,zyxel,399,6652748,4
23,ipadpro11保護套,6,14817338,9
23,相機包,1830,3236630,2
23,nike air max,823,4962742,3
23,ns海賊無雙,1,17473888,10
23,diy,100,9855418,6
23,插電電子秤,3,15967931,10
23,飛利浦檯燈,278,7509856,5
23,免洗護髮霜,1,17228674,10
23,溫濕度計,1268,4011014,3
23,萬寶龍,1215,4103002,3
23,籃球鞋,2889,2393960,2
23,hdmi,2707,2497207,2
23,泡茶壺,1300,3960973,3
23,拉力器,108,9683246,6
23,razer,3039,2296485,2
23,多功能刮鬍刀,31,12074398,7
23,samsung 充電器,38,11716569,7
23,手電筒,4140,1830064,2
23,nas 8t,7,14681557,9
23,行車紀錄器,5254,1443229,1
23,群加延長線usb,8,14333279,9
23,dyahc0-a900arlko,254,7786168,5
23,icue,15,13280795,8
23,watch4,139,9153532,6
23,乾衣機,2836,2419705,2
23,科學探索,2,16268341,10
23,電競耳機麥克風,116,9535440,6
23,年菜南門市場,141,9120798,6
23,伊藤園,572,5825995,4
23,樂高,7059,1068115,1
23,打卡鐘卡片,116,9545880,6
23,滷包袋,102,9815315,6
23,紗窗清潔刷,1722,3364329,2
23,燈具,748,5159917,3
23,▼限量送500p幣▼運動外套,12,13717202,8
23,藍芽錄音筆,15,13272440,8
23,hawk u206,1,16910570,10
23,chromecast with google,327,7139858,5
23,保溫杯350,18,13008236,8
23,比基尼,332,7105917,5
23,快煮鍋220v,11,13900921,8
23,環保餐具組,125,9378141,6
23,羽球拍,1706,3383182,2
23,折疊架,66,10678854,7
23,洗脫烘洗衣機,282,7481593,5
23,750ml保溫杯,66,10685916,7
23,耳機,7482,1009881,1
23,工具腰包,193,8433928,5
23,維尼,639,5551097,4
23,shu uemura植村秀】,3,15795287,10
23,靠得住 超薄護翼,2,16125023,10
23,windows 10 隨機版,3,15736499,10
23,3d口罩,1855,3210828,2
23,三層電鍍鐵力士架,32,11983096,7
23,jojogo,104,9764332,6
23,洗衣機防塵套,1806,3265731,2
23,剪刀腳鍵盤,457,6332535,4
23,尿道,59,10888618,7
23,roberta諾貝達,36,11807881,7
23,無粉手套s,12,13684814,8
23,daikin mck70vsct-w,4,15354851,9
23,viewsonic 手寫,11,13846867,8
23,256g記憶卡,82,10260878,6
23,lightning轉hdmi 4k,14,13488173,8
23,隨身硬碟收納包,52,11110981,7
23,衛生棉褲,454,6351662,4
23,口罩 醫療,2767,2467162,2
23,滿意寶寶,2917,2376538,2
