group,key_word,count,cum_count,segment
28,rkd-190,57,10948985,7
28,爵士鼓踏板,5,15003201,9
28,3m無痕膠,1555,3581625,3
28,u2419hc,4,15568839,9
28,纖維被,47,11310532,7
28,4k螢幕,433,6452647,4
28,來復易,2297,2773378,2
28,金牌大師,102,9817355,6
28,3080,1884,3173428,2
28,moshi,3325,2122194,2
28,行車紀錄器記憶卡,73,10484880,6
28,滿意寶寶 輕巧褲,805,5004239,3
28,le creuset  烤盤,1,17376899,10
28,ecco soft x m,40,11587373,7
28,百利,169,8725754,5
28,chromecast 4代,1612,3491224,2
28,cfexpress type b,82,10255056,6
28,幼幼醫療口罩,71,10522538,7
28,滑鼠,10280,654076,1
28,acer sb271,23,12558530,8
28,地瓜餅,42,11529791,7
28,無線網路天線,240,7937007,5
28,網路攝影機\,1,16885601,10
28,洗臉刷,169,8732514,5
28,縫紉線,150,8984642,6
28,水龍頭過濾器,964,4623592,3
28,google chromecast,2127,2925427,2
28,國快3 quick3,2,16156765,10
28,蓮藕粉,1144,4255129,3
28,ipad uniq,10,13946138,8
28,情趣 仿真,207,8279086,5
28,play,1161,4221677,3
28,tp link,547,5923802,4
28,涼被抱枕,1,17370876,10
28,陳昭蓉,4,15667287,9
28,uhd50x,15,13278350,8
28,充電線,1746,3333113,2
28,識別證套,1296,3966166,3
28,羊毛圍巾,233,8002553,5
28,外掛過濾器,72,10507930,7
28,計算機,2101,2955019,2
28,轉角空間衣架,24,12511778,8
28,紅包 虎,39,11675000,7
28,海苔,2923,2370700,2
28,碎光碟,51,11149500,7
28,【sampo聲寶】五段式音波震動牙刷共附9刷頭 tb-z2002l (三年份刷頭超值組),2,16744881,10
28,夢遊仙境一卡通,43,11490421,7
28,vans,2877,2399719,2
28,cf-2524,16,13175707,8
28,兒童 沙包,4,15544363,9
28,筆芯,125,9377016,6
28,mycard,9850,734261,1
28,elephant收納式雨水罩大容量筆電背包,2,16730153,10
28,【旺旺】旺仔小饅頭-原味(320g),2,16797201,10
28,optoma p2,74,10469324,6
28,加倍佳棒棒糖,125,9375641,6
28,黃色雨衣2件式,1,16897833,10
28,s7,501,6125141,4
28,洗衣粉,1274,3999585,3
28,露營 鋼杯,2,16119301,10
28,衣帽架 掛勾,9,14249328,9
28,49吋顯示器,35,11827033,7
28,mx500,3150,2212748,2
28,xbox,4273,1762723,2
28,hdmi kvm,159,8863716,6
28,廚師鞋,771,5090793,3
28,iphone 13 pro max 原廠保護殼,1,17364995,10
28,日本yamazaki,31,12079637,7
28,立式龍頭,81,10265453,6
28,洗臉巾,3204,2184144,2
28,男用自慰器,337,7069155,5
28,【上野物產 年菜】人蔘糯米雞+黃金鯧+筍絲蹄膀 寶進財至,1,17215658,10
28,type-c,277,7527602,5
28,dt 700,1,16878904,10
