group,key_word,count,cum_count,segment
10,平板電腦,7847,971648,1
10,橄欖,126,9360294,6
10,單腳架,308,7276661,5
10,兒童 手錶,59,10896642,7
10,普洱茶餅,37,11726933,7
10,黑巧克力,1267,4012281,3
10,柚 醋,2,16208631,10
10,dod,252,7816302,5
10,【fl 生活+】恆溫加熱暖杯墊微晶爐-二入組(fl-24,6,14833508,9
10,曬衣夾架,31,12043057,7
10,type c轉usb,96,9942030,6
10,樹德 高櫃椅ch-45,1,17346009,10
10,鬼滅之刃文具,29,12177270,7
10,滾筒洗衣機,1073,4373501,3
10,火影忍者 4,1,17382679,10
10,雙臂檯燈,98,9887985,6
10,筆記型電腦acer,33,11936613,7
10,三層推車,828,4952015,3
10,資生堂 revital,2,16436625,10
10,籃球鞋 男,888,4801719,3
10,藥包,69,10592556,7
10,安全門欄,203,8322773,5
10,舒潔,6402,1249006,1
10,家用印表機,6,14779586,9
10,電池 3號 60,1,17107723,10
10,幼幼口罩,1320,3916431,3
10,馬賽克貼紙,12,13758662,8
10,jins 寶可夢,130,9294706,6
10,電腦麥克風,886,4807041,3
10,hdmi 1.4,41,11556278,7
10,溫泉粉,400,6648750,4
10,dyson吹風機,2455,2682687,2
10,mag274qrf,98,9887005,6
10,ddr5,1522,3630900,3
10,《馬玉山》100%有機純黑芝麻粉400g%28鐵罐%29,13,13573210,8
10,seagate【barracuda】新梭魚 %28st2000dm008%29 2tb/7200轉/256mb/3.5吋/3y,13,13575095,8
10,衛浴帳,49,11238500,7
10,角鋼架,608,5672070,4
10,insta go 2,23,12571065,8
10,apple pencil,3915,1914505,2
10,mag artymis 274cp,11,13873256,8
10,菜瓜布,3108,2250299,2
10,switch 遊戲片,340,7054606,5
10,apple homepod mini,191,8454624,5
10,g15,395,6684099,4
10,seiko,2619,2555768,2
10,螢幕擦拭,117,9525054,6
10,大浴巾,2551,2612708,2
10,牛肉麵,916,4728575,3
10,瑞士刀,1787,3283706,2
10,buddyrider,18,13027874,8
10,老協珍,3437,2081579,2
10,ga401,165,8788196,6
10,電熱水器,12056,521396,1
10,十層鞋櫃,120,9467076,6
10,菜罩,405,6616976,4
10,機車行車記錄器雙鏡頭,74,10466216,6
10,toshiba 硬碟 2tb,35,11872253,7
10,干貝醬,427,6486644,4
10,靜電貼,885,4810584,3
10,air force 1,1320,3917751,3
10,感應燈,4150,1821779,2
10,指險套,322,7178454,5
10,葉黃素美國,83,10216743,6
10,b660-a,31,12070771,7
10,書法字帖,254,7790994,5
10,迷你冷氣,32,12024088,7
10,易控王 hdmi 10米,5,15156416,9
10,行李袋 nike,22,12634343,8
10,蝦醬,145,9056892,6
10,一體錶帶,57,10942373,7
10,咖啡秤,153,8943306,6
10,薄荷油除蟲,4,15245075,9
10,可換軸鍵盤,39,11666615,7
10,主機架,1349,3880341,3
10,casio 手錶,2137,2910507,2
10,usb3.0 to typec,3,15775433,10
10,健力墊,19,12883979,8
10,岩鹽,75,10430000,6
10,恆溫熱水器,1341,3892444,3
10,安全剪刀,121,9455900,6
10,r9 筆電,13,13504245,8
10,0155791,5,15210211,9
10,維尼 杯,1,16883485,10
10,寫字墊,155,8916456,6
10,偏光鏡,66,10671660,7
10,桌遊,4356,1711024,1
10,窗簾,3147,2215895,2
10,標籤貼紙 a4,18,13056152,8
10,鳳梨酥,1732,3352255,2
10,紫苑草舒緩髮浴 600ml,14,13440937,8
10,新白金快易鍋,3,16010987,10
10,背包,2931,2361920,2
10,棒球帽,1136,4267682,3
10,microscope,14,13449295,8
10,壁掛鏡,164,8800189,6
10,flip3,287,7441206,5
10,燈座,1434,3759391,3
10,muji 無印良品】pp上蓋可選式垃圾桶/大/30l袋用,4,15283895,9
10,小米 手機,38,11699469,7
10,微動,39,11647895,7
10,totolink 路由器,9,14134281,9
10,magsafe 充電器,635,5568926,4
10,葉，肥皂架,1,17110571,10
10,車麗屋機油,3,15727772,9
10,usb音效卡,406,6612923,4
10,cetaphil 舒特膚ha玻尿酸精華露,6,14920916,9
10,nb c1-t,4,15259547,9
10,philips 充電器,30,12130382,7
10,廚下飲水機,1998,3055428,2
10,恐龍玩具,454,6349846,4
10,象印 玻璃,16,13220459,8
10,登山錶,412,6577325,4
10,暖暖包,8790,872204,1
10,名片盒,808,4996980,3
10,兒童口罩韓國,34,11924442,7
10,2cr5,46,11365599,7
10,電腦支架,631,5586641,4
10,白金牌 3776,24,12498170,8
10,過年裝飾,1803,3269339,2
10,防撞護角,27,12308087,8
10,jtlegend apple watch,11,13835075,8
10,pet cleaner,2,16490475,10
10,月相計時,2,16218995,10
10,室內增高拖鞋,6,14777282,9
10,沙發清潔劑,152,8963462,6
10,keyway,767,5103105,3
10,浴室收納,548,5919971,4
10,hp 7720,12,13629686,8
10,nivea沐浴,2,16665745,10
10,%28c,33,11972286,7
10,貴賓狗,2,16437865,10
10,礦泉水,1887,3164001,2
10,吸塵器塵蟎,7,14512885,9
10,neogence,55,11008167,7
10,白色馬克杯,18,12986078,8
10,香氛機,1457,3726163,3
10,雙聲道喇叭,6,14968886,9
10,熱縮套管,673,5424511,4
10,汪喵星球,227,8065473,5
10,球鞋 男,754,5145655,3
10,桌子,2404,2731194,2
10,手動衝擊起子,10,13948868,8
10,garmin jr,6,14963336,9
10,雜糧,11,13894992,8
10,兒童增高墊,1163,4217030,3
10,b550,109,9660828,6
10,3m 布沙發,4,15420375,9
10,dhc q10,40,11590253,7
10,穿鞋椅鞋櫃,376,6804655,4
10,usb 2.0 3.0 hub,6,14757824,9
10,arctis 9,31,12079234,7
10,膳食纖維,405,6618596,4
10,adidas 男鞋,1780,3292626,2
10,萬巒豬腳,1704,3386591,2
10,zmo,751,5153172,3
10,吸管 水瓶,8,14333671,9
10,資生堂柔膚露,3,15707048,9
10,長輩照護,1,17010517,10
10,軟殼外套,1382,3829825,3
10,彩色雷射印表機 無線,15,13334360,8
10,舞力全開,888,4803495,3
10,吹水機,158,8880334,6
10,簡報筆,4245,1779748,2
10,情侶鞋,349,6988819,4
10,sony wh-1000xm4,798,5017875,3
10,匠心口罩,1363,3865454,3
10,按摩椅,2201,2856370,2
10,裁紙器,115,9561999,6
10,事務機,1089,4338916,3
10,電腦椅,10019,704641,1
10,瀝水盤 廚房,73,10482106,6
10,同軸音源線,25,12463772,8
10,t6 max,265,7628218,5
10,飄移車,42,11516225,7
10,瓦斯暖爐,1010,4513497,3
10,空中英語教室,300,7334171,5
10,四門冰箱,500,6130144,4
10,波士頓大龍蝦,399,6658733,4
10,電子拉力秤,4,15347655,9
10,切片機,1282,3989369,3
10,拉桿旅行袋,122,9425406,6
10,年節 禮盒,126,9368358,6
10,電源線 hp,6,14908376,9
10,枸杞,763,5117633,3
10,dyson v8 電池,200,8354652,5
10,鋰鐵電池,552,5902365,4
10,nike童鞋,1229,4082215,3
10,jlab,1920,3135490,2
10,竹襪子,1,16941396,10
10,apple watch無線充電,4,15354807,9
10,天下一穴,861,4875162,3
10,montblanc explorer,14,13437577,8
10,鬆餅機,2013,3041411,2
10,雷射筆,3119,2240958,2
10,vlog 保護貼,5,15173451,9
10,雷謝印表機,1,17112728,10
10,probox 三洋電芯,4,15429283,9
10,dior香水禮盒,107,9708097,6
10,鐵三角耳機,1653,3453697,2
5,空氣 床墊,2,16266625,10
5,zippo打火機,1146,4253985,3
5,馬玉山,1278,3993206,3
5,螺肉,222,8124295,5
5,fenix手電筒,772,5083849,3
5,8g 3200 筆記,2,16773061,10
5,羅技g pro,45,11395283,7
5,黃 雙 被套,4,15253611,9
5,羽衣甘藍青汁,16,13247099,8
5,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
5,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
5,無印良品餐墊,6,14866868,9
5,微動,39,11647895,7
5,八寶粥,736,5205161,3
5,花架,1894,3156441,2
5,uag iphone 13,454,6350754,4
5,加熱杯墊,4313,1732698,1
5,cerave,839,4926195,3
5,b群發泡錠,4,15390703,9
5,加長褲襪,29,12175704,7
5,新自然輸入法v12 windows 專業版,1,17464412,10
5,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
5,手機三合一充電線,15,13319840,8
5,mj-e195hm,156,8903857,6
5,adidas,3429,2085008,2
5,無痕雙面膠帶,32,12037240,7
5,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
5,幫寶適,4456,1684531,1
5,洗脫烘,1383,3828443,3
5,尚朋堂,167,8755675,6
5,防噪音耳塞,150,8992592,6
5,麥多多mcdodo gan氮化鎵65w,68,10622366,7
5,scosche,214,8197208,5
5,鈦餐具,413,6573202,4
5,ipad懶人支架,272,7557493,5
5,aukey 行動電源,357,6931274,4
5,標籤機brother 300,4,15352535,9
5,妙潔,730,5222014,3
5,l11s6y01,4,15524355,9
5,杏壽郎,9,14220492,9
5,yeezy,171,8707396,5
5,小米9充電線,1,17205174,10
5,n95,6773,1150744,1
5,台灣gmp工廠製造75%,10,13961708,8
5,耳機架,1539,3609462,3
5,discovery,199,8370597,5
5,聖誕裝飾,4727,1597043,1
5,mp4,355,6941598,4
5,濾水架,11,13844227,8
5,急救箱,308,7276353,5
