group,key_word,count,cum_count,segment
12,折疊伸縮風扇,2,16451417,10
12,a4000,61,10833292,7
12,坐墊,2096,2965511,2
12,復古包,15,13359560,8
12,3m無痕掛勾,2477,2660490,2
12,洗澡椅,979,4575064,3
12,止鼾器,2795,2442160,2
12,簡報筆 羅技,233,8009310,5
12,美麗諾羊毛領巾,4,15586255,9
12,腳踏墊,1913,3139322,2
12,遠紅外線,661,5467189,4
12,防水鞋 男,159,8855607,6
12,被套,1855,3208973,2
12,ninestars,503,6115604,4
12,吐司模,355,6944793,4
12,防水背包,1101,4320304,3
12,怡客咖啡,4,15444967,9
12,l型沙發180-230cm,75,10436600,6
12,清秀佳人,102,9806543,6
12,3.5連接線,6,14923454,9
12,音效卡,2158,2886885,2
12,史努比 禮盒,4,15411751,9
12,金格食品電子票券,18,12988310,8
12,壁掛勾,40,11603013,7
12,雙頭龍,1310,3940120,3
12,多口袋背心,360,6902960,4
12,溫度計,1607,3507317,3
12,連帽浴巾,216,8177428,5
12,【j-bedtime】台灣製加大四件式特級純棉鋪棉兩用被套床包組,95,9955937,6
12,技嘉,503,6114598,4
12,wf-100墨水,4,15362087,9
12,光碟機,2049,3004897,2
12,珍珠芭樂乾,22,12640987,8
12,電暖扇,1160,4226319,3
12,mr50g,13,13610585,8
12,黃 雙 被套,4,15253611,9
12,apple iphone 13  pro %28256g%29-銀色%28mlvf3ta/a%29,1,17009976,10
12,金士頓,340,7051206,5
12,冰霸杯,301,7329961,5
12,agf,701,5330604,4
12,窗型冷氣,345,7016963,5
12,學齡前數學,11,13789425,8
12,asus oled,175,8648728,5
12,usb 音效卡,236,7971320,5
12,監視器,7739,987203,1
12,天上天下陽具,42,11509673,7
12,sandisk extremepro,38,11682141,7
12,eac62218205,4,15675187,9
12,半指戴帽,4,15265583,9
12,三埠usb,1,17236578,10
12,貓抓墊,37,11727710,7
12,桐灰,104,9765268,6
12,hp事務機,76,10412838,6
12,吸水杯墊,247,7869492,5
12,藍芽接收器,6459,1216871,1
12,椅腳套,1579,3550353,3
12,mido,776,5079208,3
12,blue yeti,476,6242940,4
12,伊萊克斯,1744,3336601,2
12,dyah68-a900a8jba,264,7635902,5
12,mammut鞋,47,11325995,7
12,兒童口罩,6779,1137198,1
12,家家酒玩具,133,9241877,6
12,鍋蓋 16,5,15081781,9
12,70-300,24,12528938,8
12,m.2,748,5162909,3
12,歐舒丹護手霜,763,5114581,3
12,水龍頭萬用接頭,499,6136135,4
12,黑口罩,2118,2940275,2
12,plus 迷你滾輪個人資料,1,17413102,10
12,airtag,2239,2820923,2
12,羽絨外套 女,909,4749555,3
12,運動外套,808,4994556,3
12,黑人牙膏,679,5398145,4
12,hp 15s,174,8670893,5
12,無痕內褲 男,18,13022312,8
12,toblerone,76,10403870,6
12,男生羽絨背心,28,12232189,7
12,拼圖,1878,3186595,2
12,麥當勞,4523,1675604,1
12,泡腳機 折疊,56,10977370,7
12,tb-8504f,73,10491888,7
12,床包 雙人加大法蘭絨,42,11536889,7
12,電動滑板車,1783,3290846,2
12,平板電腦包,105,9747276,6
12,thomas 玩具,5,15103991,9
12,muji 香氛,22,12655705,8
12,防水手套,2071,2988445,2
12,tn-2360黑色碳粉,5,15114941,9
12,厚底人字拖鞋,25,12477197,8
12,65w gan,129,9305091,6
12,root co.,69,10582827,7
12,nas,6006,1291914,1
12,快充頭,1014,4498316,3
12,x25 mesh,3,16052012,10
12,外接式軟碟機,5,15120356,9
12,qled,245,7892614,5
12,小書痴的下剋上,74,10456300,6
12,路由器,5653,1372570,1
12,三星8吋平板,30,12143042,7
12,開運地墊,96,9942318,6
12,牛排刀,552,5904021,4
12,中衛,8770,880974,1
12,pixel 4a 4g 手機殼,4,15398399,9
12,頸椎牽引,271,7575697,5
12,plarail,213,8209814,5
12,realme gt neo2,1992,3059413,2
12,芙婷寶,56,10984706,7
12,kanto yu2,38,11682635,7
12,遙控車,1552,3587838,3
12,5v2a,276,7530638,5
12,kx-tg3411,68,10607542,7
12,乖乖,2234,2823157,2
12,羊毛被,1011,4509455,3
12,【全植媽媽】洗衣液體皂 橙花香-1800gx6瓶,2,16786123,10
12,藍芽音源發射器,724,5240922,3
12,護眼檯燈,1028,4466684,3
12,iphone電視轉接線,10,13960138,8
12,kt餐具,4,15514679,9
