group,key_word,count,cum_count,segment
29,立強regina有耳三孔圓夾,13,13590110,8
29,公共政策,15,13299890,8
29,prgr 02,1,17394732,10
29,美津濃女款慢跑鞋,12,13684826,8
29,後背包+側背包,93,9992421,6
29,alpecin,607,5675714,4
29,老爹鞋,2435,2697321,2
29,吉利蓮巧克力,30,12111602,7
29,蠟燭燈,1333,3905817,3
29,wifi,1621,3481526,2
29,switch minecraft,100,9855318,6
29,tn-2480,132,9256725,6
29,釣魚線,49,11220468,7
29,gf63 thin 11sc-066,117,9526926,6
29,光軸機械鍵盤,704,5317961,4
29,特福,1828,3240287,2
29,abel板夾,15,13354595,8
29,辛拉麵,1469,3707148,3
29,車用吸塵器,1749,3326127,2
29,5人份電鍋,16,13162395,8
29,打孔機 打洞機,45,11382233,7
29,廚房紙巾,4943,1529580,1
29,皮筆筒,15,13368380,8
29,巴黎世家機車包,59,10883662,7
29,ipad9 保護殼,225,8091041,5
29,樂扣樂扣 韓風,1,17343310,10
29,yamaha,825,4956973,3
29,史丹利 ss30,1,17275830,10
29,即享 遠東,3,16024682,10
29,ezcast無線投影套組,1,16861029,10
29,男 襯衫,87,10123462,6
29,吸濕排汗衣,96,9945006,6
29,switch 手把,3213,2177730,2
29,無敵霜,365,6873229,4
29,克里奇義大利蕃茄,1,17230559,10
29,桌上型記憶體,34,11922028,7
29,護貝機,1741,3343569,2
29,hp envy x360,198,8372578,5
29,摺疊躺椅,140,9141434,6
29,medicom 麥迪康 - vitals™ true fit thin 藍色無粉丁腈手套-l,4,15308863,9
29,禮盒,9187,809911,1
29,dod rx900,31,12092657,7
29,同軸光纖,88,10102542,6
29,"手機包,斜背包",384,6752982,4
29,女僕裝,792,5033766,3
29,吸水器,19,12949339,8
29,三星無線充電板,15,13289990,8
29,汽車胎壓偵測器,39,11638964,7
29,紅茶花伝,141,9125592,6
29,canon crg-051,16,13187899,8
29,耳機架,1539,3609462,3
29,矽膠鏟,131,9280901,6
29,電動打蛋器,411,6582265,4
29,博世工具箱,9,14166663,9
29,個人沙發椅,10,14058028,9
29,vivobook 13 slate,300,7342871,5
29,muji,1836,3229296,2
29,聲寶es-n15dp,1,17071587,10
29,國王機械錶,87,10137643,6
29,電鍋,3506,2036519,2
29,i7 3050 16g,1,16922448,10
29,竹葉貢糖,14,13394163,8
29,單柄琺瑯鍋,6,14853776,9
29,家而適,489,6186017,4
29,jordan 11,283,7467745,5
29,土魠魚,404,6619810,4
29,保暖背心 男,95,9967812,6
29,nokia,1908,3143139,2
29,logitech,1368,3854544,3
29,hdmi 2.1 8k,4,15437975,9
29,隨身碟 1tb,367,6860052,4
29,usb,1583,3547194,3
29,卸妝巾,77,10380149,6
29,一房一廳,1005,4522569,3
29,【yamazaki】tosca儲物二合一收納組,6,14729894,9
29,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
29,電熱毯 雙人,809,4993748,3
29,小米手環4錶帶,3142,2222180,2
29,金田一少年之事件簿,113,9585389,6
29,uv128,32,11995192,7
29,藍牙耳機,1974,3077255,2
29,黑松生技,109,9675434,6
29,無線拖地機,25,12455897,8
29,免治馬桶座,1205,4124788,3
29,6641 black,2,16787055,10
29,吹塵器,359,6914825,4
29,手機遙控開關,185,8528169,5
29,冷壓黑麻油,25,12438247,8
