group,key_word,count,cum_count,segment
30,有線滑鼠,1069,4378852,3
30,自帶杓耐高溫玻璃密封不鏽鋼調味罐,18,13023500,8
30,視訊鏡頭,1370,3849069,3
30,條碼機,228,8063197,5
30,無線開關,472,6262852,4
30,紙巾架,424,6510048,4
30,兒童玩具,753,5147161,3
30,inchargex,173,8684916,5
30,邊櫃,900,4775785,3
30,中衛兒童口罩,220,8139086,5
30,瓦斯噴槍,579,5798372,4
30,牙刷架,2782,2453309,2
30,護唇膏,1612,3494448,2
30,飛行夾克,782,5059737,3
30,samsung,2561,2607600,2
30,黃金手鍊,401,6641543,4
30,綠聯,1407,3799168,3
30,豆皮,189,8487257,5
30,lsu43aco,2,16613095,10
30,開檔絲襪,528,6002233,4
30,3090 顯示卡,287,7441493,5
30,嬌聯,40,11629413,7
30,烘鞋器,472,6262380,4
30,m.2 散熱,155,8911651,6
30,ddr4-3200 8g,10,13980548,8
30,男側背包,666,5449945,4
30,琴音壺,37,11772850,7
30,16v nb變壓器,2,16793801,10
30,驅鼠器,311,7259654,5
30,對開冰箱,1187,4158255,3
30,三角置物架,557,5880180,4
30,asus tuf gaming,168,8739923,5
30,adidas後背包,1175,4191334,3
30,助行器,689,5368064,4
30,單邊鑽石耳環,10,13927108,8
30,(女款)adidas＊featherlegging＊緊身褲(黑),4,15326299,9
30,挖胎棒,94,9975246,6
30,hdmi 線,125,9376141,6
30,pcie轉m.2,13,13503803,8
30,type c,852,4899987,3
30,擴香,1491,3680549,3
30,木箱鼓,394,6685677,4
30,阿爾,544,5937982,4
30,廚下加熱器,429,6478941,4
30,太陽眼鏡,986,4556397,3
30,sony 索尼 wf-c500 真無線藍牙耳機,1,17205373,10
30,無糖養氣人蔘,52,11108589,7
30,moleskine,263,7650941,5
30,飛機杯,7489,1002399,1
30,mpg341cqr,291,7415501,5
30,蔡司 zeiss 專業光學防霧噴霧組,23,12618399,8
30,rolex,803,5008258,3
30,飛利浦 浴室,7,14510365,9
30,switch遊戲,1686,3411982,2
30,血壓手環,51,11169084,7
30,護目鏡 24吋,3,15993794,10
30,聲寶冰箱,347,7009701,5
30,anex,115,9564874,6
30,針織外套,170,8711324,5
30,dcaa3b-a900a3mtf,2,16516475,10
30,抓寶神器,203,8321758,5
30,wacom intuos medium 藍芽,4,15496683,9
30,角落生物娃娃,167,8757512,6
30,洗髮精,2972,2326510,2
30,美國預付卡,407,6606420,4
30,canon+16-35+f2.8,15,13272200,8
30,工業風客廳桌,2,16312879,10
30,電視萬用遙控器,9,14152821,9
30,保暖脖圍,62,10788502,7
30,3c收納包,831,4943718,3
30,準系統,1541,3604844,3
30,蕾絲,105,9738771,6
30,台中針孔攝影機,82,10251120,6
30,jovegold漾金飾 福氣多多彌月黃金紅繩手鍊,2,16646667,10
30,gtx 1660,204,8314628,5
30,香薰機,444,6395193,4
30,控油抗屑洗髮精%28升級版%29,1,17403997,10
30,背光鍵盤 橘,4,15512795,9
30,拐杖,693,5350795,4
30,有線鍵盤,840,4925356,3
30,陶瓷保溫杯,3257,2155093,2
30,可可粉,832,4941224,3
30,水洗 被,76,10399006,6
30,philips 飛利浦 243v5qhsba,1,17403816,10
30,type-c hub,376,6802775,4
30,單筒望遠鏡,569,5838551,4
30,rtx3090,861,4876023,3
30,兒童相機,3803,1945174,2
30,pixel 6 貼,8,14376911,9
30,漏斗,712,5282557,4
30,炒菜鍋鍋,11,13833788,8
30,香水,1648,3460293,2
30,灌籃高手完全版,98,9891709,6
30,吸水地墊,677,5405606,4
30,w2090a,70,10550041,7
30,馬桶扶手,662,5462559,4
30,芭比娃娃,963,4624555,3
30,智慧插座,1471,3701267,3
30,重複飛機杯,12,13729742,8
30,30w燈管,13,13546651,8
30,淨麗洗碗精,9,14210736,9
30,習慣力,12,13673846,8
30,jbubu,38,11717747,7
30,k380+m350,20,12870066,8
30,快煮鍋,4220,1800897,2
30,烤盤,1906,3145045,2
30,6490,8,14270863,9
30,蒟蒻,761,5120681,3
30,門縫,344,7025920,5
30,崁燈,1719,3367768,2
30,矽膠折疊杯,29,12173036,7
30,標籤機brother 300,4,15352535,9
30,b9450fa,289,7427089,5
30,vornado,305,7304515,5
30,羽絨外套,6124,1273742,1
30,兒童聖誕禮物,2068,2990513,2
30,衛生紙,26615,153182,1
30,畚箕組,39,11642669,7
30,保險箱,2599,2581824,2
30,除濕機,23281,200290,1
30,apple watch 7保護殼,1615,3489612,2
30,乾燥花,271,7570548,5
30,方塊積木,33,11942157,7
30,洗地機,825,4957798,3
30,國際牌吸塵器,197,8385820,5
30,單人床墊,4008,1874881,2
30,白色五層免螺絲角鋼架 105x45x180公分,4,15476911,9
30,立得清,913,4737711,3
30,dyarfl-a900abaf8,259,7712005,5
30,擴大器,113,9590474,6
30,來客報知器,367,6862621,4
30,蓋世特 延長線,73,10479989,6
30,雷蛇麥克風,119,9490225,6
30,dyah9x-a900a8khr,257,7741936,5
30,平版衛生紙,814,4982399,3
30,ks安全鞋,2,16594181,10
30,陶瓷電煮鍋,492,6170818,4
30,【快速】零度c平民棉睡袋,241,7926894,5
30,尼龍包托特包,5,15074206,9
30,電線收納盒,937,4678620,3
30,奧利塔玄米油,102,9800117,6
30,type c 3m,30,12100832,7
30,優觸系列超薄支架保護套,1,17211654,10
30,葵瓜子,419,6540374,4
30,藍光播放機,591,5742242,4
30,iphone 7plus 手機殼,133,9244271,6
30,檯燈 護眼,755,5138114,3
30,soodatek,185,8535569,5
30,英國潔橫掃油汙除油清潔劑1瓶,1,17046314,10
30,掃地機,374,6820414,4
30,thor+ 65w,55,11031047,7
30,妝品收納盒,16,13243915,8
30,iris,1198,4138003,3
30,be bio,35,11868473,7
30,褲襪,707,5302440,4
30,蘇打餅乾,983,4567221,3
30,工作手套橡膠,1,17168796,10
30,硬碟,4128,1834192,2
30,ipad,8425,915070,1
30,滴雞精,1301,3959673,3
30,usb公對公,75,10418600,6
30,金盞花,98,9894649,6
30,量子化,10,13949958,8
30,收納箱,5772,1321150,1
30,sigma+18-300mm+f3.5-6.3,6,14855624,9
30,紫外線燈,900,4776685,3
30,會計軟體,712,5281845,4
30,canon mx416,1,17096434,10
30,筆電支架包 16,6,14897384,9
30,ax86u,473,6258129,4
30,wd 黑標 p10 game drive 5tb 2.5吋電競行動硬碟,24,12553754,8
30,架 耐重 80高,1,17331421,10
30,捲髮器,340,7050866,5
30,boy雨傘,5,15147556,9
30,中繼器,155,8922036,6
30,數字 圖,4,15365755,9
30,iphone 13 保護殼,267,7609865,5
30,airpods 2,1615,3487997,2
30,運動鞋,1299,3963572,3
30,康寧不鏽鋼保鮮盒,5,15099146,9
30,tanita】輕巧電子體重計,4,15565967,9
30,自強,11,13889800,8
30,置衣籃,16,13164571,8
30,年節禮盒,3049,2293446,2
30,銀康,113,9599401,6
30,c310,358,6918766,4
30,卡啦姆久,31,12077250,7
30,防曬袖套 uv,23,12563567,8
30,鋼筆,2409,2726385,2
30,mk包 托特,21,12713167,8
30,鍵盤,8998,818909,1
30,全身鏡,2088,2975973,2
30,地墊,3407,2095271,2
30,益富,220,8141286,5
30,華米,892,4795494,3
30,lg+55型120hz+full+hd+led液晶電視%2855lv5500%29,12,13695434,8
30,排油煙機,529,5994305,4
30,pu輪組,3,15721814,9
30,usb micro type c,4,15639899,9
30,chefrun,13,13574718,8
5,空氣 床墊,2,16266625,10
5,zippo打火機,1146,4253985,3
5,馬玉山,1278,3993206,3
5,螺肉,222,8124295,5
5,fenix手電筒,772,5083849,3
5,8g 3200 筆記,2,16773061,10
5,羅技g pro,45,11395283,7
5,黃 雙 被套,4,15253611,9
5,羽衣甘藍青汁,16,13247099,8
5,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
5,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
5,無印良品餐墊,6,14866868,9
5,微動,39,11647895,7
5,八寶粥,736,5205161,3
5,花架,1894,3156441,2
5,uag iphone 13,454,6350754,4
5,加熱杯墊,4313,1732698,1
5,cerave,839,4926195,3
5,b群發泡錠,4,15390703,9
5,加長褲襪,29,12175704,7
5,新自然輸入法v12 windows 專業版,1,17464412,10
5,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
5,手機三合一充電線,15,13319840,8
5,mj-e195hm,156,8903857,6
5,adidas,3429,2085008,2
5,無痕雙面膠帶,32,12037240,7
5,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
5,幫寶適,4456,1684531,1
5,洗脫烘,1383,3828443,3
5,尚朋堂,167,8755675,6
5,防噪音耳塞,150,8992592,6
5,麥多多mcdodo gan氮化鎵65w,68,10622366,7
5,scosche,214,8197208,5
5,鈦餐具,413,6573202,4
5,ipad懶人支架,272,7557493,5
5,aukey 行動電源,357,6931274,4
5,標籤機brother 300,4,15352535,9
5,妙潔,730,5222014,3
5,l11s6y01,4,15524355,9
5,杏壽郎,9,14220492,9
5,yeezy,171,8707396,5
5,小米9充電線,1,17205174,10
5,n95,6773,1150744,1
5,台灣gmp工廠製造75%,10,13961708,8
5,耳機架,1539,3609462,3
5,discovery,199,8370597,5
5,聖誕裝飾,4727,1597043,1
5,mp4,355,6941598,4
5,濾水架,11,13844227,8
5,急救箱,308,7276353,5
