group,key_word,count,cum_count,segment
13,曬衣繩,786,5051114,3
13,tab s7皮套,35,11828048,7
13,零錢包,3428,2088436,2
13,阿華田,783,5057389,3
13,氣泡水,3532,2029485,2
13,南北貨禮盒,122,9422844,6
13,三洋洗衣機17公斤,21,12777196,8
13,妮兒,12,13744322,8
13,筷子,1422,3776529,3
13,浴室吸頂燈,725,5238749,3
13,reebok 男 鞋,377,6797875,4
13,iphone 5s,33,11949615,7
13,bath body works,249,7851895,5
13,防撞泡棉,384,6749910,4
13,castle 蓋世特 鋁合金電源突波保護插座%283孔/8座%29 蘋果白,4,15486371,9
13,無痕雙面膠帶,32,12037240,7
13,ac110v 轉 dc12v 15a 180瓦 車用點菸頭變壓器%28ac110v 轉 dc12v變壓器%29,1,17031970,10
13,ns switch 集合啦%21 動物森友會 動物之森 國際版封面 支援中文,6,14833514,9
13,nike,6768,1157512,1
13,pixel 3 皮套,1,17411204,10
13,多力多滋,1879,3184717,2
13,免鑽孔304不鏽鋼圓柱毛巾架,1,17228332,10
13,mac mini,2550,2615258,2
13,防滑 沙發墊,13,13535003,8
13,usb擴充台,1,17148342,10
13,惡之華,9,14136261,9
13,24吋螢幕,1038,4432600,3
13,眼鏡框,886,4805269,3
13,耳掛式耳麥,15,13317425,8
13,浴室置物架,2872,2405465,2
13,妙潔,730,5222014,3
13,短焦投影機,370,6840896,4
13,dyson sv18 digital slim fluffy extra 無線吸塵器%28紫色%29,49,11254180,7
13,ps4,2016,3037385,2
13,ps5主機,4253,1775503,2
13,零錢盒,384,6752214,4
13,藍光盾 46.9 抗藍光手機玻璃保護貼,5,15019421,9
13,jp33asct-w,82,10244560,6
13,機車測速,135,9217514,6
13,100mountain,16,13187515,8
13,薏米餅,1,17104589,10
13,畑中義和,32,12005816,7
13,microsoft 365,504,6106039,4
13,床單,1826,3245769,2
13,亞尼克,272,7566741,5
13,sunlus 三樂事暖,19,12900053,8
13,toeic,102,9808787,6
13,靠得住,1316,3930927,3
13,打掃用品收納櫃,12,13758002,8
13,gaming 3,376,6805407,4
13,foot rest,20,12796246,8
13,日用衛生棉,19,12904727,8
13,五角起子,6,14729876,9
13,逸湘齋,2429,2707044,2
13,fet 抗菌,6,14915912,9
13,強生chanson】電鍍啞鈴%2810kg,3,15835325,10
13,洗髮精 日本,58,10908235,7
13,夏普冰箱,43,11480058,7
13,五片 平口褲 男  三花,2,16103997,10
13,三洋冷凍櫃,2231,2825388,2
13,nike男鞋,3074,2281194,2
13,5240,4,15335139,9
13,廚房置物架,1855,3212683,2
13,2022 占星,1,16951803,10
13,60公分斗櫃,2,16776465,10
13,松木貓砂,48,11288544,7
13,尿布,4278,1758450,2
13,蒟蒻片,130,9286776,6
13,hawk g600 多功能數位雷射簡報器,7,14673864,9
13,孕婦枕,420,6531987,4
13,尿墊,106,9727889,6
13,飛利浦電動牙刷,1904,3148853,2
13,j5create 4 port,8,14317663,9
13,咖啡機,9657,763435,1
13,單包裝口罩,18,12996248,8
13,行動電源20000,1666,3437114,2
13,12l不鏽鋼垃圾桶,4,15606023,9
13,第一石鹼 馬桶清潔劑 500mlx2入,1,16935262,10
13,行李袋,2429,2704615,2
13,三洋空氣清淨機,82,10260058,6
13,烏魚子,5505,1400449,1
13,gtx1660,356,6934837,4
13,now 精油,213,8213009,5
13,電子黑板,172,8685088,5
13,無線耳機,2606,2571421,2
13,帝王蟹腳,44,11422934,7
13,乙醯半胱氨酸,2,16105639,10
13,電動清潔刷,2163,2882564,2
13,運動毛巾,2644,2537369,2
13,苦瓜胜肽,303,7316366,5
13,dyah2p-a900b147c,260,7690987,5
13,折疊桌,3315,2128830,2
13,a52s 5g,243,7907267,5
13,桌上收納架置物架,81,10275092,6
13,沙發套,2635,2540004,2
13,冷氣 panasonic,7,14543104,9
13,犀牛盾,1662,3442103,2
13,福忠字號,89,10090460,6
13,靠得住好眠褲,15,13346660,8
13,小米濾水壺濾芯,11,13819587,8
13,sandisk ultra 3d 4tb,1,17177998,10
13,落地燈,1237,4073592,3
13,sony,2926,2367777,2
13,展示櫃,1364,3860002,3
13,束帶,686,5377693,4
13,大同變頻洗衣機,6,14733752,9
13,超大 洗衣袋,3,15728969,9
13,開門特大摺疊收納箱,4,15593023,9
13,chenson真皮 17卡軟蓬蓬牛皮短夾,4,15432283,9
13,air max 270 react,64,10728237,7
13,micro sd 256,189,8478563,5
13,【iris ohyama】日本愛麗思圓角半透明組合收納櫃 qr-34pdt,4,15324559,9
13,電子鐘,1133,4272218,3
13,wd內接硬碟,5,15191701,9
13,hp f920x,7,14528838,9
13,mp4,355,6941598,4
13,義美 糖,31,12039399,7
13,希捷4tb,46,11360631,7
13,抹布,3023,2305566,2
13,桌球鞋,510,6084738,4
13,自動給皂機,1045,4422182,3
13,魅精靈,36,11794525,7
13,rj45轉接頭,97,9912471,6
13,威猛先生 浴室全效清潔劑加侖桶-除垢,2,16352531,10
13,沙發,4578,1657477,1
13,雨傘夾,32,12037464,7
13,g2000易處理雙色紗長袖上班襯衫-藍,1,16934592,10
13,錄音筆,4782,1578093,1
13,nr-b581t,17,13115793,8
13,米物,53,11103887,7
13,靠背枕,51,11164392,7
13,歐洲預付卡 32國28天,2,16234059,10
13,快穿輕量輪胎潮鞋,6,14737502,9
13,無線手持氣旋式吸塵器s330,1,17356976,10
13,純水濕紙巾,182,8572737,5
13,維大力,301,7331466,5
13,酒巧克力,1117,4300346,3
13,魔物獵人 崛起,220,8136666,5
13,體溫酒精噴霧機,15,13270895,8
13,禮盒 烏魚子,18,13017290,8
13,15cm崁燈,957,4634151,3
13,床架,2441,2685128,2
13,無印良品,4880,1539376,1
13,sistema,234,7990399,5
13,3歲玩具,41,11582723,7
13,盛香珍 禮盒,94,9977878,6
13,222t,61,10813040,7
13,電視盒,6661,1184242,1
13,行動卡拉ok ktv,9,14249553,9
13,米家掃地機器人塵盒濾網,16,13195627,8
13,衣架kary,4,15483483,9
13,茶葉,858,4884613,3
13,林內崁入式瓦斯爐,4,15240343,9
13,dc電風扇,235,7987113,5
13,poco,946,4658849,3
13,機械式鍵盤,5146,1469190,1
13,【十全】葡萄果醋飲料140ml 24入/箱(即飲果醋),1,17211716,10
13,ecoone kf94,1275,3998311,3
13,西莎蒸鮮包,94,9978912,6
13,情書,41,11580017,7
13,elpheco 垃圾桶,21,12751177,8
13,nabati siip金磚玉米棒,14,13414085,8
13,掛曆,714,5276854,4
13,dvi轉vga,190,8466818,5
13,亮博士 led,32,12037368,7
13,真人娃娃,966,4613943,3
13,switch 零,22,12694095,8
13,梯老闆,122,9432848,6
13,鑄鐵鍋,3331,2118869,2
13,hermes香水,13,13614264,8
13,電吉他,281,7483848,5
13,全實體矽膠娃娃,1,17224737,10
13,車用手機架,2484,2653057,2
13,吸水毛巾,4355,1719735,1
13,奈米樂,737,5202952,3
13,zippo,1422,3777951,3
13,elecom,1689,3405234,2
13,眼罩,3399,2105479,2
13,咖啡濾紙,1311,3938810,3
13,不倒翁,233,8006048,5
13,marshall emberton,580,5789681,4
13,香米,193,8432770,5
13,曾拌麵,1410,3793537,3
13,macbook pro 14,1722,3362607,2
13,靜音吹風機,581,5787358,4
13,yn1406ab,3,15968339,10
13,dd1,40,11600653,7
13,【居家生活easy buy】沙發置物收納架 電腦辦公桌收納架,1,17221926,10
13,九星文化,1,17235174,10
13,記憶體,1508,3649078,3
13,保溫便當盒,4291,1745596,1
13,佳德鳳梨酥,638,5555565,4
13,美津濃安全鞋,49,11224192,7
13,雷射事務機,119,9475707,6
13,樂高機器人,244,7905804,5
13,兒童書桌,993,4544524,3
13,【妙潔】防蠅抗臭清潔袋%28s-81張-12l%29,1,17220660,10
13,respro cinqro,25,12417997,8
13,泡麵碗,1991,3061404,2
13,喇叭,4711,1606474,1
3,舒酸定,1438,3755085,3
3,套筒,436,6436582,4
3,泡棉,119,9477373,6
3,smartist 高白影印紙a4 70g (5包/箱),12,13733198,8
3,毛拖鞋,687,5374947,4
3,磨豆機,3617,2004401,2
3,jordan1,234,7992973,5
3,asus電腦,44,11423462,7
3,分類垃圾桶,513,6072467,4
3,甩棍,88,10108790,6
3,casio 手錶,2137,2910507,2
3,canon mx416,1,17096434,10
3,音樂書,34,11873850,7
3,aka 90公分,2,16543717,10
3,審判之眼,98,9896217,6
3,電腦桌,18664,280611,1
3,ipad,8425,915070,1
3,茶水分離,462,6309084,4
3,小米耳機,2773,2458855,2
3,dyah5d-a900aerpq,256,7752986,5
3,nike jordan 女鞋,96,9942126,6
3,兒童口罩韓國,34,11924442,7
3,樹德 桌上櫃,1,17345998,10
3,浴室收納,548,5919971,4
3,關門器,445,6388521,4
3,遠紅外線 手套,11,13826715,8
3,轉角空間衣架,24,12511778,8
3,充電,388,6724817,4
3,apple watch 錶帶,3188,2196925,2
3,gshock,1024,4476938,3
3,65up8050psb,52,11131833,7
3,eqt,151,8979059,6
