group,key_word,count,cum_count,segment
18,ed273,91,10044269,6
18,kitchenaid,366,6863720,4
18,茶具,1115,4302577,3
18,dyson v11 收納架,10,13937498,8
18,殺菌燈管,125,9383266,6
18,王子麵 滷味,34,11899350,7
18,dyalgi-a900bqvae,10,13941668,8
18,補漆筆魅力灰,4,15495591,9
18,zenfone 7 pro 256g,1,17263988,10
18,抄經筆,34,11917438,7
18,舞力全開 2022,243,7914071,5
18,快充,322,7172014,5
18,旗袍,1094,4332373,3
18,chico成長型安全座椅,4,15438647,9
18,中衛口罩 csd,551,5908983,4
18,磁磚貼紙,22,12655727,8
18,wifi攝影機,861,4873440,3
18,暖風機,4813,1573311,1
18,電器櫃,1703,3388294,2
18,970evo plus 1tb,5,15110281,9
18,舒適牌刮鬍刀,126,9365208,6
18,透氣辦公椅 可後仰,4,15449855,9
18,小米 usb type-c,37,11756459,7
18,gigastone,646,5526024,4
18,音圓,110,9658749,6
18,音響麥克風,84,10211814,6
18,即溶咖啡,623,5616711,4
18,科學工廠,18,13010252,8
18,收納籃筐,2,16398039,10
18,tag carrera,1,17195011,10
18,微波爐,13483,421585,1
18,口罩,56859,56859,1
18,氣炸鍋 飛利浦,360,6905480,4
18,存錢筒,930,4693551,3
18,電動輔助自行,13,13565592,8
18,茄紅素,138,9169440,6
18,葡萄汁,198,8376142,5
18,克潮靈除濕集水袋,7,14539233,9
18,dp轉hdmi,2903,2388176,2
18,無線鍵盤滑鼠 羅技,14,13468979,8
18,iphone7+plus+皮套,128,9334523,6
18,1306e-r,14,13489307,8
18,皮手套,822,4966856,3
18,兒童 電動車,14,13433335,8
18,遠距離無線門鈴,13,13596636,8
18,casio,1757,3315606,2
18,kyrie 7,737,5201478,3
18,無線領夾麥克風,34,11899112,7
18,sony xperia 1iii,1031,4455358,3
18,康福茶,429,6477225,4
18,dji pocket 2,459,6327042,4
18,賓果遊戲卡,11,13899711,8
18,瀝油網,51,11153937,7
18,samsung galaxy s21 ultra 全屏滿版螢幕保護貼,2,16486403,10
18,娃娃鞋,129,9308574,6
18,車用 導航架,3,15713999,9
18,起子接頭,37,11773146,7
18,ok積木,38,11721509,7
18,防消磁rfid不銹鋼名片夾,5,15128136,9
18,bouncia美肌滋潤沐浴乳,7,14614686,9
18,日本巧克力,55,11013777,7
18,噴壺噴霧器氣壓,10,13925338,8
18,掛鐘,2268,2793917,2
18,牛肉乾,1240,4069879,3
18,moft,1561,3567615,3
18,茶尋味,76,10410254,6
18,玻璃清潔劑,809,4991321,3
18,ep3246,89,10088324,6
18,花口罩,39,11653199,7
18,睡衣,1943,3100740,2
18,健達,243,7910426,5
18,bluesound node,22,12636389,8
18,fila,758,5129039,3
18,asus 桌機 i7,22,12690113,8
18,吐司機,336,7074876,5
18,bosch,1523,3629378,3
18,yoimono living 土,4,15480915,9
18,304不鏽鋼炒鍋,155,8913976,6
18,無作業系統,154,8937926,6
18,ultraboost,1690,3401856,2
18,奇異果女孩,3,15719270,9
18,adidas外套,962,4625517,3
18,太陽能行動電源,684,5381800,4
18,大友崁燈,2,16079661,10
18,安博機上盒,38,11711743,7
18,led燈具,754,5141885,3
18,床架 佐野,1,17185923,10
18,花架,1894,3156441,2
18,十字扳手,18,13002224,8
18,雙人薄被套,66,10688688,7
18,耳罩式藍芽耳機,343,7027980,5
18,巧克力禮盒,475,6252446,4
18,x80j,107,9709595,6
18,無線打蠟機,851,4900838,3
18,徠本洗車機,8,14460903,9
18,30孔打孔機,5,15156706,9
18,台糖,191,8451759,5
18,獎狀框a4,378,6790700,4
18,電視壁掛架,878,4827336,3
18,玄米茶,390,6717428,4
18,coach,4538,1666554,1
18,球鞋,864,4863947,3
18,楓康 蘆薈 手套,5,14993656,9
18,tomica,2207,2847555,2
18,立體口罩醫療口罩,495,6158489,4
18,防護衣,1180,4180739,3
18,性感睡衣,1834,3234800,2
18,車用中控防滑墊,1,16986255,10
18,k71m,355,6945148,4
18,4xs 公路車,1,17059363,10
18,jbl,1375,3839467,3
18,ipad mini 6,5684,1355584,1
18,聖誕裝飾,4727,1597043,1
18,carplay android auto,7,14519773,9
18,製冰機,1292,3973926,3
18,四段調溫‧空氣感直髮陶瓷離子夾,45,11412293,7
18,米家掃拖機器人,282,7479619,5
18,osram h4,48,11284176,7
18,麂皮清潔刷組,110,9658639,6
18,金盞花化妝水,185,8531684,5
18,電暖器 腳邊,4,15339647,9
18,3d列印筆,393,6695910,4
18,克潮靈,2037,3017146,2
18,鍵盤保護膜,680,5393386,4
18,lightning hdmi 4k,14,13485247,8
18,電子秤0.01g,214,8196780,5
18,御茶園,546,5928721,4
18,曲面螢幕 g9,2,16403863,10
18,卡西歐手錶,472,6260964,4
18,z690,951,4644637,3
18,asus筆電,3136,2225316,2
18,露營椅子,38,11722079,7
18,正韓食,5,15066066,9
18,螺肉,222,8124295,5
18,kf94 醫療口罩,1899,3152651,2
18,橙花,17,13145339,8
18,qubii備份豆腐,734,5210303,3
18,adidas nizza,14,13429583,8
18,車用電源供應器,32,12007640,7
18,汽車坐墊,681,5387942,4
18,掃地機手推,59,10870977,7
18,鈣鎂鋅錠,3,15781331,10
18,瑞典kockums考庫姆,3,15918221,10
18,windows 11,1074,4369209,3
18,高耐燃1開8插尿素安全防雷擊延長線,31,12064230,7
18,"【日本ariel】新升級3d超濃縮抗菌洗衣球 32顆袋裝 x3%28經典抗菌型/室內晾衣型%29""",1,17216997,10
18,樂事,2028,3021204,2
18,無印良品女裝,1167,4206553,3
18,240gb,105,9758196,6
18,華碩平板電腦,61,10829937,7
18,蛋捲,2492,2648087,2
18,貝親奶嘴 境內,4,15409071,9
18,萊威,12,13652666,8
18,3m膠條,89,10092240,6
18,10n64,2,16833257,10
18,lyco-max力可仕,1,17302762,10
18,藍芽耳機 edifier,4,15282871,9
18,gtx1650,886,4809699,3
18,pa246,1,17463238,10
18,水冷排,77,10381766,6
18,隨身硬碟,1959,3089029,2
18,ulanzi,1065,4388457,3
18,吸頂燈 led,133,9240547,6
18,300米限量機械錶%28sla019j1,18,12973370,8
18,oral-b 電動牙刷,860,4878603,3
18,羅技f310,233,8001854,5
18,藍晶／雨霖（繪）,53,11073412,7
18,iphone 11 pro 保護貼,11,13854908,8
18,ssd,8397,923467,1
18,msi 3060ti,27,12288728,8
18,插電式除毛球機,30,12102032,7
18,cosplay,470,6270854,4
18,yamaha 聲卡ur12,1,17265362,10
18,四核手機ghzmtkmtk,1,17153312,10
18,chakram,12,13670810,8
18,jordan,1753,3322626,2
18,黑晶爐,1015,4495272,3
18,soto,935,4681427,3
18,兒童教具,5,15040466,9
18,舒潔 衛生紙,346,7010393,5
18,愛馬仕項鍊,11,13901933,8
18,枇杷膏,668,5441943,4
18,印加果,109,9671292,6
18,高血壓,8,14481287,9
18,內衣洗衣袋,355,6946923,4
18,電腦椅皮,17,13135734,8
18,6吋手機,284,7463771,5
18,g-5900s,9,14138601,9
18,強化浴簾桿,6,14706050,9
18,目擊者之夜,12,13639646,8
18,4號電池,786,5051900,3
18,捕蚊燈,2895,2391071,2
18,irocks 6260,3,15992105,10
18,私密生活 動漫系5d名器,3,15702434,9
18,藍芽滑鼠,1811,3262118,2
18,隨身文具,4,15636631,9
18,snowpeak燭燈,3,15778847,10
18,丁字褲,812,4987273,3
18,展示玻璃櫃,836,4932055,3
18,安全帶,129,9316443,6
3,舒酸定,1438,3755085,3
3,套筒,436,6436582,4
3,泡棉,119,9477373,6
3,smartist 高白影印紙a4 70g (5包/箱),12,13733198,8
3,毛拖鞋,687,5374947,4
3,磨豆機,3617,2004401,2
3,jordan1,234,7992973,5
3,asus電腦,44,11423462,7
3,分類垃圾桶,513,6072467,4
3,甩棍,88,10108790,6
3,casio 手錶,2137,2910507,2
3,canon mx416,1,17096434,10
3,音樂書,34,11873850,7
3,aka 90公分,2,16543717,10
3,審判之眼,98,9896217,6
3,電腦桌,18664,280611,1
3,ipad,8425,915070,1
3,茶水分離,462,6309084,4
3,小米耳機,2773,2458855,2
3,dyah5d-a900aerpq,256,7752986,5
3,nike jordan 女鞋,96,9942126,6
3,兒童口罩韓國,34,11924442,7
3,樹德 桌上櫃,1,17345998,10
3,浴室收納,548,5919971,4
3,關門器,445,6388521,4
3,遠紅外線 手套,11,13826715,8
3,轉角空間衣架,24,12511778,8
3,充電,388,6724817,4
3,apple watch 錶帶,3188,2196925,2
3,gshock,1024,4476938,3
3,65up8050psb,52,11131833,7
3,eqt,151,8979059,6
3,刮鬍刀,4858,1558855,1
3,zenfone 7 pro 256g,1,17263988,10
3,超音波眼鏡清洗機,11,13907532,8
3,s20 fe,2768,2464395,2
3,天梭tissot seastar 1000,28,12228941,7
3,羽絨外套,6124,1273742,1
3,電動牙刷架,173,8675228,5
3,瓦斯爐,2745,2478175,2
3,紫外線烘鞋機,94,9979288,6
3,瞬熱式開飲機,19,12882421,8
3,琣伯莉,154,8941160,6
3,洗澡椅,979,4575064,3
3,密保諾,133,9240946,6
3,小米 打氣機,95,9950142,6
3,dyson 濕拖,1,16873062,10
3,韓國去角質,6,14916146,9
3,馬油,1082,4354115,3
3,收納線材,14,13396109,8
