group,key_word,count,cum_count,segment
14,marshall emberton,580,5789681,4
14,香米,193,8432770,5
14,曾拌麵,1410,3793537,3
14,macbook pro 14,1722,3362607,2
14,靜音吹風機,581,5787358,4
14,yn1406ab,3,15968339,10
14,dd1,40,11600653,7
14,【居家生活easy buy】沙發置物收納架 電腦辦公桌收納架,1,17221926,10
14,九星文化,1,17235174,10
14,記憶體,1508,3649078,3
14,保溫便當盒,4291,1745596,1
14,佳德鳳梨酥,638,5555565,4
14,美津濃安全鞋,49,11224192,7
14,雷射事務機,119,9475707,6
14,樂高機器人,244,7905804,5
14,兒童書桌,993,4544524,3
14,【妙潔】防蠅抗臭清潔袋%28s-81張-12l%29,1,17220660,10
14,respro cinqro,25,12417997,8
14,泡麵碗,1991,3061404,2
14,喇叭,4711,1606474,1
14,jvc全罩耳機,2,16645391,10
14,拉拉褲xxl,70,10547451,7
14,6970,5,15123141,9
14,悠遊卡,3607,2011623,2
14,機械錶,3486,2050489,2
14,ew3880r螢幕 benq,2,16696871,10
14,沉水馬達,1124,4289144,3
14,運動鞋 男,622,5618578,4
14,職業安全衛生,8,14264239,9
14,快速接頭,27,12287459,8
14,2021 office,12,13757714,8
14,韓國去角質,6,14916146,9
14,保溫杯墊,3684,1982518,2
14,捕蚊,375,6814046,4
14,內徑倒角修邊刀 毛邊刀 刮刀 # k550823,4,15683063,9
14,小型吸塵器,367,6859318,4
14,小米11pro,12,13749854,8
14,口水巾,6427,1236178,1
14,4g無線路由器,1352,3874939,3
14,升降桌,4238,1783986,2
14,ol制服,78,10363463,6
14,冷凍櫃,7283,1046627,1
14,創意簡約多功能衣帽架,32,11984664,7
14,可調式尿道擴張器,112,9608399,6
14,porter,2607,2566208,2
14,rh-9035s,7,14621028,9
14,布口罩,2276,2787107,2
14,矽膠耳塞,396,6675406,4
14,恆溫杯,95,9952327,6
14,px大通 uac3x-1b usb3.1 gen2 a-to-usb-c type-c 1m閃充快充1米充電傳輸線黑,7,14545449,9
14,organic,6,14693948,9
14,6尺床墊,11,13894816,8
14,dyagh6-a900alw6n,258,7732669,5
14,led投射燈,509,6089833,4
14,tescom,558,5877949,4
14,yoga,105,9742341,6
14,無線手把,259,7710451,5
14,under armour,2053,3000799,2
14,觸控筆,1935,3116255,2
14,benro if19,6,14932688,9
14,博寶兒,170,8712174,5
14,macro wave ar3215,1,17308597,10
14,可安 醫療口罩,44,11415014,7
14,老花眼鏡,1492,3674582,3
14,魔鬼氈,750,5156173,3
14,創見 行車記錄器,2,16172349,10
14,按摩器,461,6315087,4
14,檯燈放大鏡,252,7823610,5
14,三段式可調整腳踏墊,1,17235365,10
14,無線吸塵器,3301,2135437,2
14,無線教學麥克風,29,12165061,7
14,計步器,728,5229307,3
14,卡式瓦斯罐%28,1,17290932,10
14,車麗屋,130,9294966,6
14,mj-e195hm,156,8903857,6
14,麥克風轉接線 ＵＳＢ,1,16913242,10
14,奧米丸,3,15724346,9
14,pg 5,101,9837779,6
14,usb外接式光碟機,10,13933498,8
14,dw5600,132,9259101,6
14,axc-165,2,16576645,10
14,asus rog,292,7402960,5
14,羅技鍵盤,1982,3069347,2
14,g15-5511-r2868setw11,18,13026254,8
14,天梭,399,6654743,4
14,caire,6,14917832,9
14,電動牙刷架,173,8675228,5
14,家樂福 即享券,3215,2174517,2
14,透明除氯蓮蓬頭,6,14877812,9
14,大王attento,35,11850973,7
14,55吋顯示器,336,7072860,5
14,手持 uvc,6,14809442,9
14,尿布台,143,9098244,6
14,印刷,7,14486250,9
14,gogoro 配件,324,7163942,5
14,3人份電鍋,852,4899135,3
14,藍芽發射器,3117,2244075,2
14,保暖褲,1378,3833960,3
14,舒潔 喀什米爾四層抽取衛生紙,86,10164734,6
14,神奇柑仔店,256,7762714,5
14,聖誕,1687,3410296,2
14,p1102w 碳粉匣,67,10652749,7
14,dyson v8電池 sv10,1,16873847,10
14,飛利浦h4,150,8997242,6
14,手提旅行袋,712,5286829,4
14,1500/法蘭絨,2,16748409,10
14,手機背帶,717,5268989,4
14,epraizer 無線耳機,2,16722903,10
14,鴛鴦鍋,7209,1061056,1
14,日立砂輪機,180,8596924,5
14,藍芽音響,1208,4118757,3
14,p3222qe,19,12898229,8
14,藍芽摺疊鍵盤 morelife,2,16223245,10
14,榮科 fuji,4,15353991,9
14,wacom,2486,2650573,2
14,止滑貼,104,9761940,6
14,枕心,114,9581179,6
14,新自然輸入法v12 windows 專業版,1,17464412,10
14,ao-515 hepa,4,15316143,9
14,ps4遊戲,992,4548495,3
14,暖手蛋,173,8676958,5
14,usb-micro+b,210,8246571,5
14,經典沐浴油 sabon,4,15318655,9
14,75吋電視,2120,2933921,2
14,【台北喜來登大飯店-十二廚自助餐廳】假日下午茶餐券,6,14702522,9
14,觸控電視,120,9468876,6
14,光泉全脂保久乳,21,12736162,8
14,全黑鞋女,42,11528069,7
14,蜜妮卸妝,68,10628622,7
14,304便當盒,157,8893064,6
14,國際牌除濕機,727,5232217,3
14,兒童雨衣,676,5412372,4
14,濾掛咖啡包,83,10224047,6
14,小米手環錶帶4,23,12577367,8
14,餐椅,1688,3406922,2
14,vive,372,6833099,4
14,靜電除塵刷,365,6875784,4
14,tfs-170g,3,15699803,9
14,t桖,31,12070337,7
14,自拍棒,3086,2268884,2
14,雨鞋,1252,4039973,3
14,教學喇叭,25,12430647,8
14,行動電源 快充,97,9915284,6
14,【 pulo 】 純棉純色隱形襪-6雙入,2,16764329,10
14,子母扣,400,6646750,4
14,和室椅,2206,2849761,2
14,床頭枕大靠墊,111,9636259,6
14,藍牙音樂播放器,278,7511802,5
14,蘇菲,891,4797277,3
14,g102,1696,3395089,2
14,razer筆電,38,11696733,7
14,ezcast twinx,93,10002744,6
14,燉鍋,499,6134139,4
14,迷你擴大機,418,6544555,4
14,3m即淨長效濾心,10,13953188,8
