group,key_word,count,cum_count,segment
19,愛馬仕項鍊,11,13901933,8
19,枇杷膏,668,5441943,4
19,印加果,109,9671292,6
19,高血壓,8,14481287,9
19,內衣洗衣袋,355,6946923,4
19,電腦椅皮,17,13135734,8
19,6吋手機,284,7463771,5
19,g-5900s,9,14138601,9
19,強化浴簾桿,6,14706050,9
19,目擊者之夜,12,13639646,8
19,4號電池,786,5051900,3
19,捕蚊燈,2895,2391071,2
19,irocks 6260,3,15992105,10
19,私密生活 動漫系5d名器,3,15702434,9
19,藍芽滑鼠,1811,3262118,2
19,隨身文具,4,15636631,9
19,snowpeak燭燈,3,15778847,10
19,丁字褲,812,4987273,3
19,展示玻璃櫃,836,4932055,3
19,安全帶,129,9316443,6
19,6t硬碟,18,13048250,8
19,堅果塔,250,7836928,5
19,保溫馬克杯,484,6204509,4
19,剝線鉗,783,5058172,3
19,史萊姆,535,5966614,4
19,魚缸,1051,4411706,3
19,貂油,99,9869939,6
19,雙星 毛巾,3,15699845,9
19,四海遊龍水餃,10,13929588,8
19,藍芽喇叭,7337,1039344,1
19,舒潔 金盞花,7,14569452,9
19,瑰柏翠護手霜,30,12121232,7
19,純金項鍊,16,13263643,8
19,高爾夫背心,58,10905741,7
19,longchamp大水餃,17,13093829,8
19,指針鐘,10,13940428,8
19,小學書包,324,7161998,5
19,s20 fe,2768,2464395,2
19,sam sung 50,2,16478369,10
19,助聽器,431,6463884,4
19,神明香,1,16967886,10
19,女外套,742,5181522,3
19,switch 節奏健身,17,13104012,8
19,石頭掃地機器人,923,4704680,3
19,電磁爐鍋,19,12924772,8
19,骨瓷內膽保溫杯,198,8372380,5
19,警用辣椒水,1726,3355713,2
19,折疊椅,2473,2665436,2
19,保爾範,44,11437894,7
19,dyson,5419,1411314,1
19,g47.栗子南瓜種子,4,15664771,9
19,電腦包14吋,240,7939407,5
19,enblanc,50,11182790,7
19,吊帶襪,726,5235123,3
19,小米poco m3,17,13123953,8
19,skechers 男慢跑系列 全橡膠防潑水輕量越野跑鞋,1,17167756,10
19,機車手把套,384,6751830,4
19,膠囊咖啡架,27,12329093,8
19,vivo x70 pro,801,5014677,3
19,茶杯,357,6926990,4
19,筆電光碟,4,15311899,9
19,磁性白板貼,37,11756829,7
19,壁紙,1330,3909812,3
19,4tb 3.5吋外接硬碟,43,11456924,7
19,浴簾,2283,2784831,2
19,hdmi切換器,2608,2560994,2
19,舒潔廚房紙巾,548,5918327,4
19,防水後背包,1189,4149938,3
19,蜂鷹,85,10187724,6
19,測血糖機,10,13915458,8
19,電蚊拍,2376,2743145,2
19,r,73,10483639,6
19,來復易 瞬吸安心漏尿專用棉墊中量型 (16片x8包/箱),1,17249604,10
19,聖誕髮箍,982,4568203,3
19,sharp液晶電視保固,32,12017240,7
19,drahc0-a900b1olp,7,14640446,9
19,p9br,14,13388815,8
19,衣櫃 雙門,2,16410035,10
19,搖桿,812,4984837,3
19,巧拼地墊,351,6975162,4
19,橄欖油,2086,2978059,2
19,佛跳牆 素食,2,16066349,10
19,電暖,1204,4125992,3
19,ipad+ 乙太網路線,6,14805050,9
19,辦公椅,5856,1309597,1
19,電動鋸,1260,4023659,3
19,威士忌杯,656,5488909,4
19,lego樂高 dots 豆豆樂系列,34,11879086,7
19,整理箱透明,6,14813348,9
19,西裝收納袋,82,10247594,6
19,摺疊桌,5121,1484587,1
19,烘碗機 紫外線,504,6107047,4
19,zenbook 15,29,12204327,7
19,客服耳機,15,13293305,8
19,電煮鍋,771,5093106,3
19,coolnet抗uv頭巾,10,14008368,9
19,噴漆槍,380,6774760,4
19,dyah9r-a900an31g,260,7695407,5
19,wd【紅標plus】%28wd20efzx%29 2tb/5400轉/128mb/3.5吋/3y,5,15191626,9
19,網路攝影機,3491,2047003,2
19,gogoro,1340,3897806,3
19,nvme,240,7944447,5
19,ad-wa712t,47,11321530,7
19,120電腦桌,13,13584364,8
19,行李秤,332,7102265,5
19,電磁爐虹吸式咖啡壺,3,15847955,10
19,資生堂 安耐曬金鑽高效防曬露,17,13105270,8
19,雨傘套,110,9652149,6
19,無印良品敏感肌,2,16280863,10
19,樂天,303,7318184,5
19,細纖維毛巾,17,13097518,8
19,580公升,105,9742551,6
19,櫻花牌瓦斯爐 雙炫火,1,17335958,10
19,地產大亨,1394,3814548,3
19,桌旗,366,6865916,4
19,galaxy watch 4 充電,14,13393057,8
19,dla410,4,15587883,9
19,歐舒丹  體香膏,1,17338012,10
19,單肩包,823,4965211,3
19,ds02-cg 鵝頸型,3,16041224,10
19,老舊金山拿鐵咖啡二合一,33,11935260,7
19,4尺推門衣櫃,32,11986072,7
19,精密儀器箱,55,11002612,7
19,smartist 高白影印紙a4 70g (5包/箱),12,13733198,8
19,le creuset  22cm,1,17376724,10
19,檸檬酸,1168,4205386,3
19,聖誕糖果,1157,4232111,3
19,吸濕 杯墊,1,17276095,10
19,6d人體工學躺椅 電競椅 躺椅 電腦椅 辦公椅 主管椅,10,14007468,9
19,威剛ddr3,2,16354861,10
19,3m手套,1251,4042476,3
19,oral-b p9000,1,17476933,10
19,正航人事薪資系統,86,10148996,6
19,24v dc變壓器,2,16768709,10
19,outdoor 包,51,11148582,7
19,滿意寶寶白金nb,19,12956901,8
19,一來順,36,11809321,7
19,homekit,1000,4529589,3
19,美心 masions,12,13683518,8
19,bnc公對母同軸連接線,2,16558965,10
19,小米 肯特紙,2,16324983,10
19,辣椒水,1193,4146369,3
19,融蠟燈,1004,4526587,3
19,印表機,3756,1960271,2
19,浴室扶手,174,8670545,5
19,tumi  單肩包,1,17131844,10
19,開襠,175,8652578,5
19,adidas童包,10,13987768,9
19,馬玉山,1278,3993206,3
19,收納線材,14,13396109,8
19,伊萊恩加寬全身立鏡,5,15232096,9
19,衣架桿,641,5545975,4
19,寫真,350,6985324,4
19,筆電維修工具,20,12821886,8
19,3m口罩,3978,1890805,2
19,蠟燭,953,4639877,3
19,筆電支架,1538,3612539,3
19,m2 ssd 多合一,1,17311945,10
19,施巴 抗乾敏,21,12777490,8
19,保溫袋,1611,3496059,2
19,鸚鵡,80,10288287,6
19,bose soundlink mini ii 迷你藍牙喇叭,12,13656890,8
19,無線電話,3696,1975146,2
19,3070,2013,3039398,2
19,午後的紅茶,47,11316924,7
19,套筒,436,6436582,4
19,砧板 epicurean,15,13281350,8
19,平安玉佩,34,11879188,7
19,散熱墊,737,5198530,3
19,conifer 月計畫,1,17112477,10
19,philips coffee,7,14586539,9
19,【cap】螺旋式掏耳神器%28贈15組替換頭%29,2,16811199,10
19,指套型牙刷,6,14815142,9
19,濾藍光老花,201,8342606,5
19,fx516pm-0201a11370h,195,8405620,5
19,sigma 24-70 sony,4,15309603,9
19,nokia t20,1548,3594038,3
19,寶可夢 晶燦鑽石,627,5599838,4
19,復古鍵盤,288,7433728,5
19,白藍紅黃/中1刀 雙切 電腦報表紙/電腦連續報表紙中一刀,4,15381007,9
19,紅牛,503,6110574,4
19,gwg-2000,136,9198029,6
19,名片夾,1974,3075281,2
19,膠水,426,6496028,4
19,xpg gammix d10 ddr4-3200 8g,1,17256491,10
19,棉花棒,2132,2921173,2
19,m1,221,8131814,5
19,i11史迪奇手機殼,4,15292767,9
19,林莎,118,9508176,6
19,運動後背包,657,5483655,4
19,美膳雅cuisinart 數位式美味蒸鮮鍋 stm-1000,1,16879332,10
19,jordan1,234,7992973,5
19,ps5,10203,664279,1
19,可攜螢幕,507,6095928,4
19,酒精噴霧,1154,4239044,3
19,快煮鍋 折疊,4,15432007,9
19,羅技,3811,1937565,2
19,razer黑寡婦,172,8691624,5
19,賀眾牌,543,5942327,4
19,離子夾,1719,3369487,2
4,砂鍋,760,5125244,3
4,不鏽鋼浴室置物架,2296,2775674,2
4,尿垢清潔,41,11570833,7
4,即享,1746,3331367,2
4,防皺襯衫,199,8361045,5
4,57n7,35,11844848,7
4,麥當勞,4523,1675604,1
4,百景宴年菜,5,15209736,9
4,後視鏡 超廣角 行車記錄器,16,13169099,8
4,鍵盤保護膜,680,5393386,4
4,電子琴,1892,3158333,2
4,adisi】男防風透氣保暖背心,4,15510583,9
4,3d口罩,1855,3210828,2
4,除毛儀,619,5628506,4
4,abel板夾,15,13354595,8
4,露營行動電源,64,10741229,7
4,桌子,2404,2731194,2
4,樂歌,91,10048273,6
4,dyson v11 收納架,10,13937498,8
4,沙發,4578,1657477,1
4,stormtech,175,8652053,5
4,即期品,728,5230763,3
4,米沃奇,150,8986742,6
4,in+win+迎廣-mg134-機殼,2,16638683,10
4,buddyrider,18,13027874,8
4,rog strix b550-e,3,15802529,10
4,保溫壺,3446,2067818,2
4,奶嘴繩,32,12005304,7
4,禮券,591,5744015,4
4,光碟機,2049,3004897,2
4,室內增高拖鞋,6,14777282,9
4,樂高,7059,1068115,1
4,se2722h,57,10938725,7
4,壓克力盒,196,8391530,5
4,玻璃靜電貼,514,6064255,4
4,可攜螢幕,507,6095928,4
4,trail broken,3,15695759,9
4,玻璃隨身水瓶 280ml,1,17362667,10
4,助聽器,431,6463884,4
4,監視器,7739,987203,1
4,平板電腦,7847,971648,1
4,play,1161,4221677,3
4,白背景,4,15477723,9
4,gf63 thin 11sc-066,117,9526926,6
4,微波爐,13483,421585,1
4,短腿ㄚ鹿,64,10722861,7
4,鈦鍋,866,4858756,3
4,印刷,7,14486250,9
4,拾貳食品,79,10327963,6
4,srs xb33,4,15684451,9
