group,key_word,count,cum_count,segment
15,邵雨薇,47,11302166,7
15,雪宿,26,12404296,8
15,伸縮水管,1254,4032455,3
15,研磨機,1303,3950560,3
15,摩肯dr.save 真空收納袋組 大,12,13646690,8
15,電鬍刀飛利浦,32,12001400,7
15,行車記錄器,2507,2640595,2
15,日本達樂dale保健沖牙機,9,14222985,9
15,圍脖,1215,4104217,3
15,我的美麗,14,13465045,8
15,軍靴,586,5766942,4
15,hcg c4232,2,16603087,10
15,培樂多,492,6171310,4
15,契爾氏,841,4921995,3
15,毛巾,12163,509340,1
15,大同,386,6738742,4
15,muji 無印良品,1346,3884383,3
15,暖氣 小,102,9805931,6
15,護腕,1133,4274484,3
15,除甲醛 空氣清淨機,5,15114356,9
15,穩定器自拍三腳架,23,12591489,8
15,太陽能燈,2714,2491792,2
15,plantur39,97,9913926,6
15,拉麵道,290,7416953,5
15,cb300r,49,11222820,7
15,嬰兒浴盆,88,10120494,6
15,2022 桌曆,73,10488165,6
15,金車補給園 薑黃,1,17009204,10
15,洗衣機14,11,13895366,8
15,c21,121,9456384,6
15,1650,566,5845927,4
15,有線 滑鼠 鍵盤,3,15892223,10
15,乳膠床墊,1481,3689460,3
15,進口零食小包裝,127,9348014,6
15,多美卡超級停車場,54,11041356,7
15,ghd gold 專業造型夾,12,13627190,8
15,新作部屋 沙發墊,54,11053722,7
15,拖鞋,4527,1671081,1
15,側背包,2126,2927553,2
15,五月花,2073,2986374,2
15,maison francis kurkdjian,18,12967988,8
15,美樂蒂證件繩,1,16878297,10
15,tbs-464-8g 4-bay nas,6,14766920,9
15,office,3204,2187348,2
15,顯卡1660,30,12150152,7
15,無線藍牙喇叭,14,13473865,8
15,美國康寧,73,10478748,6
15,bourbon,142,9101957,6
15,擴香儀,2548,2622902,2
15,電熱背心,355,6944438,4
15,頂天立地,1919,3137409,2
15,電腦風扇,228,8060917,5
15,雞胸肉,563,5859476,4
15,除針器,200,8352852,5
15,溫熱眼罩,60,10854425,7
15,快煮壺,11327,590329,1
15,腳架,2025,3029307,2
15,leven 獵穩 256gb,11,13888854,8
15,情趣旗袍,61,10835244,7
15,抽屜收納盒,1070,4375644,3
15,刷毛上衣,186,8514612,5
15,洗碗機專用洗碗粉,265,7632458,5
15,sol 內襯,1,17172904,10
15,動物森友會,1337,3899143,3
15,cherry鍵盤,184,8546439,5
15,本 菊之友隨身貼暖包 12h,1,17456909,10
15,現金簿,34,11914378,7
15,adidas鞋,60,10856465,7
15,樂高technic系列,578,5802419,4
15,慢跑鞋,946,4656011,3
15,手動脫水機,89,10080670,6
15,gregory,406,6609675,4
15,刮鬍刀,4858,1558855,1
15,情趣,2311,2761845,2
15,扣式文件,2,16443205,10
15,義美羊羹,13,13549069,8
15,無線喇叭,234,7989697,5
15,訓練台,282,7482157,5
15,mesh,2000,3049432,2
15,三合一空氣清淨機,2,16755153,10
15,機殼 電腦 垂直,4,15305359,9
15,葉片式電暖器,1012,4506421,3
15,真皮短夾,185,8527614,5
15,炮機,466,6292372,4
15,m.2散熱器,7,14597263,9
15,moshi aria 輕量托特包,4,15251027,9
15,fx-991es,407,6607234,4
15,al.bear lightning充電線輸線3m,1,17018550,10
15,胎內胎壓偵測,267,7606928,5
15,f-y22en,1206,4121171,3
15,收納罐,96,9921966,6
15,重訓腰帶,236,7973444,5
15,vga轉hdmi,3087,2265798,2
15,不鏽鋼電鍋,74,10452156,6
15,消毒烘乾機,83,10230521,6
15,牛小排,108,9682274,6
15,dyah93-a900a8ng7,254,7783882,5
15,la belle雪雕絨,5,15037266,9
15,5620,16,13181147,8
15,美光ssd,703,5322884,4
15,亞果元素,1073,4374574,3
15,唐寧茶,673,5422492,4
15,高跟鞋 黑,35,11839808,7
15,xpure淨對流抗霾布織口罩,32,11986200,7
15,聖誕燈,1553,3586286,3
15,電腦音響,174,8661497,5
15,一匙靈,816,4979955,3
15,冷水壺,914,4730404,3
15,citizen,1021,4481026,3
15,tomica 多美小汽車,612,5652552,4
15,asus手機,438,6427409,4
15,dcr-250,7,14595345,9
15,衝鋒外套,1304,3946649,3
15,益生菌,3210,2180940,2
15,nike air force,2056,2996692,2
15,acoustune,18,13042868,8
15,小米平板,952,4643686,3
15,鍋蓋收納架,242,7922790,5
15,freebuds 4,34,11909142,7
15,觸控板,203,8321352,5
15,紫外線烘鞋機,94,9979288,6
15,heran禾聯 新一級能效 乾衣好幫手 6l除濕機 hdh-12dyb10,3,15712715,9
15,wd62purz,4,15381427,9
15,ipad pro 11,1342,3891103,3
15,su800 512g,13,13609701,8
15,康乃馨 衛生棉,40,11612133,7
15,捲線器,182,8561635,5
15,台鹽海洋鹼性離子水,1068,4383125,3
15,xperia 1 iii,879,4824700,3
15,平衡電樞式耳機,14,13501865,8
15,工作安全鞋,912,4743185,3
15,銀離子口罩,99,9873206,6
15,文樑,87,10126333,6
15,dsaa31-1900bx10a-000,2,16675891,10
15,愛德華上掀活動扶手機能美型人體工學電腦椅,6,14791250,9
15,air jordan 1,1628,3478284,2
15,雪紡睡衣,30,12116042,7
15,法蘭絨被套,776,5077656,3
15,驅塵氏,1286,3982946,3
15,3m 汽車玻璃,6,14944322,9
15,掛衣桿,1088,4341092,3
15,可樂果,1294,3968755,3
15,benq ew2780q,34,11914786,7
15,長夾,2726,2483640,2
15,隨行杯,868,4856156,3
15,epson wf-100,29,12199020,7
15,oled 螢幕,173,8678688,5
15,日本幸和助步器,1,17470417,10
15,asus fx516pr-0091a11370h,46,11356077,7
15,浴缸 浴桶,29,12212650,7
15,洗衣機清潔劑,641,5546616,4
15,模型屋diy,80,10291247,6
15,a6筆記本,88,10105534,6
15,酪梨水果,4,15336411,9
15,髮速黑,54,11064738,7
15,奧利塔 玄米油,6,14787338,9
15,網路水晶接頭/100入,5,15236741,9
15,錢夾,87,10139470,6
15,令和 kf94,440,6419074,4
15,賀眾,208,8265380,5
15,ipad 擴展,1,17367685,10
15,north face外套,414,6566585,4
15,黏鼠板,946,4655065,3
15,msi am271 11m-250tw,1,17332151,10
15,廚房龍頭,1756,3319119,2
15,礦機,129,9320184,6
15,邵氏電影dvd,34,11894862,7
15,mt-15,14,13452781,8
15,福袋,1394,3815942,3
15,幼兒拼圖,252,7813530,5
15,紅豆食府,5612,1383826,1
15,stream deck mk.2,9,14242236,9
15,b群發泡錠,4,15390703,9
15,迷你電暖氣暖風機,149,9007234,6
15,犀牛盾迪士尼,8,14479815,9
15,【福和生鮮】智利櫻桃1kg/櫻桃,794,5028218,3
15,中筒靴,65,10698894,7
15,聖誕口罩,1664,3438778,2
15,階梯椅,215,8187982,5
15,封口夾,409,6598254,4
15,小空間電腦桌,246,7885262,5
15,電玩賽車,110,9653249,6
15,鬆餅粉,1757,3317363,2
15,小烤箱,782,5060519,3
15,天梭tissot seastar 1000,28,12228941,7
15,14tb,706,5308094,4
15,蘭蔻+超水妍,18,13019180,8
15,微軟觸控筆,43,11470211,7
15,貓籠,819,4974239,3
15,dvi轉hdmi,1258,4027434,3
15,運動墊,82,10261042,6
15,sony xperia 10,1058,4398008,3
15,自然光,144,9074129,6
15,洋芋片,3101,2259616,2
15,philips pd,13,13509289,8
15,鑰匙櫃,15,13293185,8
15,車用排風扇,21,12723457,8
15,雪靴,987,4555411,3
15,b12維他命,43,11474855,7
15,小型保險箱,930,4694481,3
5,空氣 床墊,2,16266625,10
5,zippo打火機,1146,4253985,3
5,馬玉山,1278,3993206,3
5,螺肉,222,8124295,5
5,fenix手電筒,772,5083849,3
5,8g 3200 筆記,2,16773061,10
5,羅技g pro,45,11395283,7
5,黃 雙 被套,4,15253611,9
5,羽衣甘藍青汁,16,13247099,8
5,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
5,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
5,無印良品餐墊,6,14866868,9
5,微動,39,11647895,7
5,八寶粥,736,5205161,3
5,花架,1894,3156441,2
5,uag iphone 13,454,6350754,4
5,加熱杯墊,4313,1732698,1
5,cerave,839,4926195,3
5,b群發泡錠,4,15390703,9
5,加長褲襪,29,12175704,7
5,新自然輸入法v12 windows 專業版,1,17464412,10
5,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
5,手機三合一充電線,15,13319840,8
5,mj-e195hm,156,8903857,6
5,adidas,3429,2085008,2
5,無痕雙面膠帶,32,12037240,7
5,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
5,幫寶適,4456,1684531,1
5,洗脫烘,1383,3828443,3
5,尚朋堂,167,8755675,6
