group,key_word,count,cum_count,segment
20,紅牛,503,6110574,4
20,gwg-2000,136,9198029,6
20,名片夾,1974,3075281,2
20,膠水,426,6496028,4
20,xpg gammix d10 ddr4-3200 8g,1,17256491,10
20,棉花棒,2132,2921173,2
20,m1,221,8131814,5
20,i11史迪奇手機殼,4,15292767,9
20,林莎,118,9508176,6
20,運動後背包,657,5483655,4
20,美膳雅cuisinart 數位式美味蒸鮮鍋 stm-1000,1,16879332,10
20,jordan1,234,7992973,5
20,ps5,10203,664279,1
20,可攜螢幕,507,6095928,4
20,酒精噴霧,1154,4239044,3
20,快煮鍋 折疊,4,15432007,9
20,羅技,3811,1937565,2
20,razer黑寡婦,172,8691624,5
20,賀眾牌,543,5942327,4
20,離子夾,1719,3369487,2
20,type-c轉hdmi,193,8430068,5
20,雙人(7x6)被套,8,14280607,9
20,pchome,167,8757846,6
20,honeywell hht270wtw,6,14722394,9
20,淨水器濾芯,5,15043846,9
20,機車後視鏡,47,11328345,7
20,麵包機,833,4937060,3
20,sennheiser,1162,4219354,3
20,拿鐵 7-11,48,11292432,7
20,扁式延長線,419,6538279,4
20,le creuset,2256,2802957,2
20,戳戳樂,1639,3465217,2
20,磁吸面紙盒,347,7005884,5
20,20加侖,215,8186692,5
20,外套,2546,2625448,2
20,牛蒡茶,643,5539558,4
20,影印紙,1395,3811760,3
20,開光五帝錢,123,9420647,6
20,dyahcw-a900ayeg9,262,7672983,5
20,即享券,20690,242404,1
20,防噴罩,616,5644568,4
20,5tb 2.5,9,14185095,9
20,小企鵝,21,12724633,8
20,一體機電腦,12,13758590,8
20,男 高筒靴,4,15258691,9
20,單人床包,1161,4223999,3
20,一蘭拉麵,1050,4413807,3
20,增高鞋墊,489,6184061,4
20,懶人夾,205,8303392,5
20,magsafe battery pack,1467,3710084,3
20,dyah8d-a900a8jrh,255,7780066,5
20,apple,1829,3238459,2
20,拋棄式抹布,387,6730242,4
20,水管,981,4569184,3
20,廚下型開飲機,29,12171441,7
20,泡棉,119,9477373,6
20,pd500tc,60,10847705,7
20,義美生機,694,5343858,4
20,曬衣架 不鏽鋼,741,5184488,3
20,雞精,1514,3643041,3
20,小型投影機,18,13041104,8
20,msi,2663,2526762,2
20,電子錶,1672,3425429,2
20,德式香腸,26,12400786,8
20,townward 大城科技 接頭,9,14135001,9
20,gtx 1650,344,7023168,5
20,dyahao-a900aan8m,256,7763994,5
20,杏壽郎,9,14220492,9
20,床上桌,1816,3253052,2
20,under armour 鞋,179,8606772,5
20,台衛 兒童,1,17270254,10
20,倍潔雅衛生紙,1499,3664117,3
20,電磁爐不沾鍋,390,6711578,4
20,水冷主機,35,11863783,7
20,衛生棉條,348,6999626,5
20,瑜珈磚,624,5614842,4
20,usb轉type-c轉接頭%282入%29,1,17144542,10
20,na-158vt,8,14278375,9
20,20吋行李箱,1671,3430444,2
20,壓克力 a4,4,15537435,9
20,即享券 麥當勞,1017,4490191,3
20,約翰．沃爾夫岡．歌德,2,16250849,10
20,高露潔 牙膏,39,11675780,7
20,不沾鍋,2381,2740769,2
20,鎖鮮袋l,4,15685063,9
20,65w,646,5529254,4
20,mao air mini,5,15049116,9
