group,key_word,count,cum_count,segment
2,豆腐頭,922,4710215,3
2,牙線,2567,2605039,2
2,飛彈系列 優纖淨休閒鞋,1,16885623,10
2,懸掛式烘碗機,508,6090849,4
2,海尼根,324,7161026,5
2,熱水壺,2118,2938157,2
2,epson l14150 a3,9,14143839,9
2,假透膚絲襪,13,13608921,8
2,transcend 創見 8gb tsram ddr4 2400 桌上型記憶體(ts1glh64v4b),1,17121385,10
2,安美諾,87,10122505,6
2,ax-as6t-r,37,11746210,7
2,ora2 極緻淨白牙膏,6,14708246,9
2,桌機 視訊,1,17332413,10
2,dyson 空氣清淨機,965,4617806,3
2,手沖壺,1295,3967461,3
2,加熱杯墊,4313,1732698,1
2,祥業工業,51,11151336,7
2,18禁,420,6530727,4
2,usb眼罩,196,8398978,5
2,6600xt,477,6238650,4
2,調味罐架,143,9087376,6
2,頭燈,1786,3287278,2
2,ns遊戲,295,7381812,5
2,《lakme萊肯》出色.洗髮精,4,15261719,9
2,化妝包,1164,4211211,3
2,快煮壺 伊萊克斯,71,10533827,7
2,品客,1057,4399065,3
2,推車雨遮,8,14262031,9
2,得意的一天 五珍寶,4,15265615,9
2,咖啡膠囊,1498,3665615,3
2,機殼 電腦,593,5733361,4
2,cisco 交換器,26,12363008,8
2,sr-1995t,17,13148569,8
2,陶鍋 燉鍋,10,14014098,9
2,3m 護牙牙間刷l型,5,15143616,9
2,美津濃排球鞋,39,11662559,7
2,redmi note 10,300,7340171,5
2,75puh8265,79,10339181,6
2,雀巢咖啡膠囊 星巴克,13,13519975,8
2,黑白底片,18,13055540,8
2,無線充電座,864,4865675,3
2,寵物背包,438,6424781,4
2,華碩/防窺片,61,10823959,7
2,八位堂,1149,4247100,3
2,6連發美工刀,10,13997948,9
2,辦公桌,3763,1956515,2
2,馬桶刷,3332,2115538,2
2,qck edge,64,10729325,7
2,mx master 2s,127,9342553,6
2,水母喇叭,1983,3067365,2
2,happy new year氣球,4,15276615,9
2,hyperdrive,1170,4200713,3
2,防撞桌角,602,5701701,4
2,快充線 iphone,42,11530841,7
2,鐵三角藍牙耳機,922,4708371,3
2,fiio,926,4700980,3
2,精工麵包機,41,11571079,7
2,機車手機架,2133,2919041,2
2,microsoft 365 家用版,102,9801749,6
2,氮化鎵gan 65w 3孔,2,16182055,10
2,搖搖椅,217,8164872,5
2,8tb 硬碟,191,8448512,5
2,瑪瑟士dt-1541t 6kg,1,16922372,10
2,無線網卡,2760,2469922,2
2,office 2021,2362,2747878,2
2,masions 美心 砧板,1,17335872,10
2,筆電,10460,643796,1
2,電動牙刷,7417,1017298,1
2,洗衣精,4879,1544255,1
2,房紙巾架,4,15378755,9
2,技嘉 aorus 15p kd,7,14615960,9
2,【bubm】多功能3c數位配件/手機/行動電源收納包/整理包%28黑色%29,5,15000276,9
2,舒酸定,1438,3755085,3
2,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
2,super舒馬克,27,12307034,8
2,刀义筷架,4,15300323,9
2,安全延長線,263,7657253,5
2,品木宣言,892,4796386,3
2,咖啡杯,1521,3632421,3
2,衣物櫃,17,13135581,8
2,c-fly,104,9776188,6
2,兒童立體,69,10588278,7
2,玫瑰 洗髮精,1,17358500,10
2,照顧娃娃,17,13125738,8
2,cst350,104,9772652,6
2,電視櫃,9462,772897,1
2,肯德基,1247,4056207,3
2,口罩 醫療新年,10,13937318,8
2,羅技 k580,134,9233744,6
2,充電器,1878,3188473,2
2,muji收納,16,13265131,8
2,檯面瀝水置物架,12,13654502,8
2,日立除濕機,1800,3276547,2
2,桃酥,156,8904481,6
