group,key_word,count,cum_count,segment
3,隱密 錄音,2,16359843,10
3,瑞士紅十字軍,393,6697089,4
3,膠囊咖啡,1407,3797761,3
3,beyerdynamic,212,8218105,5
3,紅酒開瓶器,766,5109234,3
3,亞果 hub,8,14287567,9
3,暖手寶,7220,1053847,1
3,shoei x14,10,13943768,8
3,3070ti ssd,2,16754027,10
3,hoya 菌精梳長絨棉,2,16652687,10
3,網路cd播放機,65,10702469,7
3,手把充電座,723,5245264,4
3,蒸氣烘烤爐,2317,2757217,2
3,手工蛋捲,81,10275173,6
3,uvc,219,8151800,5
3,大靠墊床頭靠,231,8034548,5
3,康定,185,8529834,5
3,廁所芳香劑,175,8656428,5
3,blackmores,60,10841945,7
3,木掛勾,46,11363805,7
3,xperia pro-i,414,6563687,4
3,3m層板,22,12634673,8
3,hdmi線,4639,1629877,1
3,易碎品貼紙,45,11387633,7
3,直傘,114,9571717,6
3,捲心酥,200,8359052,5
3,lq-690c,233,8010242,5
3,msi dockinig station\,1,17331030,10
3,kf94 成人口罩,4,15566799,9
3,台語音樂cd,18,13056620,8
3,usb c to hdmi,37,11745729,7
3,ps mall字母帆布包,1,17396006,10
3,曼黛瑪璉,1227,4089582,3
3,nespresso,1034,4445029,3
3,lego樂高 art 31203 世界地圖,4,15541807,9
3,usb轉type-c轉接頭 a公對c母,10,13927368,8
3,夜間開車專用眼鏡,383,6758733,4
3,gakr08726,1,16935993,10
3,藍牙音樂接收器,851,4901689,3
3,黑帽駭客,10,14038768,9
3,小米9充電線,1,17205174,10
3,蘋果醋,1776,3296180,2
3,switch有線網路,3,15845828,10
3,精油,1472,3698325,3
3,sdi 6mm×6m,1,17188411,10
3,史迪奇玩偶,34,11911658,7
3,earpods,939,4673934,3
3,iphone,4154,1817629,2
3,ipad air2 保護套,216,8180236,5
3,timberland,3973,1898753,2
3,全面修復霜,170,8721354,5
3,mp3音響主機,7,14603451,9
3,aio 電腦,358,6922346,4
3,usb type c to type a hub,3,15776597,10
3,耳機麥克風,2874,2402593,2
3,加長褲襪,29,12175704,7
3,surface,1466,3711550,3
3,dali opticon,1,17108725,10
3,usb擴充,1351,3877642,3
3,ana closer,4,15616023,9
3,lightning,721,5250315,4
3,透射傘,13,13595687,8
3,可換線耳機,66,10670934,7
3,acer aspire a514,10,13988228,9
3,沐浴乳,2715,2489078,2
3,夜燈,2440,2692449,2
3,虎口鉗指甲剪,6,14924738,9
3,米家夜燈 2,4,15462931,9
3,segway,178,8620137,5
3,ipad mini 6保護殼,2577,2594761,2
3,視訊攝影機,3876,1922268,2
3,長抱枕,794,5025836,3
3,tom ford,241,7934847,5
3,電競椅,13793,408102,1
3,腰包,2592,2587014,2
3,床墊,4232,1788218,2
3,雄獅,42,11539031,7
3,機械錶 漢米,2,16228221,10
3,隨身碟,8451,906645,1
3,束口袋,808,4998596,3
3,iphone6s plus保護套,11,13857240,8
3,屏風,5063,1494731,1
3,羽球鞋,1885,3169660,2
3,mx keys mini,340,7053926,5
3,圓剛擷取盒gc573,1,17148700,10
3,surface pen,373,6829002,4
3,靠腰墊,743,5180780,3
3,顯示卡支撐架,180,8586664,5
3,中文鍵盤,84,10194258,6
3,爐連烤,971,4596508,3
3,可撕型化妝棉,1,17257859,10
3,v15,143,9092953,6
3,可黏車用垃圾袋,2,16131153,10
3,g713qe-0021c5900hx,43,11461052,7
3,shoei jo,2,16567027,10
3,mx808,2,16672159,10
3,梅粉,343,7029695,5
3,白背景,4,15477723,9
3,白玫瑰金  鐘,6,14730170,9
3,casio 掛鐘,30,12116402,7
3,太妃核果拿鐵,142,9108489,6
3,牙膏,2971,2329481,2
3,32gp850-b,65,10694409,7
3,家樂福,11431,579002,1
3,良值 switch 精靈 pro l530,2,16188333,10
3,電腦螢幕 顯示器 27吋,236,7975804,5
3,洗手機,366,6868844,4
3,聲海,301,7329058,5
3,iphone7 plus手機殼哈利波特,7,14556747,9
3,porlex,81,10270718,6
3,茶壺,1077,4364910,3
3,coach斜背包,1348,3883037,3
3,義美豆奶,345,7020413,5
3,油漆刷,689,5365308,4
3,大通行車導航,3,15699887,9
3,加強圈,25,12455397,8
3,櫻花蝦,95,9960687,6
3,曲面螢幕,4734,1592316,1
3,咖啡電子秤,966,4615875,3
3,pocky,1247,4054960,3
3,桌曆,2504,2643099,2
3,洗衣袋,2305,2771081,2
3,小米手環,4257,1771250,2
3,usb c type轉接頭,4,15656187,9
3,pdu 8孔15,1,17467043,10
3,質感皮革三層式飾品盒 珠寶項鍊耳環隨身收納盒,1,16976625,10
3,透氣三合一外套,2,16335911,10
3,5車合體變 型金剛,8,14357191,9
3,iphone 6s plus保護殼,163,8815371,6
3,咖啡,2116,2942391,2
3,switch電源影像,2,16581423,10
3,3d布口罩,32,11992472,7
3,fissler,47,11308417,7
