group,key_word,count,cum_count,segment
4,fitbit charge 4,287,7442928,5
4,玉子燒,669,5439271,4
4,審判之眼,98,9896217,6
4,totu iphone 13,12,13705574,8
4,門簾,3806,1941371,2
4,100%飯店級立體羽毛枕,4,15424287,9
4,panasonic 微波爐,554,5894624,4
4,nest hub,559,5871250,4
4,wd硬碟,90,10052818,6
4,iphone 13 pro,9870,724411,1
4,onemo,6,14709518,9
4,三用電表,3244,2164835,2
4,z625,34,11881398,7
4,led仿真蠟燭燈..,204,8309120,5
4,nikon ftz ii 轉接環,15,13313855,8
4,65w 氮化鎵,747,5163656,3
4,bobson 男款牛仔褲,40,11603453,7
4,指向型電容麥克風,6,14811668,9
4,aux藍牙接收器,646,5525378,4
4,單車雨衣,10,13927018,8
4,oppo+r11手機殼,41,11557098,7
4,內衣收納包,60,10867505,7
4,慢跑鞋 男,625,5606722,4
4,豆干,1469,3708617,3
4,yamaha山葉 gryphus 新勁戰125,10,13943488,8
4,24v充電器,101,9837577,6
4,口罩支架,935,4683297,3
4,酒精噴霧機,2813,2428156,2
4,投影機,10115,684524,1
4,樂扣樂扣pp多功能水壺/2l/莫蘭迪粉/b2c12,1,17343309,10
4,樂高 恐龍,91,10042813,6
4,德泰床墊,95,9956887,6
4,日式胡麻醬,2,16390363,10
4,甩尾遙控車,9,14155413,9
4,暖手,669,5438602,4
4,小米,13379,434964,1
4,lumix dmc-lx10,4,15650823,9
4,持久保險套,34,11920464,7
4,筆筒,1307,3942735,3
4,麒麟踩八卦,195,8404060,5
4,aveda梳,4440,1693425,1
4,妙而舒,822,4967678,3
4,xr,82,10246446,6
4,圓形鍵盤,26,12390672,8
4,交換禮物,9341,782238,1
4,sumsung note20 ultra 手機殼,10,13968588,8
4,dyah75-a900agi4p,255,7769356,5
4,沐浴龍頭,1807,3263925,2
4,智慧手錶電源,6,14858684,9
4,樂高積木,1874,3190347,2
4,迷你電腦,6692,1170904,1
4,伊萊克斯 well,5,15221436,9
4,古早味餅乾,42,11516015,7
4,tcl 75p715,2,16531235,10
4,三星螢幕,180,8585224,5
4,rode,901,4772184,3
4,jlab耳機,27,12278360,8
4,腰掛皮套,424,6510896,4
4,viewsonic 手寫板,35,11846143,7
4,razer 黑寡婦蜘幻彩版鍵盤 v3--黃軸,16,13212043,8
4,智慧門鈴,680,5395426,4
4,虎牌保溫杯350,27,12310328,8
4,小米 打氣機,95,9950142,6
4,抽屜櫃,2106,2948713,2
4,mj-ev250hm,581,5787939,4
4,書桌護眼夾燈,6,14841224,9
4,生活紅茶,18,13051040,8
4,蒂巴蕾,224,8096656,5
4,義美草莓,33,11956776,7
4,運動長褲,1254,4033709,3
4,鋁合金3尺二門收納櫃,5,15084436,9
4,華碩行動電源,145,9066317,6
4,moto edge 20 fusion %288g/128g%29,4,15244799,9
4,列印伺服器,181,8578351,5
4,綠聯 gan氮化鎵 65w,77,10371294,6
4,菜籃車,2241,2818684,2
4,單人床架,1691,3398475,2
4,spywalk,95,9965342,6
4,棉被收納袋,1267,4013548,3
4,usb-c轉rj45,1,17147628,10
4,無痕螺絲貼,770,5098496,3
4,【muji 無印良品】女氂牛毛混羊毛麻花織紋針織衫,39,11646335,7
4,可調電腦椅,24,12484994,8
4,led燈條,2823,2422528,2
4,心率 945,2,16429377,10
4,switch 收納包,3231,2171302,2
4,usb隨身碟,1939,3110445,2
4,茶盤,868,4854420,3
4,羅技m510,51,11179845,7
4,鈦鍋具,127,9354618,6
4,mk295,732,5218360,3
4,福利品手機,538,5961252,4
4,負離子清淨機,246,7884524,5
4,asus螢幕27吋,15,13284410,8
4,usb 3 hub,46,11344715,7
4,calvin klein 男內褲,95,9951092,6
4,西班牙 buff頭巾,30,12135362,7
4,砂輪機,797,5021065,3
4,茶樹莊園 洗碗,1,17049983,10
4,biomask,3000,2314578,2
4,冷暖風扇,970,4601361,3
4,紅軸鍵盤,393,6697875,4
4,義美 泡芙,31,12066059,7
4,透納葉,11,13909248,8
4,義美 凍,1,16892088,10
4,鼎泰豐-大包雙盒組5入/年菜,921,4712057,3
4,panasonic 冰箱,1036,4438821,3
4,cr2032,1046,4420092,3
4,華碩平板,180,8586484,5
4,戰術筆,235,7988993,5
4,superstar,167,8762188,6
4,nintendo switch,834,4934560,3
4,on,194,8419629,5
4,無印 洗面乳,34,11918832,7
4,j-bedtime純棉被套床包組,128,9321979,6
4,德思奈漱口水,2,16428089,10
4,藍光機,6,14941034,9
4,防嗆 保溫,1,17038592,10
4,new balance,5907,1303741,1
4,溫水機,1,17371710,10
4,type-c公轉usb-a母,1,17128463,10
4,tplink,724,5240198,3
4,iphone 13 電鍍手機殼,12,13680290,8
4,拉密,865,4862218,3
4,魔物獵人 物語 2,36,11790961,7
4,【epson】l4260 高速三合一,2,16810693,10
4,圍巾,2695,2508000,2
4,qcba1u-a90094i66,1,17401705,10
4,施巴護手,1,17462989,10
4,玻璃平台,352,6969539,4
4,ipad懶人支架,272,7557493,5
4,美容儀,228,8063653,5
4,【toshiba 東芝】13公斤變頻直立式洗衣機aw-dg13wag%28kk%29,20,12850426,8
4,魔術靈 廁所,8,14313607,9
4,瓜子,1222,4095700,3
4,nintendo switch 卡匣盒,5,15153536,9
4,安素,1600,3518540,3
4,rocktek g1 4k hdr電視盒,17,13112529,8
4,印表機伺服器,236,7976512,5
4,咖啡保溫杯,1492,3677566,3
4,耳掛式耳機,224,8103600,5
4,converse,3599,2015222,2
4,豆腐頭備份,782,5061301,3
4,調理包,1119,4295875,3
4,ariel 微香,18,12989156,8
4,貞操鎖,751,5150919,3
4,5 手環 腕帶,5,15090476,9
4,hydy,149,9002168,6
4,lays樂事 奶焗香蔥洋芋片,4,15510371,9
4,yes 蠶絲,10,13942368,8
4,粉紅豬小妹,100,9860318,6
4,【 aiwa 日本愛華 】真無線藍牙耳機 at-x80j,2,16764373,10
4,錦霞樓,660,5469829,4
4,立湯婆,14,13383033,8
4,龍狼傳 ~ 中原繚亂篇,3,15772859,10
4,墮姬,2,16145319,10
4,森田床邊桌,1,17324601,10
4,綠聯 dp 1.4,5,15203026,9
4,模擬飛行,523,6025340,4
4,車充,2211,2845348,2
4,定頻冷氣,65,10705459,7
4,switch 學校,2,16575419,10
4,wifi 6,748,5160665,3
4,vg27aql1a,861,4874301,3
4,摩飛,16,13254715,8
4,哈根達斯,770,5095416,3
4,sandisk extremepro microsdxc uhs-i%28v30%29%28a2%29 64gb 記憶卡,5,15099361,9
4,森海塞爾無線耳機,364,6881247,4
4,鞋除臭劑,24,12525650,8
4,星芒濾杯,69,10594143,7
4,空拍機,3252,2158345,2
4,歐司朗23w/螺旋燈泡,36,11780881,7
4,鏡子,1289,3979084,3
4,bitplay iphone 13,54,11071110,7
4,保潔墊,1599,3523339,3
4,平底鍋,1524,3627855,3
4,軍功防摔手機殼,20,12805066,8
4,鋸子,419,6538698,4
4,男保暖高領衫,3,15893756,10
4,黑瑪卡,75,10434575,6
4,雙人加大床包天絲,50,11198490,7
4,木質收納,39,11663183,7
4,tab a8,253,7806953,5
4,雷蛇,1691,3400166,2
4,行李箱,3981,1886827,2
4,蚊帳,2773,2456082,2
4,epson l3110,52,11135369,7
4,嬰兒包巾,2269,2791649,2
4,鐵三角,2988,2320565,2
4,萬寶龍 包,76,10409342,6
4,掛勾,1024,4474890,3
4,viewsonic,732,5214700,3
4,不鏽鋼鍋 炒菜,2,16088765,10
4,三麗鷗,140,9133034,6
4,坐墊套,38,11686321,7
4,水砂紙,257,7737310,5
4,隔離衣,352,6969187,4
4,65吋,1412,3792127,3
4,熱浪型恆溫電暖器,8,14355151,9
4,來一客,1498,3668611,3
4,砂鍋,760,5125244,3
4,不鏽鋼浴室置物架,2296,2775674,2
4,尿垢清潔,41,11570833,7
4,即享,1746,3331367,2
4,防皺襯衫,199,8361045,5
4,57n7,35,11844848,7
4,麥當勞,4523,1675604,1
4,百景宴年菜,5,15209736,9
4,後視鏡 超廣角 行車記錄器,16,13169099,8
4,鍵盤保護膜,680,5393386,4
4,電子琴,1892,3158333,2
4,adisi】男防風透氣保暖背心,4,15510583,9
4,3d口罩,1855,3210828,2
4,除毛儀,619,5628506,4
4,abel板夾,15,13354595,8
4,露營行動電源,64,10741229,7
4,桌子,2404,2731194,2
4,樂歌,91,10048273,6
4,dyson v11 收納架,10,13937498,8
4,沙發,4578,1657477,1
4,stormtech,175,8652053,5
4,即期品,728,5230763,3
4,米沃奇,150,8986742,6
4,in+win+迎廣-mg134-機殼,2,16638683,10
4,buddyrider,18,13027874,8
4,rog strix b550-e,3,15802529,10
4,保溫壺,3446,2067818,2
4,奶嘴繩,32,12005304,7
4,禮券,591,5744015,4
4,光碟機,2049,3004897,2
4,室內增高拖鞋,6,14777282,9
4,樂高,7059,1068115,1
4,se2722h,57,10938725,7
4,壓克力盒,196,8391530,5
4,玻璃靜電貼,514,6064255,4
4,可攜螢幕,507,6095928,4
4,trail broken,3,15695759,9
4,玻璃隨身水瓶 280ml,1,17362667,10
4,助聽器,431,6463884,4
4,監視器,7739,987203,1
4,平板電腦,7847,971648,1
4,play,1161,4221677,3
4,白背景,4,15477723,9
4,gf63 thin 11sc-066,117,9526926,6
4,微波爐,13483,421585,1
4,短腿ㄚ鹿,64,10722861,7
4,鈦鍋,866,4858756,3
4,印刷,7,14486250,9
4,拾貳食品,79,10327963,6
4,srs xb33,4,15684451,9
