group,key_word,count,cum_count,segment
5,雙人加大床包天絲,50,11198490,7
5,木質收納,39,11663183,7
5,tab a8,253,7806953,5
5,雷蛇,1691,3400166,2
5,行李箱,3981,1886827,2
5,蚊帳,2773,2456082,2
5,epson l3110,52,11135369,7
5,嬰兒包巾,2269,2791649,2
5,鐵三角,2988,2320565,2
5,萬寶龍 包,76,10409342,6
5,掛勾,1024,4474890,3
5,viewsonic,732,5214700,3
5,不鏽鋼鍋 炒菜,2,16088765,10
5,三麗鷗,140,9133034,6
5,坐墊套,38,11686321,7
5,水砂紙,257,7737310,5
5,隔離衣,352,6969187,4
5,65吋,1412,3792127,3
5,熱浪型恆溫電暖器,8,14355151,9
5,來一客,1498,3668611,3
5,濕紙巾,4710,1611184,1
5,carava,264,7641710,5
5,空心葫蘆瓶,6,14693480,9
5,被套 雙人,605,5687830,4
5,易利氣 磁力項圈 max,13,13574510,8
5,巔峰零食,11,13807707,8
5,木碗,189,8481398,5
5,浴袍,1354,3870881,3
5,2.5吋 硬碟,352,6968483,4
5,longchamp,1849,3221939,2
5,毛帽,2390,2738388,2
5,鬢角修剪器,19,12896671,8
5,旅行袋,1859,3205260,2
5,casio dw,29,12154795,7
5,寶可夢卡牌,1927,3120113,2
5,手提盒,4,15390947,9
5,廚具收納桶,4,15246575,9
5,男女鞋,79,10332545,6
5,benq screenbar halo螢幕智能掛燈,5,15193546,9
5,mac book air,126,9368862,6
5,otterbox iphone 11,75,10420325,6
5,收納架,1318,3923025,3
5,洗衣膠球,14,13466627,8
5,電熱爐,354,6949403,4
5,samsung 電子鎖,24,12505658,8
5,hanlin-18650電池,2,16601935,10
5,落地窗簾,238,7958040,5
5,black hammer,279,7504569,5
5,切菜機,396,6676198,4
5,麻辣鴨血,313,7239998,5
5,電動樹枝剪f26,1,17120268,10
5,柔軟精,633,5573994,4
5,舒潔 濕式衛生紙,1125,4288020,3
5,rog strix go,29,12188348,7
5,烘碗機,14499,380199,1
5,65％,3,15755096,10
5,電腦螢幕架,959,4631278,3
5,坐浴盆,911,4745918,3
5,m705 羅技,4,15315571,9
5,體重機,922,4709293,3
5,吸管奶瓶,43,11454430,7
5,五穀米,278,7514026,5
5,阿爾宙斯 中文版,1105,4315892,3
5,蛋糕粉,175,8649953,5
5,魔幻陀螺5,2,16077877,10
5,ic berlin,164,8799205,6
5,garmin venu 2 錶帶,5,15209166,9
5,烘鞋機,1765,3306798,2
5,氧氣 包,1,17310374,10
5,得偉,1340,3896466,3
5,乾洗手,752,5149417,3
5,燈 ip65,4,15624487,9
5,好神拖拖把,410,6589654,4
5,uniqman,637,5558113,4
5,學習馬桶,76,10404478,6
5,施巴5.5 sebamed 抗乾敏滋潤浴露,10,14040828,9
5,乳膠床墊 雙人加大 5cm,1,17236374,10
5,湯勺,569,5837982,4
5,alctron epp07喇叭音箱避震墊,21,12717535,8
5,鍋寶 智慧型微電腦萬用壓力鍋,4,15647843,9
5,松露,299,7346763,5
5,全效超級修護乳,27,12289214,8
5,soundcore,1998,3053430,2
5,除膠劑,2191,2865153,2
5,三洋喇叭,88,10119174,6
5,hawk,91,10036807,6
5,戰術褲,858,4882897,3
5,i13手機殼 犀牛盾,35,11826998,7
5,蠟燭 鋁,1,17083541,10
5,電熱毯,19543,261947,1
5,天璣,43,11494549,7
5,臂套,33,11950341,7
5,螢幕擦拭布,704,5313737,4
5,聯詠,99,9876770,6
5,nuc,1602,3515339,3
5,mouse pad,53,11086450,7
5,強力磁鐵,2289,2782548,2
5,手機,1881,3180958,2
5,adidas nmd,437,6428722,4
5,床頭燈,1962,3083150,2
5,49吋曲面螢幕,164,8794449,6
5,補漆筆,287,7444363,5
5,3060ti,2755,2472677,2
5,iphone耳麥,76,10414434,6
5,飲水機,11256,601585,1
5,納豆,966,4612977,3
5,鍋,376,6809167,4
5,洗衣機,9900,714541,1
5,微波杯,462,6308622,4
5,asus電腦,44,11423462,7
5,m27q,1638,3470131,2
5,zenfone 8 flip,377,6801268,4
5,asus vivobook pro15,40,11586053,7
5,xiaomi 掃拖機器人 2 ultra 集塵版,33,11966313,7
5,galaxy tab s7+,136,9192997,6
5,rog3,40,11630613,7
5,小米9手機套,15,13348775,8
5,條碼掃描器,1359,3866813,3
5,日本燜燒鍋,1,17475066,10
5,行李箱 28吋,45,11384978,7
5,藍芽耳機,8656,889630,1
5,hdmi 大通,37,11772887,7
5,平衡線,103,9792298,6
5,大容量水壺,193,8432577,5
5,ipad mini 8.3,101,9834850,6
5,帽漸變條紋,2,16317645,10
5,國際牌插座,62,10805490,7
5,情趣用品,4184,1813475,2
5,電競滑鼠,993,4546510,3
5,魔術巾,18,12998696,8
5,漫步者s2000,187,8504346,5
5,高速 隨身碟,17,13143095,8
5,typec,265,7625568,5
5,熱水瓶,4720,1601763,1
5,華碩 鍵盤,19,12938186,8
5,盒子,78,10341623,6
5,套掛式太陽眼鏡,1,17138335,10
5,運動相機,144,9084785,6
5,多立康 葉黃素,5,15128341,9
5,wacom one,229,8050171,5
5,小蓋毯,15,13324295,8
5,dyah8u-a900bamyw,266,7618926,5
5,硬碟外接,151,8972566,6
5,行軍床,1252,4038721,3
5,北日本,762,5119158,3
5,a22 5g,169,8732345,5
5,微波便當盒,1429,3769408,3
5,iphone 7 螢幕保護,8,14274703,9
5,譜架,361,6897190,4
5,蒸鍋,766,5105404,3
5,mipro,402,6631103,4
5,rx100,173,8674190,5
5,l11s6y01,4,15524355,9
5,ai-1 電動車,1,17025944,10
5,海康威視,616,5641488,4
5,柏萊富 犬 15lb,4,15253599,9
5,雅詩蘭黛,1372,3846328,3
5,many+110,86,10162326,6
5,船型襪,34,11906082,7
5,pierre cardin刷毛長袖襯衫,4,15398055,9
5,全名英檢 高級,1,17224763,10
5,探照燈手電筒,48,11274192,7
5,周文杰,1,17268887,10
5,耳溫槍,1289,3977795,3
5,tsb-b4013a,12,13712150,8
5,kasugai 沖繩黑糖飴,1,17388601,10
5,50吋電視,738,5194105,3
5,隙縫櫃,2573,2597334,2
5,健身環大冒險,2078,2982223,2
5,鍋寶,1129,4279006,3
5,電茶壺,689,5371509,4
5,小米 無線車充,17,13135360,8
5,nyx,47,11308699,7
5,realme,3439,2078142,2
5,switch 主機,3405,2098676,2
5,除濕機panasonic,76,10396498,6
5,tab s7+,267,7607996,5
5,discovery,199,8370597,5
5,快充車充座,2,16429281,10
5,阿順師碳烤椒鹽-600g,1,16985926,10
5,手機掛繩,2044,3011032,2
5,小米6,728,5230035,3
5,升降椅,503,6117616,4
5,樹枝剪,118,9496494,6
5,ps5 主機,772,5084621,3
5,電動噴漆,26,12390776,8
5,密錄器,4042,1866849,2
5,odlo,1814,3256681,2
5,日本 tenga‧真實體液,12,13659326,8
5,單車太陽眼鏡,1,17153782,10
5,【tp-link】tl-sg1016d 16埠,1,17214869,10
5,置物箱,586,5766356,4
5,衣領,17,13125976,8
5,羽絨背心,3815,1933754,2
5,拇指外翻鞋墊,12,13634822,8
5,nokia手機,1657,3447077,2
5,護膝,2657,2529419,2
5,usb 電源檢測,1,17162449,10
5,羅技 mk470 超薄無線鍵鼠組 - 珍珠白,5,14984201,9
5,ipad觸控筆,1185,4162999,3
5,空氣 床墊,2,16266625,10
5,zippo打火機,1146,4253985,3
5,馬玉山,1278,3993206,3
5,螺肉,222,8124295,5
5,fenix手電筒,772,5083849,3
5,8g 3200 筆記,2,16773061,10
5,羅技g pro,45,11395283,7
5,黃 雙 被套,4,15253611,9
5,羽衣甘藍青汁,16,13247099,8
5,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
5,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
5,無印良品餐墊,6,14866868,9
5,微動,39,11647895,7
5,八寶粥,736,5205161,3
5,花架,1894,3156441,2
5,uag iphone 13,454,6350754,4
5,加熱杯墊,4313,1732698,1
5,cerave,839,4926195,3
5,b群發泡錠,4,15390703,9
5,加長褲襪,29,12175704,7
5,新自然輸入法v12 windows 專業版,1,17464412,10
5,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
5,手機三合一充電線,15,13319840,8
5,mj-e195hm,156,8903857,6
5,adidas,3429,2085008,2
5,無痕雙面膠帶,32,12037240,7
5,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
5,幫寶適,4456,1684531,1
5,洗脫烘,1383,3828443,3
5,尚朋堂,167,8755675,6
5,防噪音耳塞,150,8992592,6
5,麥多多mcdodo gan氮化鎵65w,68,10622366,7
5,scosche,214,8197208,5
5,鈦餐具,413,6573202,4
5,ipad懶人支架,272,7557493,5
5,aukey 行動電源,357,6931274,4
5,標籤機brother 300,4,15352535,9
5,妙潔,730,5222014,3
5,l11s6y01,4,15524355,9
5,杏壽郎,9,14220492,9
5,yeezy,171,8707396,5
5,小米9充電線,1,17205174,10
5,n95,6773,1150744,1
5,台灣gmp工廠製造75%,10,13961708,8
5,耳機架,1539,3609462,3
5,discovery,199,8370597,5
5,聖誕裝飾,4727,1597043,1
5,mp4,355,6941598,4
5,濾水架,11,13844227,8
5,急救箱,308,7276353,5
