group,key_word,count,cum_count,segment
24,銀軸,1032,4454327,3
24,懶人桌,548,5921067,4
24,壓克力盒,196,8391530,5
24,口罩中衛醫療,27,12290780,8
24,lego,4088,1854678,2
24,skechers,971,4597479,3
24,iphone 7手機殼卡片,4,15620931,9
24,臉部精華油,16,13204299,8
24,義美巧克力酥,19,12921162,8
24,隔音地板,243,7908239,5
24,60*30鐵架,4,15315635,9
24,小尺寸衣櫃,60,10855325,7
24,易立家,184,8542207,5
24,回到當下的旅程,6,14755070,9
24,開喜,32,11988184,7
24,桌 180,4,15245947,9
24,playboy 短夾,81,10274930,6
24,雨靴,1304,3945345,3
24,webcam,2168,2880401,2
24,oled switch,322,7173302,5
24,古銅錢,41,11561362,7
24,漂白水,2251,2807461,2
24,吸濕排汗棉質衫,4,15371191,9
24,椅子,3984,1878865,2
24,電暖器 嘉儀,36,11821921,7
24,發電機,2849,2414030,2
24,防水噴霧,1160,4225159,3
24,熱敷墊,3794,1948968,2
24,chanel 方胖子,1,17087688,10
24,電熱杯,881,4819420,3
24,海底撈,1008,4518542,3
24,家庭劇院,587,5759318,4
24,乾木耳,29,12171760,7
24,kf94,3143,2219038,2
24,粉色口罩,37,11766449,7
24,魔力家,1292,3972634,3
24,錄影錄音筆,76,10393306,6
24,芳香貼,2,16182763,10
24,高山瓦斯罐,179,8598896,5
24,洗車工具組,749,5158420,3
24,水耕箱,17,13080552,8
24,beauti-eagle水晶玻璃紫色彩色流星花瓶%28612110mz%29,4,15365583,9
24,sennheiser hd 820,3,15752552,10
24,3080ti,1372,3844956,3
24,吹風機 飛利浦,61,10840673,7
24,迴轉壽司玩具,13,13503296,8
24,金士頓 kingston canvas go%21 plus microsdxc,4,15351403,9
24,櫻桃5公斤,3,15949310,10
24,暖氣,3064,2290397,2
24,f36jh,1,16860715,10
24,hp 3004,8,14465607,9
24,series s,23,12629899,8
24,懷舊綿密香芋包,1,17426283,10
24,x85j,199,8367612,5
24,小羊皮包,35,11870783,7
24,鍋寶】原礦大理石不沾快炒雙鍋組,2,16323327,10
24,shimano,348,7003802,5
24,鏡面藍芽喇叭,1,17021037,10
24,棉花糖,449,6371080,4
24,衣櫥,2098,2963415,2
24,矽油,416,6552472,4
24,三樂事,282,7476517,5
24,【中衛】醫療口罩-炫霓紫1盒入%2850片/盒%29,3,15872084,10
24,防水手機袋,14,13455259,8
24,車用除臭,21,12712222,8
24,ipad 鍵盤,365,6876514,4
24,k70 rgb mk.2,13,13570051,8
24,迷你無線鍵盤,130,9288726,6
24,定時開關,59,10898471,7
24,登山雨鞋,41,11567840,7
24,usb麥克風,897,4781177,3
24,銀寶善存,560,5866213,4
24,衣叉,28,12223817,7
24,折疊沙發床,1041,4428442,3
24,碧蓮,185,8537234,5
24,情趣開檔,214,8201274,5
24,ste-151,1,17210070,10
24,lk-4wby,11,13871584,8
24,復仇者聯盟,41,11564109,7
24,技嘉1660ti,1,17392726,10
24,聖誕樹120,170,8715744,5
24,植村秀 卸妝,5,14999866,9
24,【英國品牌】pipetto origami ipad pro 11吋%282021-2018%29 tpu多角度多功能保護套,2,16748517,10
24,章魚燒機,930,4692621,3
24,紫米 行動電源,253,7812772,5
24,伸縮支架,50,11192390,7
24,浴缸‧泡澡桶,434,6446584,4
24,防身,335,7078905,5
24,113w,6,14936090,9
24,konomi,10,13933978,8
24,hub,1937,3114320,2
24,廚房刀架,234,7997887,5
24,中華筆莊水彩筆 尼龍,7,14611179,9
24,抗菌鍵盤,11,13897808,8
24,針孔攝影機,7885,963801,1
24,"sony,km-43x80j",2,16561017,10
24,順易利口罩,1301,3957071,3
24,兒童圍巾,211,8225733,5
24,後背包 女,926,4702832,3
24,淨新口罩,948,4648436,3
24,紅磚壁貼,5,15211286,9
24,人體器官,8,14302327,9
24,學生制服,90,10055248,6
24,歐洲假期 巧克力,57,10936673,7
24,衛生衣,751,5151670,3
24,sata轉usb3.0線,38,11691869,7
24,react infinity run,100,9850818,6
24,化妝鏡,778,5070660,3
24,一櫃吊掛架,1,17252880,10
24,螢幕掛燈,2689,2510689,2
24,電動拖把,767,5102338,3
24,毛衣 男,335,7082925,5
24,羽衣甘藍青汁,16,13247099,8
24,春風衛生紙,2054,2998746,2
24,電霸,1015,4497302,3
24,龍神,21,12732382,8
24,種菜箱,18,12981290,8
24,dyah9r-a900a8kla,261,7680820,5
24,過年飾品,123,9415112,6
24,魔爪能量碳酸飲料355ml 24入 箱,13,13613432,8
24,usb type-c 轉接頭,2099,2959218,2
24,星之卡比,1271,4003401,3
24,後視鏡 超廣角 行車記錄器,16,13169099,8
24,置物櫃,2548,2620354,2
24,ddr4,1138,4266546,3
24,鋪棉外套,803,5012273,3
24,數位電視天線,190,8468528,5
24,黑沃馬卡龍,23,12578977,8
24,點數卡170,104,9780348,6
24,三菱冷凍櫃,83,10214585,6
24,f-pxm35w,57,10942088,7
24,台灣gmp工廠製造75%,10,13961708,8
24,金屬噴漆,88,10110286,6
24,白鯧魚,781,5064427,3
24,鍋蓋,242,7918192,5
24,補體素,865,4863083,3
24,coway 空氣清淨機,351,6974460,4
24,螺絲釘扣組,2,16399455,10
24,電動理髮器,285,7459510,5
24,摺疊泡澡桶,35,11865953,7
24,iphone 5 保護殼,9,14174943,9
24,男純棉三角褲,1,16932230,10
24,iphone8plus 保護殼,19,12922473,8
24,otterbox samsung galaxy s21+,12,13659770,8
24,貓抓板,1265,4019875,3
24,dynabook,930,4697271,3
24,紫米,917,4724911,3
24,switcheasy iphone 13 pro max,32,11987256,7
24,羊肉爐,873,4843097,3
24,氣炸鍋,10502,622861,1
24,床邊桌,2680,2521426,2
24,walkman,351,6978321,4
24,iphone 13保護殼,96,9928398,6
24,三宅一生,124,9405264,6
24,ih爐鍋,1187,4159442,3
24,閃光彩帶,2,16378229,10
24,居家服睡衣,138,9166956,6
24,epson,646,5527962,4
24,濕熱電毯,171,8703121,5
24,導熱貼,31,12081776,7
24,炒鍋40公分,1,17380160,10
24,珪藻土,1123,4292514,3
24,托特包a4,11,13897192,8
24,刻磨機,988,4551463,3
24,突波吸收,10,14085998,9
24,藥膏,17,13133014,8
24,冷泡壺,81,10277279,6
24,小倉山莊,2999,2317577,2
24,wifi hdmi tv,12,13723502,8
24,吸頂燈,5446,1405895,1
24,天絲床包 四件,1,17125874,10
24,凝膠卸甲水,4,15319403,9
24,毛巾架,1922,3127807,2
24,adata行動電源,95,9951282,6
24,【令和】神秘黑-雙鋼印韓版kf94成,4,15597799,9
24,檜木筷子,56,10989186,7
24,電競筆電,2839,2416869,2
24,春聯,13190,448154,1
24,飛利浦吸頂燈,1363,3861365,3
24,電動開瓶器,481,6218520,4
24,電動床,333,7097941,5
24,得意的一天,624,5613594,4
24,summer寶石,5,15124241,9
24,switch 遊戲,10098,694622,1
24,桌上櫃,280,7494229,5
24,挖礦主機板,80,10309647,6
24,vg32vq1b,274,7539175,5
24,長版四角褲,87,10130770,6
24,鞋櫃,17943,316770,1
24,漱口杯,941,4672055,3
24,黑米,548,5920519,4
24,tory burch,467,6283043,4
24,haglofs,253,7804929,5
24,zo tech,51,11152917,7
24,打蠟機,1548,3592490,3
24,xrm-55a90j,31,12064881,7
24,dyah5e-a900aerwj,262,7674031,5
24,mk包,872,4846588,3
24,bnn,182,8569825,5
24,拿鐵,301,7330262,5
4,砂鍋,760,5125244,3
4,不鏽鋼浴室置物架,2296,2775674,2
4,尿垢清潔,41,11570833,7
4,即享,1746,3331367,2
4,防皺襯衫,199,8361045,5
4,57n7,35,11844848,7
4,麥當勞,4523,1675604,1
4,百景宴年菜,5,15209736,9
4,後視鏡 超廣角 行車記錄器,16,13169099,8
4,鍵盤保護膜,680,5393386,4
4,電子琴,1892,3158333,2
4,adisi】男防風透氣保暖背心,4,15510583,9
4,3d口罩,1855,3210828,2
4,除毛儀,619,5628506,4
4,abel板夾,15,13354595,8
4,露營行動電源,64,10741229,7
4,桌子,2404,2731194,2
4,樂歌,91,10048273,6
4,dyson v11 收納架,10,13937498,8
4,沙發,4578,1657477,1
4,stormtech,175,8652053,5
4,即期品,728,5230763,3
4,米沃奇,150,8986742,6
4,in+win+迎廣-mg134-機殼,2,16638683,10
4,buddyrider,18,13027874,8
4,rog strix b550-e,3,15802529,10
4,保溫壺,3446,2067818,2
4,奶嘴繩,32,12005304,7
4,禮券,591,5744015,4
4,光碟機,2049,3004897,2
4,室內增高拖鞋,6,14777282,9
4,樂高,7059,1068115,1
4,se2722h,57,10938725,7
4,壓克力盒,196,8391530,5
4,玻璃靜電貼,514,6064255,4
4,可攜螢幕,507,6095928,4
4,trail broken,3,15695759,9
4,玻璃隨身水瓶 280ml,1,17362667,10
4,助聽器,431,6463884,4
4,監視器,7739,987203,1
4,平板電腦,7847,971648,1
4,play,1161,4221677,3
4,白背景,4,15477723,9
4,gf63 thin 11sc-066,117,9526926,6
4,微波爐,13483,421585,1
4,短腿ㄚ鹿,64,10722861,7
4,鈦鍋,866,4858756,3
4,印刷,7,14486250,9
4,拾貳食品,79,10327963,6
4,srs xb33,4,15684451,9
